train_sub,test_sub,task,acc
MSC04,MSC02,motor,0.4600000000000001
MSC04,MSC02,mem,0.675
MSC04,MSC03,mixed,0.575
MSC04,MSC03,motor,0.41999999999999993
MSC04,MSC03,mem,0.5199999999999999
MSC04,MSC05,mixed,0.41000000000000003
MSC04,MSC05,motor,0.4800000000000001
MSC04,MSC05,mem,0.545
MSC04,MSC06,mixed,0.52
MSC04,MSC06,motor,0.45500000000000007
MSC04,MSC06,mem,0.5549999999999999
MSC04,MSC07,mixed,0.33
MSC04,MSC07,motor,0.36
MSC04,MSC07,mem,0.5399999999999999
MSC04,MSC10,mixed,0.51
MSC04,MSC10,motor,0.3950000000000001
MSC04,MSC10,mem,0.45999999999999996
MSC05,MSC01,mixed,0.5
MSC05,MSC01,motor,0.42000000000000004
MSC05,MSC01,mem,0.525
MSC05,MSC02,mixed,0.375
MSC05,MSC02,motor,0.74
MSC05,MSC02,mem,0.53
MSC05,MSC03,mixed,0.4800000000000001
MSC05,MSC03,motor,0.52
MSC05,MSC03,mem,0.45499999999999996
MSC05,MSC04,mixed,0.615
MSC05,MSC04,motor,0.6100000000000001
MSC05,MSC04,mem,0.48
MSC05,MSC06,mixed,0.595
MSC05,MSC06,motor,0.4800000000000001
MSC05,MSC06,mem,0.42000000000000004
MSC05,MSC07,mixed,0.5799999999999998
MSC05,MSC07,motor,0.395
MSC05,MSC07,mem,0.465
MSC05,MSC10,mixed,0.45000000000000007
MSC05,MSC10,motor,0.475
MSC05,MSC10,mem,0.51
MSC06,MSC01,mixed,0.485
MSC06,MSC01,motor,0.505
MSC06,MSC01,mem,0.6500000000000001
MSC06,MSC02,mixed,0.495
MSC06,MSC02,motor,0.30999999999999994
MSC06,MSC02,mem,0.35500000000000004
MSC06,MSC03,mixed,0.5399999999999999
MSC06,MSC03,motor,0.4600000000000001
MSC06,MSC03,mem,0.45499999999999996
MSC06,MSC04,mixed,0.41
MSC06,MSC04,motor,0.48
MSC06,MSC04,mem,0.525
MSC06,MSC05,mixed,0.69
MSC06,MSC05,motor,0.345
MSC06,MSC05,mem,0.5599999999999999
MSC06,MSC07,mixed,0.36
MSC06,MSC07,motor,0.465
MSC06,MSC07,mem,0.42000000000000004
MSC06,MSC10,mixed,0.505
MSC06,MSC10,motor,0.5
MSC06,MSC10,mem,0.4200000000000001
MSC07,MSC01,mixed,0.4700000000000001
MSC07,MSC01,motor,0.38999999999999996
MSC07,MSC01,mem,0.6499999999999999
MSC07,MSC02,mixed,0.63
MSC07,MSC02,motor,0.45000000000000007
MSC07,MSC02,mem,0.5399999999999999
MSC07,MSC03,mixed,0.525
MSC07,MSC03,motor,0.6300000000000001
MSC07,MSC03,mem,0.385
MSC07,MSC04,mixed,0.45500000000000007
MSC07,MSC04,motor,0.385
MSC07,MSC04,mem,0.595
MSC07,MSC05,mixed,0.545
MSC07,MSC05,motor,0.40499999999999997
MSC07,MSC05,mem,0.4749999999999999
MSC07,MSC06,mixed,0.605
MSC07,MSC06,motor,0.57
MSC07,MSC06,mem,0.4600000000000001
MSC07,MSC10,mixed,0.555
MSC07,MSC10,motor,0.575
MSC07,MSC10,mem,0.6049999999999999
MSC10,MSC01,mixed,0.45499999999999996
MSC10,MSC01,motor,0.615
MSC10,MSC01,mem,0.54
MSC10,MSC02,mixed,0.5549999999999999
MSC10,MSC02,motor,0.44000000000000006
MSC10,MSC02,mem,0.43
MSC10,MSC03,mixed,0.5549999999999999
MSC10,MSC03,motor,0.56
MSC10,MSC03,mem,0.5399999999999999
MSC10,MSC04,mixed,0.5700000000000001
MSC10,MSC04,motor,0.545
MSC10,MSC04,mem,0.385
MSC10,MSC05,mixed,0.64
MSC10,MSC05,motor,0.515
MSC10,MSC05,mem,0.48500000000000004
MSC10,MSC06,mixed,0.5599999999999999
MSC10,MSC06,motor,0.4800000000000001
MSC10,MSC06,mem,0.42000000000000004
MSC10,MSC07,mixed,0.53
MSC10,MSC07,motor,0.445
MSC10,MSC07,mem,0.45
