train_task,test_task,train_sub,test_sub,acc,network,feature
semantic,motor,MSC04,MSC07,0.5499999999999999,unassign,14808
semantic,mem,MSC04,MSC07,0.5,unassign,14808
glass,semantic,MSC04,MSC07,0.5149999999999999,unassign,14808
glass,motor,MSC04,MSC07,0.6050000000000001,unassign,14808
glass,mem,MSC04,MSC07,0.495,unassign,14808
motor,semantic,MSC04,MSC07,0.505,unassign,14808
motor,glass,MSC04,MSC07,0.5499999999999999,unassign,14808
motor,mem,MSC04,MSC07,0.52,unassign,14808
mem,semantic,MSC04,MSC07,0.4050000000000001,unassign,14808
mem,glass,MSC04,MSC07,0.5700000000000001,unassign,14808
mem,motor,MSC04,MSC07,0.6199999999999999,unassign,14808
semantic,glass,MSC04,MSC10,0.655,unassign,14808
semantic,motor,MSC04,MSC10,0.505,unassign,14808
semantic,mem,MSC04,MSC10,0.5199999999999999,unassign,14808
glass,semantic,MSC04,MSC10,0.595,unassign,14808
glass,motor,MSC04,MSC10,0.5199999999999999,unassign,14808
glass,mem,MSC04,MSC10,0.51,unassign,14808
motor,semantic,MSC04,MSC10,0.65,unassign,14808
motor,glass,MSC04,MSC10,0.6799999999999999,unassign,14808
motor,mem,MSC04,MSC10,0.6950000000000001,unassign,14808
mem,semantic,MSC04,MSC10,0.5850000000000001,unassign,14808
mem,glass,MSC04,MSC10,0.66,unassign,14808
mem,motor,MSC04,MSC10,0.575,unassign,14808
semantic,glass,MSC05,MSC01,0.5499999999999999,unassign,14808
semantic,motor,MSC05,MSC01,0.505,unassign,14808
semantic,mem,MSC05,MSC01,0.5249999999999999,unassign,14808
glass,semantic,MSC05,MSC01,0.5,unassign,14808
glass,motor,MSC05,MSC01,0.5,unassign,14808
glass,mem,MSC05,MSC01,0.5,unassign,14808
motor,semantic,MSC05,MSC01,0.5,unassign,14808
motor,glass,MSC05,MSC01,0.5,unassign,14808
motor,mem,MSC05,MSC01,0.5,unassign,14808
mem,semantic,MSC05,MSC01,0.57,unassign,14808
mem,glass,MSC05,MSC01,0.7050000000000001,unassign,14808
mem,motor,MSC05,MSC01,0.5549999999999999,unassign,14808
semantic,glass,MSC05,MSC02,0.525,unassign,14808
semantic,motor,MSC05,MSC02,0.5,unassign,14808
semantic,mem,MSC05,MSC02,0.5349999999999999,unassign,14808
glass,semantic,MSC05,MSC02,0.5,unassign,14808
glass,motor,MSC05,MSC02,0.5,unassign,14808
glass,mem,MSC05,MSC02,0.5,unassign,14808
motor,semantic,MSC05,MSC02,0.5449999999999999,unassign,14808
motor,glass,MSC05,MSC02,0.5449999999999999,unassign,14808
motor,mem,MSC05,MSC02,0.5,unassign,14808
mem,semantic,MSC05,MSC02,0.6900000000000001,unassign,14808
mem,glass,MSC05,MSC02,0.6600000000000001,unassign,14808
mem,motor,MSC05,MSC02,0.5,unassign,14808
semantic,glass,MSC05,MSC03,0.5849999999999999,unassign,14808
semantic,motor,MSC05,MSC03,0.605,unassign,14808
semantic,mem,MSC05,MSC03,0.515,unassign,14808
glass,semantic,MSC05,MSC03,0.5,unassign,14808
glass,motor,MSC05,MSC03,0.5,unassign,14808
glass,mem,MSC05,MSC03,0.5,unassign,14808
motor,semantic,MSC05,MSC03,0.5,unassign,14808
motor,glass,MSC05,MSC03,0.525,unassign,14808
motor,mem,MSC05,MSC03,0.5,unassign,14808
mem,semantic,MSC05,MSC03,0.78,unassign,14808
mem,glass,MSC05,MSC03,0.765,unassign,14808
mem,motor,MSC05,MSC03,0.8750000000000002,unassign,14808
semantic,glass,MSC05,MSC04,0.51,unassign,14808
semantic,motor,MSC05,MSC04,0.59,unassign,14808
semantic,mem,MSC05,MSC04,0.52,unassign,14808
glass,semantic,MSC05,MSC04,0.5,unassign,14808
glass,motor,MSC05,MSC04,0.5,unassign,14808
glass,mem,MSC05,MSC04,0.5,unassign,14808
motor,semantic,MSC05,MSC04,0.5,unassign,14808
motor,glass,MSC05,MSC04,0.53,unassign,14808
motor,mem,MSC05,MSC04,0.5,unassign,14808
mem,semantic,MSC05,MSC04,0.6950000000000001,unassign,14808
mem,glass,MSC05,MSC04,0.835,unassign,14808
mem,motor,MSC05,MSC04,0.735,unassign,14808
semantic,glass,MSC05,MSC06,0.6105263157894737,unassign,14808
semantic,motor,MSC05,MSC06,0.66,unassign,14808
semantic,mem,MSC05,MSC06,0.5650000000000001,unassign,14808
glass,semantic,MSC05,MSC06,0.5,unassign,14808
glass,motor,MSC05,MSC06,0.5,unassign,14808
glass,mem,MSC05,MSC06,0.5,unassign,14808
motor,semantic,MSC05,MSC06,0.5349999999999999,unassign,14808
motor,glass,MSC05,MSC06,0.6105263157894737,unassign,14808
motor,mem,MSC05,MSC06,0.5,unassign,14808
mem,semantic,MSC05,MSC06,0.6799999999999999,unassign,14808
mem,glass,MSC05,MSC06,0.8315789473684209,unassign,14808
mem,motor,MSC05,MSC06,0.7999999999999999,unassign,14808
semantic,glass,MSC05,MSC07,0.595,unassign,14808
semantic,motor,MSC05,MSC07,0.595,unassign,14808
semantic,mem,MSC05,MSC07,0.505,unassign,14808
glass,semantic,MSC05,MSC07,0.5,unassign,14808
glass,motor,MSC05,MSC07,0.5,unassign,14808
glass,mem,MSC05,MSC07,0.5,unassign,14808
motor,semantic,MSC05,MSC07,0.58,unassign,14808
motor,glass,MSC05,MSC07,0.525,unassign,14808
motor,mem,MSC05,MSC07,0.53,unassign,14808
mem,semantic,MSC05,MSC07,0.68,unassign,14808
mem,glass,MSC05,MSC07,0.6749999999999999,unassign,14808
mem,motor,MSC05,MSC07,0.675,unassign,14808
semantic,glass,MSC05,MSC10,0.5549999999999999,unassign,14808
semantic,motor,MSC05,MSC10,0.5999999999999999,unassign,14808
semantic,mem,MSC05,MSC10,0.5499999999999999,unassign,14808
glass,semantic,MSC05,MSC10,0.5,unassign,14808
glass,motor,MSC05,MSC10,0.5,unassign,14808
glass,mem,MSC05,MSC10,0.5,unassign,14808
motor,semantic,MSC05,MSC10,0.5,unassign,14808
motor,glass,MSC05,MSC10,0.505,unassign,14808
motor,mem,MSC05,MSC10,0.5,unassign,14808
mem,semantic,MSC05,MSC10,0.6000000000000001,unassign,14808
mem,glass,MSC05,MSC10,0.5549999999999999,unassign,14808
mem,motor,MSC05,MSC10,0.565,unassign,14808
semantic,glass,MSC06,MSC01,0.635,unassign,14808
semantic,motor,MSC06,MSC01,0.565,unassign,14808
semantic,mem,MSC06,MSC01,0.5549999999999999,unassign,14808
glass,semantic,MSC06,MSC01,0.5277777777777778,unassign,14808
glass,motor,MSC06,MSC01,0.538888888888889,unassign,14808
glass,mem,MSC06,MSC01,0.5111111111111111,unassign,14808
motor,semantic,MSC06,MSC01,0.5449999999999999,unassign,14808
motor,glass,MSC06,MSC01,0.505,unassign,14808
motor,mem,MSC06,MSC01,0.5399999999999999,unassign,14808
mem,semantic,MSC06,MSC01,0.55,unassign,14808
mem,glass,MSC06,MSC01,0.6699999999999999,unassign,14808
mem,motor,MSC06,MSC01,0.595,unassign,14808
semantic,glass,MSC06,MSC02,0.54,unassign,14808
semantic,motor,MSC06,MSC02,0.54,unassign,14808
semantic,mem,MSC06,MSC02,0.535,unassign,14808
glass,semantic,MSC06,MSC02,0.5111111111111111,unassign,14808
glass,motor,MSC06,MSC02,0.5055555555555555,unassign,14808
glass,mem,MSC06,MSC02,0.5,unassign,14808
motor,semantic,MSC06,MSC02,0.515,unassign,14808
motor,glass,MSC06,MSC02,0.48,unassign,14808
motor,mem,MSC06,MSC02,0.495,unassign,14808
mem,semantic,MSC06,MSC02,0.5649999999999998,unassign,14808
mem,glass,MSC06,MSC02,0.5849999999999999,unassign,14808
mem,motor,MSC06,MSC02,0.5900000000000001,unassign,14808
semantic,glass,MSC06,MSC03,0.53,unassign,14808
semantic,motor,MSC06,MSC03,0.57,unassign,14808
semantic,mem,MSC06,MSC03,0.6100000000000001,unassign,14808
glass,semantic,MSC06,MSC03,0.5444444444444445,unassign,14808
glass,motor,MSC06,MSC03,0.5111111111111111,unassign,14808
glass,mem,MSC06,MSC03,0.5166666666666667,unassign,14808
motor,semantic,MSC06,MSC03,0.515,unassign,14808
motor,glass,MSC06,MSC03,0.5399999999999999,unassign,14808
motor,mem,MSC06,MSC03,0.525,unassign,14808
mem,semantic,MSC06,MSC03,0.74,unassign,14808
mem,glass,MSC06,MSC03,0.53,unassign,14808
mem,motor,MSC06,MSC03,0.835,unassign,14808
semantic,glass,MSC06,MSC04,0.6199999999999999,unassign,14808
semantic,motor,MSC06,MSC04,0.635,unassign,14808
semantic,mem,MSC06,MSC04,0.55,unassign,14808
glass,semantic,MSC06,MSC04,0.5333333333333333,unassign,14808
glass,motor,MSC06,MSC04,0.5555555555555556,unassign,14808
glass,mem,MSC06,MSC04,0.5166666666666667,unassign,14808
motor,semantic,MSC06,MSC04,0.505,unassign,14808
motor,glass,MSC06,MSC04,0.505,unassign,14808
motor,mem,MSC06,MSC04,0.5,unassign,14808
mem,semantic,MSC06,MSC04,0.8149999999999998,unassign,14808
mem,glass,MSC06,MSC04,0.7949999999999999,unassign,14808
mem,motor,MSC06,MSC04,0.73,unassign,14808
semantic,glass,MSC06,MSC05,0.505,unassign,14808
semantic,motor,MSC06,MSC05,0.51,unassign,14808
semantic,mem,MSC06,MSC05,0.51,unassign,14808
glass,semantic,MSC06,MSC05,0.5111111111111111,unassign,14808
glass,motor,MSC06,MSC05,0.5111111111111111,unassign,14808
glass,mem,MSC06,MSC05,0.5,unassign,14808
motor,semantic,MSC06,MSC05,0.8600000000000001,unassign,14808
motor,glass,MSC06,MSC05,0.6099999999999999,unassign,14808
motor,mem,MSC06,MSC05,0.8400000000000001,unassign,14808
mem,semantic,MSC06,MSC05,0.565,unassign,14808
