sub,task,acc,network,feature
MSC04,glass,0.7,sm-lat,316
MSC04,motor,0.8,sm-lat,316
MSC04,mem,0.75,sm-lat,316
MSC05,semantic,0.75,sm-lat,316
MSC05,glass,0.75,sm-lat,316
MSC05,motor,1.0,sm-lat,316
MSC05,mem,0.9,sm-lat,316
MSC06,semantic,0.6,sm-lat,316
MSC06,glass,0.5185185185185185,sm-lat,316
MSC06,motor,0.8,sm-lat,316
MSC06,mem,0.75,sm-lat,316
MSC07,semantic,0.85,sm-lat,316
MSC07,glass,0.95,sm-lat,316
MSC07,motor,0.85,sm-lat,316
MSC07,mem,0.75,sm-lat,316
MSC10,semantic,0.85,sm-lat,316
MSC10,glass,0.85,sm-lat,316
MSC10,motor,1.0,sm-lat,316
MSC10,mem,1.0,sm-lat,316
MSC01,semantic,0.95,auditory,564
MSC01,glass,0.95,auditory,564
MSC01,motor,0.9,auditory,564
MSC01,mem,0.9,auditory,564
MSC02,semantic,0.65,auditory,564
MSC02,glass,0.75,auditory,564
MSC02,motor,0.85,auditory,564
MSC02,mem,0.8,auditory,564
MSC03,semantic,0.85,auditory,564
MSC03,glass,0.75,auditory,564
MSC03,motor,0.95,auditory,564
MSC03,mem,0.85,auditory,564
MSC04,semantic,0.8,auditory,564
MSC04,glass,0.75,auditory,564
MSC04,motor,0.9,auditory,564
MSC04,mem,0.75,auditory,564
MSC05,semantic,0.75,auditory,564
MSC05,glass,0.7,auditory,564
MSC05,motor,0.75,auditory,564
MSC05,mem,0.75,auditory,564
MSC06,semantic,0.75,auditory,564
MSC06,glass,0.8333333333333334,auditory,564
MSC06,motor,0.75,auditory,564
MSC06,mem,0.85,auditory,564
MSC07,semantic,0.9,auditory,564
MSC07,glass,0.9,auditory,564
MSC07,motor,0.95,auditory,564
MSC07,mem,0.8,auditory,564
MSC10,semantic,0.75,auditory,564
MSC10,glass,0.85,auditory,564
MSC10,motor,0.85,auditory,564
MSC10,mem,0.85,auditory,564
MSC01,semantic,0.85,pmn,45
MSC01,glass,0.8,pmn,45
MSC01,motor,0.7,pmn,45
MSC01,mem,0.95,pmn,45
MSC02,semantic,0.65,pmn,45
MSC02,glass,0.7,pmn,45
MSC02,motor,0.8,pmn,45
MSC02,mem,0.65,pmn,45
MSC03,semantic,0.7,pmn,45
MSC03,glass,0.75,pmn,45
MSC03,motor,0.9,pmn,45
MSC03,mem,0.75,pmn,45
MSC04,semantic,0.95,pmn,45
MSC04,glass,0.95,pmn,45
MSC04,motor,0.85,pmn,45
MSC04,mem,1.0,pmn,45
MSC05,semantic,0.75,pmn,45
MSC05,glass,0.7,pmn,45
MSC05,motor,0.85,pmn,45
MSC05,mem,0.8,pmn,45
MSC06,semantic,0.85,pmn,45
MSC06,glass,0.7037037037037037,pmn,45
MSC06,motor,0.85,pmn,45
MSC06,mem,0.75,pmn,45
MSC07,semantic,0.8,pmn,45
MSC07,glass,0.65,pmn,45
MSC07,motor,0.7,pmn,45
MSC07,mem,0.55,pmn,45
MSC10,semantic,0.85,pmn,45
MSC10,glass,0.7,pmn,45
MSC10,motor,0.95,pmn,45
MSC10,mem,0.7,pmn,45
MSC01,semantic,0.75,pon,21
MSC01,glass,0.85,pon,21
MSC01,motor,0.9,pon,21
MSC01,mem,0.8,pon,21
MSC02,semantic,0.75,pon,21
MSC02,glass,0.85,pon,21
MSC02,motor,0.65,pon,21
MSC02,mem,0.8,pon,21
MSC03,semantic,0.75,pon,21
MSC03,glass,0.8,pon,21
MSC03,motor,0.75,pon,21
MSC03,mem,0.65,pon,21
MSC04,semantic,0.95,pon,21
MSC04,glass,0.85,pon,21
MSC04,motor,0.8,pon,21
MSC04,mem,0.65,pon,21
MSC05,semantic,0.9,pon,21
MSC05,glass,0.7,pon,21
MSC05,motor,0.45,pon,21
MSC05,mem,0.55,pon,21
MSC06,semantic,0.7,pon,21
MSC06,glass,0.7222222222222222,pon,21
MSC06,motor,0.8,pon,21
MSC06,mem,0.75,pon,21
MSC07,semantic,0.7,pon,21
MSC07,glass,0.7,pon,21
MSC07,motor,0.75,pon,21
MSC07,mem,0.4,pon,21
MSC10,semantic,0.75,pon,21
MSC10,glass,0.7,pon,21
MSC10,motor,0.45,pon,21
MSC10,mem,0.65,pon,21
