train_task,test_task,diff
semantic,mem,0.046696428571428576
semantic,motor,-0.01491071428571429
glass,mem,0.0016269841269841007
glass,motor,0.03465277777777782
glass,semantic,0.06540674603174601
mem,glass,-0.06544642857142859
mem,motor,-0.08205357142857142
mem,semantic,0.03312499999999995
motor,glass,-0.041686507936507945
motor,mem,0.06455357142857145
motor,semantic,-0.003392857142857142
semantic,glass,0.03047619047619044
semantic,mem,0.056249999999999925
semantic,motor,-0.06776785714285714
glass,mem,0.043244047619047585
glass,motor,0.05310515873015872
glass,semantic,-0.04211309523809522
mem,glass,-0.012460317460317451
mem,motor,-0.07625000000000001
mem,semantic,-0.019910714285714278
motor,glass,-0.03644841269841275
motor,mem,-0.010714285714285775
motor,semantic,-0.03964285714285715
semantic,glass,0.04269841269841268
semantic,mem,-0.10982142857142858
semantic,motor,-0.028214285714285723
glass,mem,-0.006666666666666628
glass,motor,0.01572420634920632
glass,semantic,-0.09227182539682541
mem,glass,0.011726190476190498
mem,motor,-0.003750000000000017
mem,semantic,-0.006339285714285732
motor,glass,-0.02563492063492064
motor,mem,-0.04303571428571428
motor,semantic,0.007232142857142879
semantic,glass,-0.007748015873015863
semantic,mem,0.03955357142857146
semantic,motor,-0.08339285714285714
glass,mem,0.030357142857142912
glass,motor,-0.1716666666666667
glass,semantic,-0.07730158730158733
mem,glass,0.07659722222222222
mem,motor,-0.029732142857142877
mem,semantic,-0.014464285714285726
motor,glass,0.01602182539682539
motor,mem,0.025357142857142887
motor,semantic,-0.10571428571428572
semantic,glass,-0.02355158730158735
semantic,mem,-0.07125000000000004
semantic,motor,-0.022232142857142857
glass,mem,-0.062261904761904775
glass,motor,-0.049632936507936494
glass,semantic,-0.029255952380952344
mem,glass,-0.051458333333333335
mem,motor,-0.12428571428571426
mem,semantic,-0.12249999999999996
motor,glass,-0.005922619047619021
motor,mem,-0.09901785714285717
motor,semantic,3.96508223080413e-18
semantic,glass,0.07594246031746031
semantic,mem,0.031964285714285695
semantic,motor,0.05339285714285714
glass,mem,-0.024126984126984156
glass,motor,0.007301587301587296
glass,semantic,-0.1299801587301587
mem,glass,0.048740079365079354
mem,motor,0.007142857142857127
mem,semantic,-0.009910714285714337
motor,glass,-0.04984126984126979
motor,mem,0.11473214285714284
motor,semantic,0.07812500000000003
semantic,glass,0.06836309523809522
semantic,mem,0.02205357142857145
semantic,motor,0.04749999999999999
glass,mem,0.0783333333333333
glass,motor,-0.060744047619047635
glass,semantic,-0.017886904761904788
mem,glass,0.06229166666666668
mem,motor,0.03142857142857144
mem,semantic,-0.004107142857142819
motor,glass,-0.0015277777777777956
motor,mem,0.017142857142857147
motor,semantic,-0.04089285714285716
semantic,glass,0.0923313492063492
semantic,mem,-0.0008928571428571605
semantic,motor,-0.025982142857142867
glass,mem,-0.04608134920634922
glass,motor,-0.034027777777777775
glass,semantic,-0.0335416666666667
mem,glass,0.0009126984126983868
mem,motor,0.04696428571428573
mem,semantic,0.04241071428571429
motor,glass,-0.014751984126984126
motor,mem,-0.03223214285714287
motor,semantic,-0.06741071428571424
semantic,glass,0.07507936507936505
semantic,mem,-0.016071428571428594
semantic,motor,-0.04339285714285712
glass,mem,-0.03230158730158731
glass,motor,0.01137896825396823
glass,semantic,0.08793650793650791
mem,glass,0.039315476190476206
mem,motor,0.012232142857142844
mem,semantic,0.023482142857142823
motor,glass,-0.05377976190476191
motor,mem,-0.11482142857142862
motor,semantic,0.09973214285714281
semantic,glass,-0.05478174603174603
semantic,mem,0.05625000000000002
semantic,motor,0.04187499999999998
glass,mem,-0.01970238095238096
glass,motor,0.05861111111111108
glass,semantic,-0.07958333333333337
mem,glass,0.08853174603174609
mem,motor,0.0012499999999999476
mem,semantic,-0.08678571428571431
motor,glass,0.03969246031746032
motor,mem,0.037678571428571436
motor,semantic,-0.038928571428571465
semantic,glass,0.040049603174603196
semantic,mem,-0.018928571428571468
semantic,motor,0.04491071428571426
glass,mem,-0.12011904761904758
glass,motor,0.01320436507936507
glass,semantic,-0.07006944444444448
mem,glass,0.040992063492063434
mem,motor,-0.000178571428571398
mem,semantic,0.034285714285714274
motor,glass,-0.06977182539682542
motor,mem,-0.03616071428571423
motor,semantic,0.06696428571428571
semantic,glass,0.026408730158730107
semantic,mem,-0.013839285714285715
semantic,motor,0.015535714285714259
glass,mem,-0.03305555555555554
glass,motor,0.03614087301587302
glass,semantic,0.05901785714285714
mem,glass,0.034791666666666686
mem,motor,0.1248214285714286
mem,semantic,0.017767857142857148
motor,glass,-0.026617063492063452
motor,mem,-0.07303571428571433
motor,semantic,-0.009374999999999951
semantic,glass,0.006309523809523793
semantic,mem,-0.011428571428571446
semantic,motor,-0.030357142857142888
glass,mem,0.0018353174603174924
glass,motor,-0.021071428571428557
glass,semantic,0.002212301587301611
mem,glass,-0.08065476190476198
mem,motor,-0.08999999999999996
mem,semantic,0.01741071428571427
motor,glass,0.060525793650793726
motor,mem,0.0420535714285714
motor,semantic,0.040535714285714286
