train_sub,test_sub,task,acc,spec,sen
MSC05,MSC10,semantic,0.62,1.0,0.24
MSC05,MSC10,motor,0.7100000000000001,1.0,0.42000000000000004
MSC05,MSC10,mem,0.8950000000000001,0.89,0.9000000000000001
MSC06,MSC01,glass,0.5611111111111111,1.0,0.12222222222222223
MSC06,MSC01,semantic,0.865,1.0,0.73
MSC06,MSC01,motor,0.6300000000000001,0.25999999999999995,1.0
MSC06,MSC01,mem,0.9450000000000001,0.89,1.0
MSC06,MSC02,glass,0.5055555555555555,1.0,0.011111111111111112
MSC06,MSC02,semantic,0.7749999999999999,0.99,0.5599999999999999
MSC06,MSC02,motor,0.76,0.59,0.93
MSC06,MSC02,mem,0.945,0.96,0.93
MSC06,MSC03,glass,0.5,1.0,0.0
MSC06,MSC03,semantic,0.845,0.9800000000000001,0.7100000000000001
MSC06,MSC03,motor,0.7300000000000001,0.47000000000000003,0.99
MSC06,MSC03,mem,0.89,0.78,1.0
MSC06,MSC04,glass,0.6388888888888888,1.0,0.2777777777777778
MSC06,MSC04,semantic,0.8300000000000001,1.0,0.6599999999999999
MSC06,MSC04,motor,0.775,0.55,1.0
MSC06,MSC04,mem,0.975,0.9600000000000002,0.99
MSC06,MSC05,glass,0.5388888888888889,1.0,0.07777777777777778
MSC06,MSC05,semantic,0.8049999999999999,1.0,0.61
MSC06,MSC05,motor,0.99,1.0,0.9800000000000001
MSC06,MSC05,mem,0.99,1.0,0.9800000000000001
MSC06,MSC07,glass,0.5722222222222223,0.9888888888888889,0.15555555555555556
MSC06,MSC07,semantic,0.9099999999999999,0.95,0.8700000000000001
MSC06,MSC07,motor,0.665,0.32999999999999996,1.0
MSC06,MSC07,mem,0.775,0.5499999999999999,1.0
MSC06,MSC10,glass,0.5555555555555556,1.0,0.1111111111111111
MSC06,MSC10,semantic,0.8299999999999998,0.9800000000000001,0.6799999999999999
MSC06,MSC10,motor,0.6399999999999999,0.28,1.0
MSC06,MSC10,mem,0.8999999999999998,0.8,1.0
MSC07,MSC01,glass,0.5549999999999999,1.0,0.11000000000000001
MSC07,MSC01,semantic,0.665,1.0,0.32999999999999996
MSC07,MSC01,motor,0.5700000000000001,0.14,1.0
MSC07,MSC01,mem,0.9199999999999999,0.8400000000000001,1.0
MSC07,MSC02,glass,0.5,1.0,0.0
MSC07,MSC02,semantic,0.5549999999999999,1.0,0.10999999999999999
MSC07,MSC02,motor,0.6199999999999999,0.2700000000000001,0.97
MSC07,MSC02,mem,0.8550000000000001,0.73,0.9800000000000001
