train_task,test_task,train_sub,test_sub,acc,spec,sen
mem,motor,MSC01,MSC04,0.6700000000000002,1.0,0.33999999999999997
glass,semantic,MSC01,MSC05,0.6300000000000001,1.0,0.25999999999999995
glass,motor,MSC01,MSC05,0.5449999999999999,1.0,0.09
glass,mem,MSC01,MSC05,0.5499999999999999,1.0,0.09999999999999999
semantic,glass,MSC01,MSC05,0.505,1.0,0.01
semantic,motor,MSC01,MSC05,0.5,1.0,0.0
semantic,mem,MSC01,MSC05,0.505,1.0,0.01
motor,glass,MSC01,MSC05,0.675,1.0,0.35
motor,semantic,MSC01,MSC05,0.7799999999999999,1.0,0.56
motor,mem,MSC01,MSC05,0.7749999999999999,1.0,0.55
mem,glass,MSC01,MSC05,0.5,1.0,0.0
mem,semantic,MSC01,MSC05,0.7949999999999999,1.0,0.5899999999999999
mem,motor,MSC01,MSC05,0.615,1.0,0.22999999999999998
glass,semantic,MSC01,MSC06,0.5149999999999999,1.0,0.030000000000000006
glass,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
glass,mem,MSC01,MSC06,0.5,1.0,0.0
semantic,glass,MSC01,MSC06,0.5,1.0,0.0
semantic,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
semantic,mem,MSC01,MSC06,0.5,1.0,0.0
motor,glass,MSC01,MSC06,0.5055555555555555,1.0,0.01111111111111111
motor,semantic,MSC01,MSC06,0.5599999999999998,1.0,0.12
motor,mem,MSC01,MSC06,0.5449999999999999,1.0,0.09
mem,glass,MSC01,MSC06,0.5499999999999999,1.0,0.10000000000000002
mem,semantic,MSC01,MSC06,0.5499999999999999,1.0,0.09999999999999999
mem,motor,MSC01,MSC06,0.6100000000000001,1.0,0.21999999999999997
glass,semantic,MSC01,MSC07,0.9199999999999999,1.0,0.8399999999999999
glass,motor,MSC01,MSC07,0.6950000000000001,1.0,0.39
glass,mem,MSC01,MSC07,0.5800000000000001,1.0,0.16000000000000003
semantic,glass,MSC01,MSC07,0.9400000000000001,1.0,0.8800000000000002
semantic,motor,MSC01,MSC07,0.6450000000000001,1.0,0.2899999999999999
semantic,mem,MSC01,MSC07,0.7499999999999999,1.0,0.5
motor,glass,MSC01,MSC07,0.97,0.9700000000000001,0.9700000000000001
motor,semantic,MSC01,MSC07,0.945,0.9700000000000001,0.9200000000000002
motor,mem,MSC01,MSC07,0.745,0.9700000000000001,0.5199999999999999
mem,glass,MSC01,MSC07,0.9949999999999999,0.99,1.0
mem,semantic,MSC01,MSC07,0.9949999999999999,0.99,1.0
mem,motor,MSC01,MSC07,0.9549999999999998,0.99,0.9200000000000002
glass,semantic,MSC01,MSC10,0.62,1.0,0.24
glass,motor,MSC01,MSC10,0.655,1.0,0.31
glass,mem,MSC01,MSC10,0.5249999999999999,1.0,0.05
semantic,glass,MSC01,MSC10,0.5,1.0,0.0
semantic,motor,MSC01,MSC10,0.545,1.0,0.09
semantic,mem,MSC01,MSC10,0.5349999999999999,1.0,0.06999999999999999
motor,glass,MSC01,MSC10,0.675,1.0,0.35
motor,semantic,MSC01,MSC10,0.6950000000000001,1.0,0.38999999999999996
motor,mem,MSC01,MSC10,0.8,1.0,0.5999999999999999
mem,glass,MSC01,MSC10,0.745,1.0,0.49000000000000005
mem,semantic,MSC01,MSC10,0.725,1.0,0.45
mem,motor,MSC01,MSC10,0.675,1.0,0.3499999999999999
glass,semantic,MSC02,MSC01,0.7150000000000001,1.0,0.4299999999999999
glass,motor,MSC02,MSC01,0.7050000000000001,1.0,0.41
glass,mem,MSC02,MSC01,0.575,1.0,0.15
semantic,glass,MSC02,MSC01,0.5399999999999999,1.0,0.07999999999999999
semantic,motor,MSC02,MSC01,0.5799999999999998,1.0,0.16000000000000006
semantic,mem,MSC02,MSC01,0.525,1.0,0.05
motor,glass,MSC02,MSC01,0.5,1.0,0.0
motor,semantic,MSC02,MSC01,0.5,1.0,0.0
motor,mem,MSC02,MSC01,0.5,1.0,0.0
mem,glass,MSC02,MSC01,0.7699999999999999,1.0,0.54
mem,semantic,MSC02,MSC01,0.8649999999999999,1.0,0.73
mem,motor,MSC02,MSC01,0.945,1.0,0.89
glass,semantic,MSC02,MSC03,0.8099999999999999,1.0,0.62
glass,motor,MSC02,MSC03,0.6950000000000001,1.0,0.38999999999999996
glass,mem,MSC02,MSC03,0.6049999999999999,1.0,0.20999999999999996
semantic,glass,MSC02,MSC03,0.565,1.0,0.12999999999999998
semantic,motor,MSC02,MSC03,0.5900000000000001,1.0,0.18000000000000002
semantic,mem,MSC02,MSC03,0.565,1.0,0.13
motor,glass,MSC02,MSC03,0.8449999999999998,1.0,0.6900000000000001
motor,semantic,MSC02,MSC03,0.6500000000000001,1.0,0.29999999999999993
motor,mem,MSC02,MSC03,0.6100000000000001,1.0,0.22000000000000003
mem,glass,MSC02,MSC03,0.6450000000000001,0.97,0.31999999999999995
mem,semantic,MSC02,MSC03,0.9299999999999999,0.97,0.8900000000000002
mem,motor,MSC02,MSC03,0.905,0.97,0.8400000000000002
glass,semantic,MSC02,MSC04,0.5599999999999999,1.0,0.12000000000000002
glass,motor,MSC02,MSC04,0.5700000000000001,1.0,0.14000000000000004
glass,mem,MSC02,MSC04,0.505,1.0,0.01
semantic,glass,MSC02,MSC04,0.525,1.0,0.05
semantic,motor,MSC02,MSC04,0.525,1.0,0.05
semantic,mem,MSC02,MSC04,0.505,1.0,0.01
motor,glass,MSC02,MSC04,0.5599999999999998,1.0,0.12
motor,semantic,MSC02,MSC04,0.5,1.0,0.0
motor,mem,MSC02,MSC04,0.5,1.0,0.0
mem,glass,MSC02,MSC04,0.9400000000000001,1.0,0.8800000000000001
mem,semantic,MSC02,MSC04,0.8950000000000001,1.0,0.7899999999999998
mem,motor,MSC02,MSC04,0.95,1.0,0.9000000000000001
glass,semantic,MSC02,MSC05,0.625,1.0,0.25
glass,motor,MSC02,MSC05,0.595,1.0,0.19
glass,mem,MSC02,MSC05,0.6,1.0,0.2
semantic,glass,MSC02,MSC05,0.5,1.0,0.0
semantic,motor,MSC02,MSC05,0.5,1.0,0.0
semantic,mem,MSC02,MSC05,0.5,1.0,0.0
motor,glass,MSC02,MSC05,0.5899999999999999,1.0,0.18
motor,semantic,MSC02,MSC05,0.5549999999999999,1.0,0.10999999999999999
motor,mem,MSC02,MSC05,0.5,1.0,0.0
mem,glass,MSC02,MSC05,0.9099999999999999,1.0,0.8200000000000001
mem,semantic,MSC02,MSC05,0.9100000000000001,1.0,0.82
mem,motor,MSC02,MSC05,0.905,1.0,0.8099999999999999
glass,semantic,MSC02,MSC06,0.625,1.0,0.24999999999999994
glass,motor,MSC02,MSC06,0.5499999999999999,1.0,0.09999999999999999
glass,mem,MSC02,MSC06,0.535,1.0,0.06999999999999999
semantic,glass,MSC02,MSC06,0.5111111111111111,1.0,0.02222222222222222
semantic,motor,MSC02,MSC06,0.5249999999999999,1.0,0.05
semantic,mem,MSC02,MSC06,0.5449999999999999,1.0,0.09
motor,glass,MSC02,MSC06,0.5111111111111111,1.0,0.02222222222222222
motor,semantic,MSC02,MSC06,0.62,1.0,0.24
motor,mem,MSC02,MSC06,0.5499999999999999,1.0,0.09999999999999999
mem,glass,MSC02,MSC06,0.7555555555555555,1.0,0.5111111111111112
mem,semantic,MSC02,MSC06,0.885,1.0,0.77
mem,motor,MSC02,MSC06,0.8799999999999999,1.0,0.76
glass,semantic,MSC02,MSC07,0.725,0.97,0.48
glass,motor,MSC02,MSC07,0.6900000000000002,0.97,0.41
glass,mem,MSC02,MSC07,0.595,0.97,0.22000000000000003
semantic,glass,MSC02,MSC07,0.7799999999999999,0.93,0.6300000000000001
semantic,motor,MSC02,MSC07,0.65,0.93,0.36999999999999994
semantic,mem,MSC02,MSC07,0.6750000000000002,0.93,0.42000000000000004
motor,glass,MSC02,MSC07,0.515,1.0,0.030000000000000006
motor,semantic,MSC02,MSC07,0.5,1.0,0.0
motor,mem,MSC02,MSC07,0.5,1.0,0.0
mem,glass,MSC02,MSC07,0.9,0.95,0.85
mem,semantic,MSC02,MSC07,0.885,0.95,0.82
mem,motor,MSC02,MSC07,0.9550000000000001,0.95,0.96
glass,semantic,MSC02,MSC10,0.575,1.0,0.15000000000000002
glass,motor,MSC02,MSC10,0.625,1.0,0.25
glass,mem,MSC02,MSC10,0.5,1.0,0.0
semantic,glass,MSC02,MSC10,0.51,1.0,0.02
semantic,motor,MSC02,MSC10,0.52,1.0,0.04
semantic,mem,MSC02,MSC10,0.5,1.0,0.0
motor,glass,MSC02,MSC10,0.52,1.0,0.04
motor,semantic,MSC02,MSC10,0.5349999999999999,1.0,0.06999999999999999
motor,mem,MSC02,MSC10,0.5199999999999999,1.0,0.04
mem,glass,MSC02,MSC10,0.7250000000000001,1.0,0.45
mem,semantic,MSC02,MSC10,0.73,1.0,0.45999999999999996
mem,motor,MSC02,MSC10,0.8549999999999999,1.0,0.71
glass,semantic,MSC03,MSC01,0.5,1.0,0.0
glass,motor,MSC03,MSC01,0.525,1.0,0.05
glass,mem,MSC03,MSC01,0.5,1.0,0.0
semantic,glass,MSC03,MSC01,0.5,1.0,0.0
semantic,motor,MSC03,MSC01,0.5,1.0,0.0
semantic,mem,MSC03,MSC01,0.5,1.0,0.0
motor,glass,MSC03,MSC01,0.505,1.0,0.01
motor,semantic,MSC03,MSC01,0.5449999999999999,1.0,0.09
motor,mem,MSC03,MSC01,0.655,1.0,0.31
mem,glass,MSC03,MSC01,0.665,0.32999999999999996,1.0
mem,semantic,MSC03,MSC01,0.665,0.32999999999999996,1.0
mem,motor,MSC03,MSC01,0.665,0.32999999999999996,1.0
glass,semantic,MSC03,MSC02,0.625,1.0,0.24999999999999994
glass,motor,MSC03,MSC02,0.8499999999999999,1.0,0.7000000000000001
glass,mem,MSC03,MSC02,0.5299999999999999,1.0,0.06000000000000001
semantic,glass,MSC03,MSC02,0.5,1.0,0.0
semantic,motor,MSC03,MSC02,0.5149999999999999,1.0,0.030000000000000006
semantic,mem,MSC03,MSC02,0.5,1.0,0.0
motor,glass,MSC03,MSC02,0.6649999999999999,1.0,0.33
motor,semantic,MSC03,MSC02,0.64,1.0,0.27999999999999997
motor,mem,MSC03,MSC02,0.74,1.0,0.4800000000000001
mem,glass,MSC03,MSC02,0.48,0.36,0.5999999999999999
mem,semantic,MSC03,MSC02,0.48500000000000004,0.36,0.6099999999999999
mem,motor,MSC03,MSC02,0.47000000000000003,0.36,0.58
glass,semantic,MSC03,MSC04,0.5,1.0,0.0
glass,motor,MSC03,MSC04,0.65,1.0,0.3
glass,mem,MSC03,MSC04,0.5249999999999999,1.0,0.05
semantic,glass,MSC03,MSC04,0.5,1.0,0.0
semantic,motor,MSC03,MSC04,0.5,1.0,0.0
semantic,mem,MSC03,MSC04,0.5,1.0,0.0
motor,glass,MSC03,MSC04,0.7,1.0,0.4
motor,semantic,MSC03,MSC04,0.595,1.0,0.19
motor,mem,MSC03,MSC04,0.63,1.0,0.26
mem,glass,MSC03,MSC04,0.8099999999999999,0.8300000000000001,0.7899999999999999
mem,semantic,MSC03,MSC04,0.7699999999999999,0.8300000000000001,0.7100000000000001
mem,motor,MSC03,MSC04,0.86,0.8300000000000001,0.8900000000000002
glass,semantic,MSC03,MSC05,0.5599999999999999,1.0,0.12
glass,motor,MSC03,MSC05,0.875,1.0,0.7499999999999999
glass,mem,MSC03,MSC05,0.8450000000000001,1.0,0.6899999999999998
semantic,glass,MSC03,MSC05,0.5349999999999999,1.0,0.06999999999999999
semantic,motor,MSC03,MSC05,0.5349999999999999,1.0,0.06999999999999999
semantic,mem,MSC03,MSC05,0.5849999999999999,1.0,0.16999999999999998
motor,glass,MSC03,MSC05,0.6849999999999999,1.0,0.37
motor,semantic,MSC03,MSC05,0.74,1.0,0.4800000000000001
motor,mem,MSC03,MSC05,0.82,1.0,0.64
mem,glass,MSC03,MSC05,0.77,0.89,0.6500000000000001
mem,semantic,MSC03,MSC05,0.86,0.89,0.8299999999999998
mem,motor,MSC03,MSC05,0.865,0.89,0.8400000000000002
glass,semantic,MSC03,MSC06,0.5399999999999999,1.0,0.07999999999999999
glass,motor,MSC03,MSC06,0.5349999999999999,1.0,0.06999999999999999
glass,mem,MSC03,MSC06,0.5,1.0,0.0
semantic,glass,MSC03,MSC06,0.5,1.0,0.0
semantic,motor,MSC03,MSC06,0.5,1.0,0.0
semantic,mem,MSC03,MSC06,0.5,1.0,0.0
motor,glass,MSC03,MSC06,0.5555555555555555,1.0,0.11111111111111113
motor,semantic,MSC03,MSC06,0.545,1.0,0.09
motor,mem,MSC03,MSC06,0.5,1.0,0.0
mem,glass,MSC03,MSC06,0.6944444444444444,0.9777777777777779,0.41111111111111115
mem,semantic,MSC03,MSC06,0.675,0.9800000000000001,0.37
mem,motor,MSC03,MSC06,0.8800000000000001,0.9800000000000001,0.78
glass,semantic,MSC03,MSC07,0.5,1.0,0.0
glass,motor,MSC03,MSC07,0.5499999999999999,1.0,0.1
glass,mem,MSC03,MSC07,0.585,1.0,0.16999999999999998
semantic,glass,MSC03,MSC07,0.5,1.0,0.0
semantic,motor,MSC03,MSC07,0.5,1.0,0.0
semantic,mem,MSC03,MSC07,0.5,1.0,0.0
motor,glass,MSC03,MSC07,0.5349999999999999,1.0,0.06999999999999999
motor,semantic,MSC03,MSC07,0.5,1.0,0.0
motor,mem,MSC03,MSC07,0.5499999999999999,1.0,0.09999999999999999
mem,glass,MSC03,MSC07,0.595,0.9100000000000001,0.27999999999999997
mem,semantic,MSC03,MSC07,0.52,0.9100000000000001,0.13000000000000003
mem,motor,MSC03,MSC07,0.915,0.9100000000000001,0.9200000000000002
glass,semantic,MSC03,MSC10,0.5,1.0,0.0
glass,motor,MSC03,MSC10,0.57,1.0,0.14
glass,mem,MSC03,MSC10,0.5249999999999999,1.0,0.05
semantic,glass,MSC03,MSC10,0.5,1.0,0.0
semantic,motor,MSC03,MSC10,0.5,1.0,0.0
semantic,mem,MSC03,MSC10,0.505,1.0,0.01
motor,glass,MSC03,MSC10,0.6499999999999999,1.0,0.30000000000000004
motor,semantic,MSC03,MSC10,0.5,1.0,0.0
motor,mem,MSC03,MSC10,0.665,1.0,0.32999999999999996
mem,glass,MSC03,MSC10,0.8950000000000001,0.8800000000000001,0.9100000000000001
mem,semantic,MSC03,MSC10,0.8399999999999999,0.8800000000000001,0.7999999999999999
mem,motor,MSC03,MSC10,0.8949999999999999,0.8800000000000001,0.9100000000000001
glass,semantic,MSC04,MSC01,0.615,1.0,0.22999999999999998
glass,motor,MSC04,MSC01,0.6599999999999999,1.0,0.32
glass,mem,MSC04,MSC01,0.645,1.0,0.29
semantic,glass,MSC04,MSC01,0.5399999999999999,1.0,0.07999999999999999
semantic,motor,MSC04,MSC01,0.5,1.0,0.0
semantic,mem,MSC04,MSC01,0.5999999999999999,1.0,0.2
motor,glass,MSC04,MSC01,0.6500000000000001,1.0,0.29999999999999993
motor,semantic,MSC04,MSC01,0.5999999999999999,1.0,0.19999999999999998
motor,mem,MSC04,MSC01,0.6449999999999999,1.0,0.29000000000000004
mem,glass,MSC04,MSC01,0.5799999999999998,1.0,0.15999999999999998
mem,semantic,MSC04,MSC01,0.6850000000000002,1.0,0.36999999999999994
mem,motor,MSC04,MSC01,0.7150000000000001,1.0,0.43
glass,semantic,MSC04,MSC02,0.54,1.0,0.08
glass,motor,MSC04,MSC02,0.5549999999999999,1.0,0.11000000000000001
glass,mem,MSC04,MSC02,0.61,1.0,0.22000000000000003
semantic,glass,MSC04,MSC02,0.5799999999999998,1.0,0.15999999999999998
semantic,motor,MSC04,MSC02,0.5,1.0,0.0
semantic,mem,MSC04,MSC02,0.565,1.0,0.13000000000000003
motor,glass,MSC04,MSC02,0.74,1.0,0.48
motor,semantic,MSC04,MSC02,0.75,1.0,0.5
motor,mem,MSC04,MSC02,0.7350000000000001,1.0,0.4699999999999999
mem,glass,MSC04,MSC02,0.565,1.0,0.13
mem,semantic,MSC04,MSC02,0.6500000000000001,1.0,0.29999999999999993
mem,motor,MSC04,MSC02,0.53,1.0,0.06
glass,semantic,MSC04,MSC03,0.7050000000000001,1.0,0.41
glass,motor,MSC04,MSC03,0.825,1.0,0.6499999999999999
glass,mem,MSC04,MSC03,0.6950000000000001,1.0,0.38999999999999996
semantic,glass,MSC04,MSC03,0.5,1.0,0.0
semantic,motor,MSC04,MSC03,0.5399999999999999,1.0,0.07999999999999999
semantic,mem,MSC04,MSC03,0.5599999999999999,1.0,0.12000000000000002
motor,glass,MSC04,MSC03,0.685,0.9400000000000001,0.4299999999999999
motor,semantic,MSC04,MSC03,0.77,0.9400000000000001,0.6
motor,mem,MSC04,MSC03,0.7749999999999999,0.9400000000000001,0.61
mem,glass,MSC04,MSC03,0.5599999999999999,0.9800000000000001,0.14
mem,semantic,MSC04,MSC03,0.835,0.9800000000000001,0.6900000000000001
mem,motor,MSC04,MSC03,0.8099999999999999,0.9800000000000001,0.64
glass,semantic,MSC04,MSC05,0.59,1.0,0.18
glass,motor,MSC04,MSC05,0.6849999999999998,1.0,0.37000000000000005
glass,mem,MSC04,MSC05,0.66,1.0,0.31999999999999995
semantic,glass,MSC04,MSC05,0.5,1.0,0.0
semantic,motor,MSC04,MSC05,0.5349999999999999,1.0,0.06999999999999999
semantic,mem,MSC04,MSC05,0.5,1.0,0.0
motor,glass,MSC04,MSC05,0.565,1.0,0.13
motor,semantic,MSC04,MSC05,0.625,1.0,0.24999999999999994
motor,mem,MSC04,MSC05,0.675,1.0,0.35
mem,glass,MSC04,MSC05,0.5,1.0,0.0
mem,semantic,MSC04,MSC05,0.6049999999999999,1.0,0.21000000000000002
mem,motor,MSC04,MSC05,0.615,1.0,0.23000000000000004
glass,semantic,MSC04,MSC06,0.7899999999999999,1.0,0.5800000000000001
glass,motor,MSC04,MSC06,0.7150000000000001,1.0,0.43
glass,mem,MSC04,MSC06,0.8200000000000001,1.0,0.6400000000000001
semantic,glass,MSC04,MSC06,0.5055555555555555,1.0,0.01111111111111111
semantic,motor,MSC04,MSC06,0.505,1.0,0.01
semantic,mem,MSC04,MSC06,0.59,1.0,0.18
motor,glass,MSC04,MSC06,0.5055555555555555,1.0,0.01111111111111111
motor,semantic,MSC04,MSC06,0.64,1.0,0.27999999999999997
motor,mem,MSC04,MSC06,0.5499999999999999,1.0,0.09999999999999999
mem,glass,MSC04,MSC06,0.7111111111111111,1.0,0.4222222222222222
mem,semantic,MSC04,MSC06,0.67,1.0,0.33999999999999997
mem,motor,MSC04,MSC06,0.7849999999999999,1.0,0.5700000000000001
glass,semantic,MSC04,MSC07,0.5700000000000001,0.8900000000000002,0.25
glass,motor,MSC04,MSC07,0.775,0.8900000000000002,0.6599999999999999
glass,mem,MSC04,MSC07,0.605,0.8900000000000002,0.32
semantic,glass,MSC04,MSC07,0.8099999999999999,1.0,0.62
semantic,motor,MSC04,MSC07,0.51,1.0,0.02
semantic,mem,MSC04,MSC07,0.625,1.0,0.25000000000000006
motor,glass,MSC04,MSC07,0.705,1.0,0.41
motor,semantic,MSC04,MSC07,0.67,1.0,0.33999999999999997
motor,mem,MSC04,MSC07,0.6,1.0,0.2
mem,glass,MSC04,MSC07,0.7849999999999999,0.9400000000000001,0.63
mem,semantic,MSC04,MSC07,0.7,0.9400000000000001,0.45999999999999996
mem,motor,MSC04,MSC07,0.7699999999999999,0.9400000000000001,0.6
glass,semantic,MSC04,MSC10,0.6950000000000001,0.99,0.39999999999999997
glass,motor,MSC04,MSC10,0.7799999999999999,0.99,0.5700000000000001
glass,mem,MSC04,MSC10,0.725,0.99,0.45999999999999996
semantic,glass,MSC04,MSC10,0.595,1.0,0.19000000000000003
semantic,motor,MSC04,MSC10,0.5,1.0,0.0
semantic,mem,MSC04,MSC10,0.71,1.0,0.42000000000000004
motor,glass,MSC04,MSC10,0.7050000000000001,1.0,0.41
motor,semantic,MSC04,MSC10,0.6350000000000001,1.0,0.2699999999999999
motor,mem,MSC04,MSC10,0.74,1.0,0.48
mem,glass,MSC04,MSC10,0.885,0.99,0.78
mem,semantic,MSC04,MSC10,0.89,0.99,0.7899999999999998
mem,motor,MSC04,MSC10,0.905,0.99,0.8200000000000001
glass,semantic,MSC05,MSC01,0.7100000000000001,1.0,0.42000000000000004
glass,motor,MSC05,MSC01,0.8350000000000002,1.0,0.6699999999999999
glass,mem,MSC05,MSC01,0.7050000000000001,1.0,0.41
semantic,glass,MSC05,MSC01,0.7050000000000001,1.0,0.41
semantic,motor,MSC05,MSC01,0.845,1.0,0.6900000000000001
semantic,mem,MSC05,MSC01,0.8299999999999998,1.0,0.6599999999999999
motor,glass,MSC05,MSC01,0.6600000000000001,1.0,0.31999999999999995
motor,semantic,MSC05,MSC01,0.6900000000000002,1.0,0.37999999999999995
motor,mem,MSC05,MSC01,0.7999999999999999,1.0,0.5999999999999999
mem,glass,MSC05,MSC01,0.8450000000000001,1.0,0.69
mem,semantic,MSC05,MSC01,0.85,1.0,0.7
mem,motor,MSC05,MSC01,0.945,1.0,0.8900000000000002
glass,semantic,MSC05,MSC02,0.665,0.78,0.55
glass,motor,MSC05,MSC02,0.8399999999999999,0.78,0.9000000000000001
glass,mem,MSC05,MSC02,0.845,0.78,0.9100000000000001
semantic,glass,MSC05,MSC02,0.755,1.0,0.51
semantic,motor,MSC05,MSC02,0.8099999999999999,1.0,0.62
semantic,mem,MSC05,MSC02,0.8649999999999999,1.0,0.73
motor,glass,MSC05,MSC02,0.7300000000000001,0.79,0.6699999999999999
motor,semantic,MSC05,MSC02,0.6649999999999999,0.79,0.54
motor,mem,MSC05,MSC02,0.875,0.79,0.9600000000000002
mem,glass,MSC05,MSC02,0.74,0.5999999999999999,0.8800000000000001
mem,semantic,MSC05,MSC02,0.7799999999999999,0.5999999999999999,0.96
mem,motor,MSC05,MSC02,0.7999999999999999,0.5999999999999999,1.0
glass,semantic,MSC05,MSC03,0.8499999999999999,1.0,0.7000000000000001
glass,motor,MSC05,MSC03,0.86,1.0,0.72
glass,mem,MSC05,MSC03,0.5549999999999999,1.0,0.10999999999999999
semantic,glass,MSC05,MSC03,0.76,1.0,0.5199999999999999
semantic,motor,MSC05,MSC03,0.9250000000000002,1.0,0.85
semantic,mem,MSC05,MSC03,0.6049999999999999,1.0,0.20999999999999996
motor,glass,MSC05,MSC03,0.95,1.0,0.9000000000000001
motor,semantic,MSC05,MSC03,0.8149999999999998,1.0,0.6299999999999999
motor,mem,MSC05,MSC03,0.61,1.0,0.22000000000000003
mem,glass,MSC05,MSC03,0.905,0.99,0.82
mem,semantic,MSC05,MSC03,0.89,0.99,0.7899999999999999
mem,motor,MSC05,MSC03,0.99,0.99,0.99
glass,semantic,MSC05,MSC04,0.5999999999999999,1.0,0.19999999999999998
glass,motor,MSC05,MSC04,0.7949999999999998,1.0,0.59
glass,mem,MSC05,MSC04,0.5499999999999999,1.0,0.09999999999999999
semantic,glass,MSC05,MSC04,0.6450000000000001,1.0,0.2899999999999999
semantic,motor,MSC05,MSC04,0.7050000000000002,1.0,0.41
semantic,mem,MSC05,MSC04,0.5499999999999999,1.0,0.09999999999999999
motor,glass,MSC05,MSC04,0.765,1.0,0.53
motor,semantic,MSC05,MSC04,0.5999999999999999,1.0,0.19999999999999998
motor,mem,MSC05,MSC04,0.5899999999999999,1.0,0.18
mem,glass,MSC05,MSC04,0.825,1.0,0.6499999999999999
mem,semantic,MSC05,MSC04,0.74,1.0,0.48
mem,motor,MSC05,MSC04,0.85,1.0,0.7000000000000001
glass,semantic,MSC05,MSC06,0.76,1.0,0.5199999999999999
glass,motor,MSC05,MSC06,0.68,1.0,0.36
glass,mem,MSC05,MSC06,0.7,1.0,0.4
semantic,glass,MSC05,MSC06,0.561111111111111,1.0,0.12222222222222226
semantic,motor,MSC05,MSC06,0.635,1.0,0.26999999999999996
semantic,mem,MSC05,MSC06,0.5949999999999999,1.0,0.19
motor,glass,MSC05,MSC06,0.7166666666666667,1.0,0.4333333333333334
motor,semantic,MSC05,MSC06,0.7000000000000001,1.0,0.39999999999999997
motor,mem,MSC05,MSC06,0.79,1.0,0.58
mem,glass,MSC05,MSC06,0.7055555555555556,1.0,0.41111111111111115
mem,semantic,MSC05,MSC06,0.8049999999999999,1.0,0.61
mem,motor,MSC05,MSC06,0.8499999999999999,1.0,0.7000000000000001
glass,semantic,MSC05,MSC07,0.675,1.0,0.35
glass,motor,MSC05,MSC07,0.845,1.0,0.6900000000000001
glass,mem,MSC05,MSC07,0.585,1.0,0.17
semantic,glass,MSC05,MSC07,0.6950000000000001,1.0,0.39
semantic,motor,MSC05,MSC07,0.845,1.0,0.6900000000000001
semantic,mem,MSC05,MSC07,0.615,1.0,0.22999999999999998
motor,glass,MSC05,MSC07,0.5499999999999999,0.9000000000000001,0.19999999999999998
motor,semantic,MSC05,MSC07,0.575,0.9000000000000001,0.25000000000000006
motor,mem,MSC05,MSC07,0.675,0.9000000000000001,0.4499999999999999
mem,glass,MSC05,MSC07,0.7849999999999999,0.93,0.6399999999999999
mem,semantic,MSC05,MSC07,0.8149999999999998,0.93,0.7000000000000001
mem,motor,MSC05,MSC07,0.9100000000000001,0.93,0.89
glass,semantic,MSC05,MSC10,0.64,0.95,0.32999999999999996
glass,motor,MSC05,MSC10,0.8549999999999999,0.95,0.76
glass,mem,MSC05,MSC10,0.685,0.95,0.41999999999999993
semantic,glass,MSC05,MSC10,0.5499999999999999,1.0,0.09999999999999999
semantic,motor,MSC05,MSC10,0.6649999999999998,1.0,0.33000000000000007
