train,same_sub,diff_sub,feat
MSC07,0.7,0.57,20
MSC10,0.61,0.49,20
MSC01,0.75,0.54,20
MSC02,0.64,0.45,20
MSC03,0.56,0.53,20
MSC04,0.79,0.59,20
MSC05,0.78,0.54,20
MSC06,0.68,0.53,20
MSC07,0.6,0.51,20
MSC10,0.62,0.53,20
MSC01,0.85,0.56,20
MSC02,0.68,0.55,20
MSC03,0.75,0.51,20
MSC04,0.68,0.58,20
MSC05,0.78,0.53,20
MSC06,0.81,0.54,20
MSC07,0.6,0.54,20
MSC10,0.66,0.55,20
MSC01,0.81,0.48,20
MSC02,0.64,0.53,20
MSC03,0.7,0.51,20
MSC04,0.74,0.55,20
MSC05,0.69,0.46,20
MSC06,0.76,0.55,20
MSC07,0.71,0.5,20
MSC10,0.7,0.57,20
MSC01,0.85,0.57,20
MSC02,0.64,0.61,20
MSC03,0.72,0.52,20
MSC04,0.75,0.55,20
MSC05,0.89,0.55,20
MSC06,0.64,0.58,20
MSC07,0.75,0.57,20
MSC10,0.8,0.52,20
MSC01,0.72,0.57,21
MSC02,0.72,0.53,21
MSC03,0.6,0.54,21
MSC04,0.65,0.59,21
MSC05,0.81,0.55,21
MSC06,0.84,0.65,21
MSC07,0.74,0.55,21
MSC10,0.79,0.6,21
MSC01,0.72,0.53,21
MSC02,0.5,0.53,21
MSC03,0.71,0.52,21
MSC04,0.76,0.53,21
MSC05,0.61,0.47,21
MSC06,0.61,0.52,21
MSC07,0.66,0.51,21
MSC10,0.64,0.51,21
MSC01,0.74,0.55,21
MSC02,0.7,0.53,21
MSC03,0.74,0.56,21
MSC04,0.71,0.47,21
MSC05,0.8,0.57,21
MSC06,0.74,0.57,21
MSC07,0.68,0.57,21
MSC10,0.74,0.52,21
MSC01,0.7,0.53,21
MSC02,0.68,0.46,21
MSC03,0.88,0.62,21
MSC04,0.66,0.59,21
MSC05,0.86,0.56,21
MSC06,0.86,0.5,21
MSC07,0.72,0.46,21
MSC10,0.82,0.6,21
MSC01,0.69,0.54,21
MSC02,0.71,0.54,21
MSC03,0.65,0.54,21
MSC04,0.6,0.53,21
MSC05,0.76,0.51,21
MSC06,0.65,0.53,21
MSC07,0.82,0.55,21
MSC10,0.65,0.58,21
MSC01,0.79,0.57,21
MSC02,0.76,0.64,21
MSC03,0.88,0.53,21
MSC04,0.89,0.58,21
MSC05,0.89,0.55,21
MSC06,0.76,0.59,21
MSC07,0.78,0.62,21
MSC10,0.7,0.61,21
MSC01,0.79,0.46,22
MSC02,0.64,0.54,22
MSC03,0.71,0.52,22
MSC04,0.74,0.51,22
MSC05,0.8,0.54,22
MSC06,0.81,0.51,22
MSC07,0.7,0.52,22
MSC10,0.69,0.55,22
MSC01,0.65,0.58,22
MSC02,0.56,0.52,22
MSC03,0.61,0.56,22
MSC04,0.79,0.54,22
MSC05,0.62,0.56,22
MSC06,0.66,0.5,22
MSC07,0.72,0.56,22
MSC10,0.65,0.53,22
MSC01,0.68,0.63,22
MSC02,0.88,0.58,22
MSC03,0.69,0.58,22
MSC04,0.69,0.6,22
MSC05,0.9,0.56,22
MSC06,0.8,0.59,22
MSC07,0.72,0.56,22
MSC10,0.66,0.57,22
MSC01,0.64,0.57,22
MSC02,0.78,0.5,22
MSC03,0.66,0.52,22
MSC04,0.78,0.56,22
MSC05,0.81,0.56,22
MSC06,0.84,0.57,22
MSC07,0.61,0.54,22
MSC10,0.68,0.57,22
MSC01,0.84,0.54,22
MSC02,0.84,0.6,22
MSC03,0.89,0.54,22
MSC04,0.75,0.54,22
MSC05,0.84,0.56,22
MSC06,0.7,0.53,22
MSC07,0.74,0.54,22
MSC10,0.69,0.56,22
MSC01,0.8,0.52,23
MSC02,0.89,0.51,23
MSC03,0.69,0.6,23
MSC04,0.89,0.61,23
MSC05,0.91,0.56,23
MSC06,0.82,0.62,23
MSC07,0.75,0.58,23
MSC10,0.71,0.65,23
MSC01,0.79,0.56,23
MSC02,0.78,0.61,23
MSC03,0.66,0.58,23
MSC04,0.88,0.65,23
MSC05,0.75,0.62,23
MSC06,0.9,0.63,23
MSC07,0.68,0.61,23
MSC10,0.75,0.55,23
MSC01,0.75,0.56,23
MSC02,0.68,0.49,23
MSC03,0.7,0.56,23
MSC04,0.62,0.52,23
MSC05,0.85,0.54,23
MSC06,0.69,0.54,23
MSC07,0.71,0.56,23
MSC10,0.75,0.51,23
MSC01,0.75,0.6,23
MSC02,0.71,0.58,23
MSC03,0.62,0.54,23
MSC04,0.71,0.55,23
MSC05,0.94,0.52,23
MSC06,0.6,0.59,23
MSC07,0.71,0.55,23
MSC10,0.7,0.53,23
MSC01,0.74,0.68,23
MSC02,0.7,0.6,23
MSC03,0.72,0.66,23
MSC04,0.85,0.67,23
MSC05,0.84,0.57,23
MSC06,0.7,0.63,23
MSC07,0.78,0.68,23
MSC10,0.79,0.65,23
MSC01,0.82,0.61,24
MSC02,0.75,0.54,24
MSC03,0.71,0.64,24
MSC04,0.84,0.6,24
MSC05,0.84,0.6,24
MSC06,0.71,0.52,24
MSC07,0.64,0.51,24
MSC10,0.64,0.54,24
MSC01,0.66,0.49,24
MSC02,0.55,0.58,24
MSC03,0.66,0.51,24
MSC04,0.79,0.52,24
MSC05,0.8,0.54,24
MSC06,0.8,0.55,24
MSC07,0.65,0.61,24
MSC10,0.6,0.51,24
MSC01,0.72,0.59,24
MSC02,0.69,0.54,24
MSC03,0.74,0.58,24
MSC04,0.81,0.59,24
MSC05,0.84,0.56,24
MSC06,0.8,0.54,24
MSC07,0.78,0.54,24
MSC10,0.64,0.58,24
MSC01,0.75,0.55,24
MSC02,0.74,0.56,24
MSC03,0.62,0.52,24
MSC04,0.82,0.51,24
MSC05,0.82,0.6,24
MSC06,0.81,0.57,24
MSC07,0.6,0.51,24
MSC10,0.72,0.51,24
MSC01,0.8,0.6,24
MSC02,0.85,0.64,24
MSC03,0.78,0.5,24
MSC04,0.69,0.59,24
MSC05,0.76,0.59,24
MSC06,0.78,0.6,24
MSC07,0.75,0.63,24
MSC10,0.68,0.62,24
MSC01,0.82,0.55,25
MSC02,0.68,0.55,25
MSC03,0.74,0.58,25
MSC04,0.91,0.61,25
MSC05,0.74,0.58,25
MSC06,0.74,0.59,25
MSC07,0.75,0.56,25
MSC10,0.75,0.55,25
MSC01,0.85,0.63,25
MSC02,0.69,0.51,25
MSC03,0.66,0.57,25
MSC04,0.86,0.54,25
MSC05,0.8,0.6,25
MSC06,0.74,0.59,25
MSC07,0.78,0.58,25
MSC10,0.74,0.6,25
MSC01,0.84,0.5,25
MSC02,0.81,0.51,25
MSC03,0.68,0.61,25
MSC04,0.76,0.54,25
MSC05,0.75,0.58,25
MSC06,0.79,0.57,25
MSC07,0.66,0.47,25
MSC10,0.84,0.57,25
MSC01,0.75,0.61,25
MSC02,0.69,0.56,25
MSC03,0.8,0.58,25
MSC04,0.68,0.56,25
