train_task,test_task,diff
motor,mixed,-0.08062499999999997
mem,mixed,-0.04249999999999999
mem,motor,-0.06437499999999999
mixed,mem,-0.01312499999999999
mixed,motor,-0.06875000000000002
motor,mem,0.07375000000000004
motor,mixed,0.007499999999999993
mem,mixed,0.021875000000000006
mem,motor,0.018125000000000013
mixed,mem,0.052500000000000026
mixed,motor,-0.05875000000000003
motor,mem,0.038125000000000006
motor,mixed,0.012499999999999997
mem,mixed,-0.07624999999999998
mem,motor,0.016249999999999987
mixed,mem,0.021875000000000012
mixed,motor,-0.019375000000000003
motor,mem,-0.04124999999999999
motor,mixed,0.10375
mem,mixed,0.0024999999999999814
mem,motor,0.07375000000000001
mixed,mem,-0.03812499999999998
mixed,motor,0.10124999999999999
motor,mem,-0.008749999999999977
motor,mixed,0.06125000000000003
mem,mixed,-0.05249999999999999
mem,motor,0.031875000000000014
mixed,mem,0.01062500000000003
mixed,motor,-0.02624999999999996
motor,mem,0.006874999999999999
motor,mixed,0.06875
mem,mixed,-0.01125000000000001
mem,motor,0.07812500000000006
mixed,mem,0.037499999999999985
mixed,motor,0.07999999999999999
motor,mem,-0.013749999999999984
motor,mixed,0.03062499999999998
mem,mixed,-0.03750000000000001
mem,motor,-0.025625000000000016
mixed,mem,-0.03312500000000002
mixed,motor,0.04937499999999999
motor,mem,0.11624999999999999
motor,mixed,0.00562499999999997
mem,mixed,0.020000000000000025
mem,motor,0.021874999999999988
mixed,mem,-0.016874999999999994
mixed,motor,-0.029375000000000012
motor,mem,-0.08187499999999995
motor,mixed,0.030625000000000027
mem,mixed,-0.05875000000000003
mem,motor,-0.030624999999999986
mixed,mem,-0.05500000000000001
mixed,motor,0.03687499999999998
motor,mem,-0.0049999999999999906
motor,mixed,0.01437500000000001
mem,mixed,-0.059375000000000074
mem,motor,-0.028124999999999976
mixed,mem,0.028125000000000018
mixed,motor,-0.005624999999999991
motor,mem,0.04000000000000001
motor,mixed,0.021874999999999974
mem,mixed,0.016249999999999987
mem,motor,0.05812500000000001
