train_task,test_task,train_sub,test_sub,acc
mem,motor,MSC05,MSC03,0.9650000000000001
mixed,motor,MSC05,MSC04,0.925
mixed,mem,MSC05,MSC04,0.8299999999999998
motor,mixed,MSC05,MSC04,0.5
motor,mem,MSC05,MSC04,0.5
mem,mixed,MSC05,MSC04,0.7350000000000001
mem,motor,MSC05,MSC04,0.7100000000000001
mixed,motor,MSC05,MSC06,0.8833333333333334
mixed,mem,MSC05,MSC06,0.885
motor,mixed,MSC05,MSC06,0.5
motor,mem,MSC05,MSC06,0.5
mem,mixed,MSC05,MSC06,0.5149999999999999
mem,motor,MSC05,MSC06,0.6333333333333333
mixed,motor,MSC05,MSC07,0.861111111111111
mixed,mem,MSC05,MSC07,0.7849999999999999
motor,mixed,MSC05,MSC07,0.5399999999999999
motor,mem,MSC05,MSC07,0.5399999999999999
mem,mixed,MSC05,MSC07,0.66
mem,motor,MSC05,MSC07,0.8166666666666668
mixed,motor,MSC05,MSC10,0.82
mixed,mem,MSC05,MSC10,0.85
motor,mixed,MSC05,MSC10,0.5
motor,mem,MSC05,MSC10,0.5
mem,mixed,MSC05,MSC10,0.76
mem,motor,MSC05,MSC10,0.89
mixed,motor,MSC06,MSC01,0.6849999999999999
mixed,mem,MSC06,MSC01,0.565
motor,mixed,MSC06,MSC01,0.5166666666666667
motor,mem,MSC06,MSC01,0.5833333333333334
mem,mixed,MSC06,MSC01,0.885
mem,motor,MSC06,MSC01,0.8999999999999998
mixed,motor,MSC06,MSC02,0.585
mixed,mem,MSC06,MSC02,0.64
motor,mixed,MSC06,MSC02,0.5722222222222222
motor,mem,MSC06,MSC02,0.6166666666666667
mem,mixed,MSC06,MSC02,0.7599999999999999
mem,motor,MSC06,MSC02,0.7599999999999999
mixed,motor,MSC06,MSC03,0.5199999999999999
mixed,mem,MSC06,MSC03,0.63125
motor,mixed,MSC06,MSC03,0.5777777777777778
motor,mem,MSC06,MSC03,0.5486111111111112
mem,mixed,MSC06,MSC03,0.6849999999999999
mem,motor,MSC06,MSC03,0.74
mixed,motor,MSC06,MSC04,0.6399999999999999
mixed,mem,MSC06,MSC04,0.6
motor,mixed,MSC06,MSC04,0.6
motor,mem,MSC06,MSC04,0.5833333333333333
mem,mixed,MSC06,MSC04,0.9349999999999999
mem,motor,MSC06,MSC04,0.9199999999999999
mixed,motor,MSC06,MSC05,0.6449999999999999
mixed,mem,MSC06,MSC05,0.6050000000000001
motor,mixed,MSC06,MSC05,0.5499999999999999
motor,mem,MSC06,MSC05,0.5888888888888889
mem,mixed,MSC06,MSC05,0.75
mem,motor,MSC06,MSC05,0.82
mixed,motor,MSC06,MSC07,0.7777777777777778
mixed,mem,MSC06,MSC07,0.77
motor,mixed,MSC06,MSC07,0.6277777777777778
motor,mem,MSC06,MSC07,0.6722222222222223
mem,mixed,MSC06,MSC07,0.6900000000000001
mem,motor,MSC06,MSC07,0.638888888888889
mixed,motor,MSC06,MSC10,0.655
mixed,mem,MSC06,MSC10,0.7300000000000001
motor,mixed,MSC06,MSC10,0.5833333333333334
motor,mem,MSC06,MSC10,0.6333333333333333
mem,mixed,MSC06,MSC10,0.7649999999999999
mem,motor,MSC06,MSC10,0.7150000000000001
mixed,motor,MSC07,MSC01,0.9400000000000001
mixed,mem,MSC07,MSC01,0.925
motor,mixed,MSC07,MSC01,0.6833333333333333
motor,mem,MSC07,MSC01,0.8666666666666667
mem,mixed,MSC07,MSC01,0.6449999999999999
mem,motor,MSC07,MSC01,0.6449999999999999
mixed,motor,MSC07,MSC02,0.635
mixed,mem,MSC07,MSC02,0.6950000000000001
motor,mixed,MSC07,MSC02,0.6388888888888888
motor,mem,MSC07,MSC02,0.5666666666666667
mem,mixed,MSC07,MSC02,0.54
mem,motor,MSC07,MSC02,0.635
mixed,motor,MSC07,MSC03,0.655
mixed,mem,MSC07,MSC03,0.8625
motor,mixed,MSC07,MSC03,0.5611111111111111
motor,mem,MSC07,MSC03,0.6041666666666666
mem,mixed,MSC07,MSC03,0.635
mem,motor,MSC07,MSC03,0.665
mixed,motor,MSC07,MSC04,0.6799999999999999
mixed,mem,MSC07,MSC04,0.615
motor,mixed,MSC07,MSC04,0.48888888888888893
motor,mem,MSC07,MSC04,0.5444444444444444
mem,mixed,MSC07,MSC04,0.7999999999999999
mem,motor,MSC07,MSC04,0.86
mixed,motor,MSC07,MSC05,0.5
mixed,mem,MSC07,MSC05,0.62
motor,mixed,MSC07,MSC05,0.7333333333333333
motor,mem,MSC07,MSC05,0.7944444444444444
mem,mixed,MSC07,MSC05,0.835
mem,motor,MSC07,MSC05,0.775
mixed,motor,MSC07,MSC06,0.5111111111111111
mixed,mem,MSC07,MSC06,0.575
motor,mixed,MSC07,MSC06,0.5166666666666666
motor,mem,MSC07,MSC06,0.5222222222222221
mem,mixed,MSC07,MSC06,0.82
mem,motor,MSC07,MSC06,0.9055555555555556
mixed,motor,MSC07,MSC10,0.6
mixed,mem,MSC07,MSC10,0.615
motor,mixed,MSC07,MSC10,0.5444444444444445
motor,mem,MSC07,MSC10,0.6722222222222222
mem,mixed,MSC07,MSC10,0.755
mem,motor,MSC07,MSC10,0.725
mixed,motor,MSC10,MSC01,0.5
mixed,mem,MSC10,MSC01,0.5
motor,mixed,MSC10,MSC01,0.725
motor,mem,MSC10,MSC01,0.765
mem,mixed,MSC10,MSC01,0.735
mem,motor,MSC10,MSC01,0.825
mixed,motor,MSC10,MSC02,0.39
mixed,mem,MSC10,MSC02,0.7150000000000001
motor,mixed,MSC10,MSC02,0.5
motor,mem,MSC10,MSC02,0.5399999999999999
mem,mixed,MSC10,MSC02,0.41500000000000004
mem,motor,MSC10,MSC02,0.7200000000000001
mixed,motor,MSC10,MSC03,0.6399999999999999
mixed,mem,MSC10,MSC03,0.625
motor,mixed,MSC10,MSC03,0.605
motor,mem,MSC10,MSC03,0.7
mem,mixed,MSC10,MSC03,0.76
mem,motor,MSC10,MSC03,0.8699999999999999
mixed,motor,MSC10,MSC04,0.8150000000000001
mixed,mem,MSC10,MSC04,0.9100000000000001
motor,mixed,MSC10,MSC04,0.505
motor,mem,MSC10,MSC04,0.5499999999999999
mem,mixed,MSC10,MSC04,0.7899999999999999
mem,motor,MSC10,MSC04,0.8900000000000002
mixed,motor,MSC10,MSC05,0.64
mixed,mem,MSC10,MSC05,0.885
motor,mixed,MSC10,MSC05,0.7449999999999999
motor,mem,MSC10,MSC05,0.8099999999999999
mem,mixed,MSC10,MSC05,0.8800000000000001
mem,motor,MSC10,MSC05,0.8049999999999999
mixed,motor,MSC10,MSC06,0.6277777777777779
mixed,mem,MSC10,MSC06,0.7350000000000001
motor,mixed,MSC10,MSC06,0.5
motor,mem,MSC10,MSC06,0.5
mem,mixed,MSC10,MSC06,0.635
mem,motor,MSC10,MSC06,0.7
mixed,motor,MSC10,MSC07,0.7555555555555555
mixed,mem,MSC10,MSC07,0.6900000000000001
motor,mixed,MSC10,MSC07,0.5149999999999999
motor,mem,MSC10,MSC07,0.5
mem,mixed,MSC10,MSC07,0.5449999999999999
mem,motor,MSC10,MSC07,0.7611111111111111
