acc,train,test,train_task,test_task
0.5,MSC01,MSC07,mixed,motor
0.5,MSC01,MSC07,mixed,motor
0.5,MSC01,MSC07,mixed,motor
0.7,MSC01,MSC07,mixed,motor
0.9,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.65,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.65,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.9,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.65,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.65,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.7,MSC01,MSC07,motor,mem
0.8,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.8,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC10,mixed,mem
0.75,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.8,MSC01,MSC10,mixed,mem
0.7,MSC01,MSC10,mixed,mem
0.75,MSC01,MSC10,mixed,mem
0.65,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.8,MSC01,MSC10,mixed,motor
0.75,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mixed,motor
0.7,MSC01,MSC10,mixed,motor
0.75,MSC01,MSC10,mixed,motor
0.65,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.8,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
