Network,task,train,diff_sub,feature,mu,std,z_score
default,glass,MSC06,0.6341269841269841,10824,0.5585714285714287,0.01309262634227976,5.770847924649412
default,glass,MSC07,0.5366906474820143,10824,0.5147625899280573,0.003688937944797047,5.944273902705458
default,glass,MSC10,0.7726618705035971,10824,0.6497697841726618,0.0265593014552819,4.627082776926556
unassign,glass,MSC01,0.5071942446043165,14808,0.6260575539568344,0.01804367634645032,-6.587532777149458
unassign,glass,MSC02,0.5165467625899279,14808,0.5235539568345324,0.005804798506518173,-1.2071382386031422
unassign,glass,MSC03,0.5107913669064749,14808,0.5188920863309355,0.00166652942613437,-4.860831916572182
unassign,glass,MSC04,0.5525179856115108,14808,0.6950215827338129,0.02019564187708739,-7.056155877074501
unassign,glass,MSC05,0.5035971223021583,14808,0.5730791366906474,0.010010077111908001,-6.941206707172436
unassign,glass,MSC06,0.5428571428571428,14808,0.5567063492063494,0.013567715077205346,-1.020747139101866
unassign,glass,MSC07,0.5028776978417266,14808,0.5150575539568345,0.0032837163388237988,-3.7091681675130883
unassign,glass,MSC10,0.5208633093525179,14808,0.6472158273381293,0.020292993816414064,-6.226410904605447
pon,mem,MSC01,0.4764285714285714,21,0.5985144927536232,0.0685017259548313,-1.782231317872967
pon,mem,MSC02,0.4721428571428571,21,0.5839275362318841,0.06715768682085323,-1.6645105628372625
pon,mem,MSC03,0.4514285714285714,21,0.5882589285714287,0.05060134528330765,-2.7040853632797552
pon,mem,MSC04,0.5035714285714286,21,0.5982101449275365,0.05660167755354337,-1.672012570061776
pon,mem,MSC05,0.5121428571428571,21,0.5846521739130434,0.06765750068375592,-1.0717114294408927
pon,mem,MSC06,0.5028571428571429,21,0.604934782608696,0.05742502870401751,-1.7775809965666018
pon,mem,MSC07,0.4721428571428571,21,0.5822681159420291,0.06708301620217086,-1.6416265253679556
pon,mem,MSC10,0.4935714285714286,21,0.6080652173913044,0.05918933294166879,-1.9343652501154158
pmn,mem,MSC01,0.5714285714285714,45,0.6208188405797099,0.07181896214536627,-0.6877051363004857
pmn,mem,MSC02,0.6042857142857143,45,0.621572463768116,0.064859773176424,-0.26652497589500224
pmn,mem,MSC03,0.4942857142857143,45,0.6168392857142854,0.058826135879583234,-2.083318402545385
