train,task,same_sub,diff_sub,feature,Null_Network
MSC05,semantic,0.95,0.73,14808,unassign
MSC06,semantic,0.95,0.7828571428571429,14808,unassign
MSC07,semantic,1.0,0.5657142857142857,14808,unassign
MSC10,semantic,0.9,0.7478571428571429,14808,unassign
MSC01,glass,0.9,0.658273381294964,14808,unassign
MSC02,glass,0.85,0.5244604316546763,14808,unassign
MSC03,glass,0.85,0.518705035971223,14808,unassign
MSC04,glass,0.95,0.7158273381294964,14808,unassign
MSC05,glass,0.9,0.576978417266187,14808,unassign
MSC06,glass,0.7777777777777778,0.5404761904761904,14808,unassign
MSC07,glass,0.95,0.5223021582733813,14808,unassign
MSC10,glass,0.85,0.6258992805755396,14808,unassign
MSC01,motor,1.0,0.9202898550724637,14808,unassign
MSC02,motor,0.95,0.6065217391304347,14808,unassign
MSC03,motor,1.0,0.8442028985507246,14808,unassign
MSC04,motor,1.0,0.9681159420289855,14808,unassign
MSC05,motor,1.0,0.7898550724637682,14808,unassign
MSC06,motor,1.0,0.7953637090327738,14808,unassign
MSC07,motor,0.9444444444444444,0.8976818545163869,14808,unassign
MSC10,motor,0.95,0.8710144927536232,14808,unassign
MSC01,mem,1.0,0.8528985507246377,14808,unassign
MSC02,mem,1.0,0.9239130434782609,14808,unassign
MSC03,mem,0.9375,0.725,14808,unassign
MSC04,mem,1.0,0.9094202898550725,14808,unassign
MSC05,mem,1.0,0.8833333333333333,14808,unassign
MSC06,mem,1.0,0.913768115942029,14808,unassign
MSC07,mem,1.0,0.8507246376811595,14808,unassign
MSC10,mem,0.95,0.8449275362318841,14808,unassign
MSC01,semantic,0.95,0.7328571428571429,14808,unassign
MSC02,semantic,0.9,0.5414285714285714,14808,unassign
MSC03,semantic,0.9,0.5035714285714286,14808,unassign
MSC04,semantic,0.95,0.7185714285714285,14808,unassign
MSC05,semantic,0.95,0.7935714285714286,14808,unassign
MSC06,semantic,1.0,0.8200000000000001,14808,unassign
MSC07,semantic,1.0,0.5585714285714286,14808,unassign
MSC10,semantic,0.85,0.76,14808,unassign
MSC01,glass,0.9,0.6302158273381295,14808,unassign
MSC02,glass,0.8,0.5215827338129496,14808,unassign
MSC03,glass,0.85,0.516546762589928,14808,unassign
MSC04,glass,0.95,0.6820143884892086,14808,unassign
MSC05,glass,0.95,0.5920863309352518,14808,unassign
MSC06,glass,0.7777777777777778,0.557936507936508,14808,unassign
MSC07,glass,0.9,0.516546762589928,14808,unassign
MSC10,glass,0.85,0.6474820143884892,14808,unassign
MSC01,motor,1.0,0.9253623188405797,14808,unassign
MSC02,motor,0.95,0.5804347826086956,14808,unassign
MSC03,motor,0.95,0.8615942028985507,14808,unassign
MSC04,motor,1.0,0.9666666666666667,14808,unassign
MSC05,motor,1.0,0.8181159420289855,14808,unassign
MSC06,motor,1.0,0.7929656274980016,14808,unassign
MSC07,motor,0.9444444444444444,0.8609112709832134,14808,unassign
MSC10,motor,0.95,0.8630434782608696,14808,unassign
MSC01,mem,1.0,0.8934782608695652,14808,unassign
MSC02,mem,1.0,0.9318840579710145,14808,unassign
MSC03,mem,0.9375,0.7375,14808,unassign
MSC04,mem,1.0,0.9065217391304348,14808,unassign
MSC05,mem,1.0,0.85,14808,unassign
MSC06,mem,1.0,0.9340579710144927,14808,unassign
MSC07,mem,1.0,0.9072463768115943,14808,unassign
MSC10,mem,0.95,0.8586956521739131,14808,unassign
MSC01,semantic,0.95,0.7321428571428572,14808,unassign
MSC02,semantic,0.9,0.5285714285714286,14808,unassign
MSC03,semantic,0.9,0.51,14808,unassign
MSC04,semantic,0.95,0.7150000000000001,14808,unassign
MSC05,semantic,0.95,0.7978571428571428,14808,unassign
MSC06,semantic,0.95,0.7835714285714286,14808,unassign
MSC07,semantic,1.0,0.5571428571428572,14808,unassign
MSC10,semantic,0.85,0.7678571428571429,14808,unassign
MSC01,glass,0.9,0.6093525179856115,14808,unassign
MSC02,glass,0.8,0.5237410071942445,14808,unassign
MSC03,glass,0.85,0.5179856115107914,14808,unassign
MSC04,glass,0.95,0.681294964028777,14808,unassign
