train,task,same_sub,diff,feature,Network
MSC10,motor,0.95,0.6375,co,4060
MSC01,mem,1.0,0.88,co,4060
MSC02,mem,1.0,0.8125,co,4060
MSC03,mem,0.95,0.8375,co,4060
MSC04,mem,1.0,0.74,co,4060
MSC05,mem,0.95,0.85,co,4060
MSC06,mem,1.0,0.7743589743589744,co,4060
MSC07,mem,0.95,0.91,co,4060
MSC10,mem,0.95,0.8425,co,4060
MSC01,semantic,0.95,0.6325,sm,2375
MSC02,semantic,0.85,0.66,sm,2375
MSC03,semantic,0.85,0.8475,sm,2375
MSC04,semantic,0.8,0.63,sm,2375
MSC05,semantic,0.9,0.9275,sm,2375
MSC06,semantic,1.0,0.9,sm,2375
MSC07,semantic,0.85,0.73,sm,2375
MSC10,semantic,0.95,0.8025,sm,2375
MSC01,glass,0.9,0.6775,sm,2375
MSC02,glass,0.8,0.6475,sm,2375
MSC03,glass,0.85,0.8875,sm,2375
MSC04,glass,0.75,0.735,sm,2375
MSC05,glass,0.9,0.9025,sm,2375
MSC06,glass,0.9444444444444444,0.8277777777777777,sm,2375
MSC07,glass,0.8,0.61,sm,2375
MSC10,glass,0.9,0.7825,sm,2375
MSC01,motor,0.95,0.6075,sm,2375
MSC02,motor,1.0,0.37,sm,2375
MSC03,motor,0.95,0.61,sm,2375
MSC04,motor,1.0,0.435,sm,2375
MSC05,motor,1.0,0.4275,sm,2375
MSC06,motor,0.95,0.617948717948718,sm,2375
MSC07,motor,0.95,0.22,sm,2375
MSC10,motor,1.0,0.595,sm,2375
MSC01,mem,0.8,0.865,sm,2375
MSC02,mem,1.0,0.67,sm,2375
MSC03,mem,0.9,0.8175,sm,2375
MSC04,mem,0.95,0.7875,sm,2375
MSC05,mem,1.0,0.815,sm,2375
MSC06,mem,1.0,0.8923076923076924,sm,2375
MSC07,mem,0.9,0.63,sm,2375
MSC10,mem,0.9,0.845,sm,2375
MSC01,semantic,0.85,0.6425000000000001,sm-lat,316
MSC02,semantic,0.9,0.7275,sm-lat,316
MSC03,semantic,0.8,0.585,sm-lat,316
MSC04,semantic,0.65,0.515,sm-lat,316
MSC05,semantic,0.75,0.575,sm-lat,316
MSC06,semantic,0.7,0.5615384615384615,sm-lat,316
MSC07,semantic,0.95,0.6975,sm-lat,316
MSC10,semantic,0.9,0.74,sm-lat,316
MSC01,glass,0.85,0.705,sm-lat,316
MSC02,glass,0.8,0.6950000000000001,sm-lat,316
MSC03,glass,0.85,0.565,sm-lat,316
MSC04,glass,0.75,0.59,sm-lat,316
MSC05,glass,0.7,0.7825,sm-lat,316
MSC06,glass,0.5555555555555556,0.6472222222222223,sm-lat,316
MSC07,glass,0.95,0.635,sm-lat,316
MSC10,glass,0.85,0.81,sm-lat,316
MSC01,motor,0.95,0.5475,sm-lat,316
MSC02,motor,0.9,0.57,sm-lat,316
MSC03,motor,0.95,0.52,sm-lat,316
MSC04,motor,0.75,0.2975,sm-lat,316
MSC05,motor,1.0,0.305,sm-lat,316
MSC06,motor,0.8,0.3384615384615385,sm-lat,316
MSC07,motor,1.0,0.2975,sm-lat,316
MSC10,motor,1.0,0.6725,sm-lat,316
MSC01,mem,0.9,0.79,sm-lat,316
MSC02,mem,0.9,0.75,sm-lat,316
MSC03,mem,0.95,0.605,sm-lat,316
MSC04,mem,0.7,0.52,sm-lat,316
MSC05,mem,0.75,0.68,sm-lat,316
MSC06,mem,0.75,0.6128205128205129,sm-lat,316
MSC07,mem,0.85,0.6900000000000001,sm-lat,316
MSC10,mem,0.9,0.76,sm-lat,316
MSC01,semantic,0.95,0.8175,auditory,564
MSC02,semantic,0.8,0.575,auditory,564
MSC03,semantic,0.85,0.74,auditory,564
MSC04,semantic,0.9,0.5325,auditory,564
MSC05,semantic,0.7,0.375,auditory,564
MSC06,semantic,0.9,0.5256410256410257,auditory,564
MSC07,semantic,0.8,0.6725,auditory,564
MSC10,semantic,0.9,0.8875,auditory,564
MSC01,glass,0.9,0.8425,auditory,564
MSC02,glass,0.85,0.5125,auditory,564
