train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC06,MSC07,0.7499999999999999
mixed,mem,MSC06,MSC07,0.67
motor,mixed,MSC06,MSC07,0.7300000000000001
motor,mem,MSC06,MSC07,0.7050000000000001
mem,mixed,MSC06,MSC07,0.8800000000000001
mem,motor,MSC06,MSC07,0.8800000000000001
mixed,motor,MSC06,MSC10,0.7899999999999999
mixed,mem,MSC06,MSC10,0.8200000000000001
motor,mixed,MSC06,MSC10,0.57
motor,mem,MSC06,MSC10,0.59
mem,mixed,MSC06,MSC10,0.8700000000000001
mem,motor,MSC06,MSC10,0.9149999999999998
mixed,motor,MSC07,MSC01,0.9299999999999999
mixed,mem,MSC07,MSC01,0.8300000000000001
motor,mixed,MSC07,MSC01,0.52
motor,mem,MSC07,MSC01,0.53
mem,mixed,MSC07,MSC01,0.845
mem,motor,MSC07,MSC01,0.845
mixed,motor,MSC07,MSC02,0.53
mixed,mem,MSC07,MSC02,0.75
motor,mixed,MSC07,MSC02,0.53
motor,mem,MSC07,MSC02,0.5599999999999999
mem,mixed,MSC07,MSC02,0.585
mem,motor,MSC07,MSC02,0.525
mixed,motor,MSC07,MSC03,0.585
mixed,mem,MSC07,MSC03,0.8450000000000001
motor,mixed,MSC07,MSC03,0.59
motor,mem,MSC07,MSC03,0.6049999999999999
mem,mixed,MSC07,MSC03,0.595
mem,motor,MSC07,MSC03,0.635
mixed,motor,MSC07,MSC04,0.75
mixed,mem,MSC07,MSC04,0.6950000000000001
motor,mixed,MSC07,MSC04,0.5399999999999999
motor,mem,MSC07,MSC04,0.61
mem,mixed,MSC07,MSC04,0.8249999999999998
mem,motor,MSC07,MSC04,0.8299999999999998
mixed,motor,MSC07,MSC05,0.5149999999999999
mixed,mem,MSC07,MSC05,0.5999999999999999
motor,mixed,MSC07,MSC05,0.7200000000000001
motor,mem,MSC07,MSC05,0.7300000000000001
mem,mixed,MSC07,MSC05,0.875
mem,motor,MSC07,MSC05,0.685
mixed,motor,MSC07,MSC06,0.5299999999999999
mixed,mem,MSC07,MSC06,0.5149999999999999
motor,mixed,MSC07,MSC06,0.595
motor,mem,MSC07,MSC06,0.63
mem,mixed,MSC07,MSC06,0.76
mem,motor,MSC07,MSC06,0.945
mixed,motor,MSC07,MSC10,0.6
mixed,mem,MSC07,MSC10,0.6450000000000001
motor,mixed,MSC07,MSC10,0.6900000000000002
motor,mem,MSC07,MSC10,0.7050000000000001
mem,mixed,MSC07,MSC10,0.7999999999999999
mem,motor,MSC07,MSC10,0.73
mixed,motor,MSC10,MSC01,0.5199999999999999
mixed,mem,MSC10,MSC01,0.5199999999999999
motor,mixed,MSC10,MSC01,0.5599999999999999
motor,mem,MSC10,MSC01,0.585
mem,mixed,MSC10,MSC01,0.835
mem,motor,MSC10,MSC01,0.9550000000000001
mixed,motor,MSC10,MSC02,0.52
mixed,mem,MSC10,MSC02,0.86
motor,mixed,MSC10,MSC02,0.5
motor,mem,MSC10,MSC02,0.51
mem,mixed,MSC10,MSC02,0.59
mem,motor,MSC10,MSC02,0.7499999999999999
mixed,motor,MSC10,MSC03,0.6199999999999999
mixed,mem,MSC10,MSC03,0.6700000000000002
motor,mixed,MSC10,MSC03,0.5599999999999999
motor,mem,MSC10,MSC03,0.7150000000000001
mem,mixed,MSC10,MSC03,0.7849999999999999
mem,motor,MSC10,MSC03,0.89
mixed,motor,MSC10,MSC04,0.7300000000000001
mixed,mem,MSC10,MSC04,0.8150000000000001
motor,mixed,MSC10,MSC04,0.5
motor,mem,MSC10,MSC04,0.5499999999999999
mem,mixed,MSC10,MSC04,0.79
mem,motor,MSC10,MSC04,0.8950000000000001
mixed,motor,MSC10,MSC05,0.5000000000000001
mixed,mem,MSC10,MSC05,0.7899999999999999
motor,mixed,MSC10,MSC05,0.525
motor,mem,MSC10,MSC05,0.675
mem,mixed,MSC10,MSC05,0.93
mem,motor,MSC10,MSC05,0.7499999999999999
mixed,motor,MSC10,MSC06,0.775
mixed,mem,MSC10,MSC06,0.885
motor,mixed,MSC10,MSC06,0.5
motor,mem,MSC10,MSC06,0.5
mem,mixed,MSC10,MSC06,0.745
mem,motor,MSC10,MSC06,0.8300000000000001
mixed,motor,MSC10,MSC07,0.9099999999999999
mixed,mem,MSC10,MSC07,0.71
motor,mixed,MSC10,MSC07,0.5
motor,mem,MSC10,MSC07,0.5
mem,mixed,MSC10,MSC07,0.6250000000000001
mem,motor,MSC10,MSC07,0.875
