,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC10,mem,1.0,0.7391304347826086,visual,visual
0,MSC01,semantic,0.95,0.5064285714285715,fp,fp
0,MSC02,semantic,0.75,0.5592857142857143,fp,fp
0,MSC03,semantic,0.85,0.7035714285714285,fp,fp
0,MSC04,semantic,1.0,0.5707142857142857,fp,fp
0,MSC05,semantic,1.0,0.4907142857142857,fp,fp
0,MSC06,semantic,1.0,0.6378571428571429,fp,fp
0,MSC07,semantic,1.0,0.6214285714285714,fp,fp
0,MSC10,semantic,0.9,0.5628571428571428,fp,fp
0,MSC01,glass,0.85,0.4985611510791367,fp,fp
0,MSC02,glass,0.7,0.5964028776978417,fp,fp
0,MSC03,glass,0.85,0.5582733812949641,fp,fp
0,MSC04,glass,0.95,0.5179856115107914,fp,fp
0,MSC05,glass,0.9,0.5143884892086331,fp,fp
0,MSC06,glass,0.9444444444444444,0.546031746031746,fp,fp
0,MSC07,glass,0.8,0.5532374100719425,fp,fp
0,MSC10,glass,0.8,0.5388489208633094,fp,fp
0,MSC01,motor,0.95,0.4789855072463768,fp,fp
0,MSC02,motor,0.85,0.5086956521739131,fp,fp
0,MSC03,motor,0.9,0.6202898550724638,fp,fp
0,MSC04,motor,0.9,0.7239130434782609,fp,fp
0,MSC05,motor,0.9,0.5369565217391304,fp,fp
0,MSC06,motor,0.9444444444444444,0.5467625899280576,fp,fp
0,MSC07,motor,0.8333333333333334,0.5611510791366906,fp,fp
0,MSC10,motor,0.95,0.5644927536231884,fp,fp
0,MSC01,mem,0.9,0.4927536231884058,fp,fp
0,MSC02,mem,0.95,0.6579710144927536,fp,fp
0,MSC03,mem,0.8125,0.6375,fp,fp
0,MSC04,mem,0.85,0.5717391304347826,fp,fp
0,MSC05,mem,0.95,0.6210144927536232,fp,fp
0,MSC06,mem,0.95,0.7137681159420289,fp,fp
0,MSC07,mem,0.9,0.5463768115942029,fp,fp
0,MSC10,mem,0.95,0.513768115942029,fp,fp
0,MSC01,semantic,0.95,0.8157142857142857,dan,dan
0,MSC02,semantic,1.0,0.8485714285714285,dan,dan
0,MSC03,semantic,0.9,0.6514285714285715,dan,dan
0,MSC04,semantic,0.95,0.79,dan,dan
0,MSC05,semantic,1.0,0.5528571428571428,dan,dan
0,MSC06,semantic,0.95,0.7442857142857143,dan,dan
0,MSC07,semantic,1.0,0.76,dan,dan
0,MSC10,semantic,0.9,0.7314285714285714,dan,dan
0,MSC01,glass,0.95,0.50431654676259,dan,dan
0,MSC02,glass,0.9,0.6460431654676259,dan,dan
0,MSC03,glass,0.8,0.5784172661870504,dan,dan
0,MSC04,glass,0.9,0.5834532374100719,dan,dan
0,MSC05,glass,0.95,0.5467625899280575,dan,dan
0,MSC06,glass,0.9444444444444444,0.5190476190476191,dan,dan
0,MSC07,glass,0.85,0.5517985611510792,dan,dan
0,MSC10,glass,0.85,0.6158273381294964,dan,dan
0,MSC01,motor,1.0,0.4927536231884058,dan,dan
0,MSC02,motor,0.95,0.572463768115942,dan,dan
0,MSC03,motor,0.95,0.527536231884058,dan,dan
0,MSC04,motor,1.0,0.5398550724637681,dan,dan
0,MSC05,motor,0.95,0.532608695652174,dan,dan
0,MSC06,motor,0.8888888888888888,0.60431654676259,dan,dan
