train_task,test_task,train_sub,test_sub,acc
mem,mixed,MSC06,MSC04,0.775
mem,motor,MSC06,MSC04,0.8949999999999999
mixed,motor,MSC06,MSC05,0.6100000000000001
mixed,mem,MSC06,MSC05,0.5
motor,mixed,MSC06,MSC05,0.765
motor,mem,MSC06,MSC05,0.845
mem,mixed,MSC06,MSC05,0.5700000000000001
mem,motor,MSC06,MSC05,0.62
mixed,motor,MSC06,MSC07,0.6350000000000001
mixed,mem,MSC06,MSC07,0.595
motor,mixed,MSC06,MSC07,0.655
motor,mem,MSC06,MSC07,0.7000000000000001
mem,mixed,MSC06,MSC07,0.795
mem,motor,MSC06,MSC07,0.75
mixed,motor,MSC06,MSC10,0.5549999999999999
mixed,mem,MSC06,MSC10,0.6950000000000001
motor,mixed,MSC06,MSC10,0.615
motor,mem,MSC06,MSC10,0.71
mem,mixed,MSC06,MSC10,0.8149999999999998
mem,motor,MSC06,MSC10,0.735
mixed,motor,MSC07,MSC01,0.8900000000000002
mixed,mem,MSC07,MSC01,0.7899999999999999
motor,mixed,MSC07,MSC01,0.53
motor,mem,MSC07,MSC01,0.525
mem,mixed,MSC07,MSC01,0.875
mem,motor,MSC07,MSC01,0.835
mixed,motor,MSC07,MSC02,0.7150000000000001
mixed,mem,MSC07,MSC02,0.7699999999999999
motor,mixed,MSC07,MSC02,0.54
motor,mem,MSC07,MSC02,0.535
mem,mixed,MSC07,MSC02,0.51
mem,motor,MSC07,MSC02,0.505
mixed,motor,MSC07,MSC03,0.5399999999999999
mixed,mem,MSC07,MSC03,0.6149999999999999
motor,mixed,MSC07,MSC03,0.65
motor,mem,MSC07,MSC03,0.67
mem,mixed,MSC07,MSC03,0.6799999999999999
mem,motor,MSC07,MSC03,0.6950000000000001
mixed,motor,MSC07,MSC04,0.7550000000000001
mixed,mem,MSC07,MSC04,0.6600000000000001
motor,mixed,MSC07,MSC04,0.5399999999999999
motor,mem,MSC07,MSC04,0.64
mem,mixed,MSC07,MSC04,0.7
mem,motor,MSC07,MSC04,0.685
mixed,motor,MSC07,MSC05,0.505
