sub,train_task,test_task,acc,frames
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.53,58
MSC05,mem,mixed,0.8099999999999999,58
MSC06,mem,mixed,0.575,58
MSC07,mem,mixed,0.695,58
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
