train_task,test_task,sub,diff
semantic,motor,MSC10,0.7
semantic,mem,MSC10,0.5
motor,glass,MSC10,0.5
motor,semantic,MSC10,0.9
motor,mem,MSC10,0.9
mem,glass,MSC10,0.7
mem,semantic,MSC10,0.3
mem,motor,MSC10,0.5
glass,semantic,MSC01,0.4
glass,motor,MSC01,0.9
glass,mem,MSC01,0.7
semantic,glass,MSC01,0.3
semantic,motor,MSC01,0.7
semantic,mem,MSC01,0.7
motor,glass,MSC01,0.8
motor,semantic,MSC01,0.6
motor,mem,MSC01,0.7
mem,glass,MSC01,0.7
mem,semantic,MSC01,0.7
mem,motor,MSC01,0.0
glass,semantic,MSC02,0.4
glass,motor,MSC02,0.3
glass,mem,MSC02,0.6
semantic,glass,MSC02,0.6
semantic,motor,MSC02,0.4
semantic,mem,MSC02,0.5
motor,glass,MSC02,0.6
motor,semantic,MSC02,0.4
motor,mem,MSC02,0.3
mem,glass,MSC02,0.2
mem,semantic,MSC02,0.6
mem,motor,MSC02,0.9
glass,semantic,MSC03,0.125
glass,motor,MSC03,0.25
glass,mem,MSC03,0.625
semantic,glass,MSC03,0.375
semantic,motor,MSC03,0.875
semantic,mem,MSC03,0.5
motor,glass,MSC03,0.875
motor,semantic,MSC03,0.25
motor,mem,MSC03,0.25
mem,glass,MSC03,0.625
mem,semantic,MSC03,0.625
mem,motor,MSC03,0.5
glass,semantic,MSC04,0.5
glass,motor,MSC04,0.5
glass,mem,MSC04,0.4
semantic,glass,MSC04,0.7
semantic,motor,MSC04,0.4
semantic,mem,MSC04,1.0
motor,glass,MSC04,0.6
motor,semantic,MSC04,0.6
motor,mem,MSC04,0.6
mem,glass,MSC04,0.4
mem,semantic,MSC04,0.7
mem,motor,MSC04,0.5
glass,semantic,MSC05,0.9
glass,motor,MSC05,0.5
glass,mem,MSC05,0.7
semantic,glass,MSC05,0.3
semantic,motor,MSC05,0.3
semantic,mem,MSC05,0.9
motor,glass,MSC05,0.8
motor,semantic,MSC05,0.6
motor,mem,MSC05,0.5
mem,glass,MSC05,0.0
mem,semantic,MSC05,0.4
mem,motor,MSC05,0.4
glass,semantic,MSC06,0.4444444444444444
glass,motor,MSC06,0.4444444444444444
glass,mem,MSC06,0.2222222222222222
semantic,glass,MSC06,0.4444444444444444
semantic,motor,MSC06,0.6666666666666666
semantic,mem,MSC06,0.3333333333333333
motor,glass,MSC06,0.6666666666666666
motor,semantic,MSC06,0.3333333333333333
motor,mem,MSC06,0.4444444444444444
