train_task,test_task,sub,acc,spec,sen
mem,semantic,MSC04,0.95,1.0,0.9000000000000001
mem,motor,MSC04,0.925,0.96,0.89
glass,semantic,MSC05,0.9899999999999999,1.0,0.9800000000000001
glass,motor,MSC05,0.8950000000000001,1.0,0.7899999999999999
glass,mem,MSC05,0.9949999999999999,1.0,0.99
semantic,glass,MSC05,0.8900000000000002,1.0,0.7799999999999999
semantic,motor,MSC05,0.8349999999999997,1.0,0.6699999999999999
semantic,mem,MSC05,0.96,1.0,0.9200000000000002
motor,glass,MSC05,0.7849999999999999,1.0,0.57
motor,semantic,MSC05,0.7649999999999999,1.0,0.53
motor,mem,MSC05,0.95,1.0,0.9000000000000001
mem,glass,MSC05,0.9099999999999999,1.0,0.82
mem,semantic,MSC05,0.9,1.0,0.8
mem,motor,MSC05,1.0,1.0,1.0
glass,semantic,MSC06,0.9111111111111112,1.0,0.8222222222222224
glass,motor,MSC06,0.7666666666666666,1.0,0.5333333333333333
glass,mem,MSC06,0.9111111111111112,1.0,0.8222222222222222
semantic,glass,MSC06,0.8111111111111111,1.0,0.6222222222222223
semantic,motor,MSC06,0.835,1.0,0.6699999999999999
semantic,mem,MSC06,0.9450000000000001,1.0,0.8900000000000002
motor,glass,MSC06,0.6222222222222223,1.0,0.24444444444444446
motor,semantic,MSC06,0.73,1.0,0.4600000000000001
motor,mem,MSC06,0.725,1.0,0.45
mem,glass,MSC06,0.85,1.0,0.7000000000000001
mem,semantic,MSC06,0.9550000000000001,1.0,0.9100000000000001
mem,motor,MSC06,0.8800000000000001,1.0,0.76
glass,semantic,MSC07,1.0,1.0,1.0
glass,motor,MSC07,0.6400000000000001,1.0,0.27999999999999997
glass,mem,MSC07,0.85,1.0,0.7
semantic,glass,MSC07,0.95,1.0,0.9000000000000001
semantic,motor,MSC07,0.5499999999999999,1.0,0.09999999999999999
semantic,mem,MSC07,0.6950000000000001,1.0,0.39
motor,glass,MSC07,0.505,1.0,0.01
motor,semantic,MSC07,0.5599999999999999,1.0,0.12
motor,mem,MSC07,0.53,1.0,0.06
mem,glass,MSC07,0.9949999999999999,0.99,1.0
mem,semantic,MSC07,0.975,0.99,0.9600000000000002
mem,motor,MSC07,0.825,0.9800000000000001,0.67
glass,semantic,MSC10,0.9299999999999999,1.0,0.8600000000000001
glass,motor,MSC10,0.93,1.0,0.86
glass,mem,MSC10,0.8949999999999999,1.0,0.79
semantic,glass,MSC10,0.9150000000000003,1.0,0.8300000000000001
semantic,motor,MSC10,0.6850000000000002,1.0,0.36999999999999994
semantic,mem,MSC10,0.8699999999999999,1.0,0.7400000000000001
motor,glass,MSC10,0.8299999999999998,1.0,0.66
motor,semantic,MSC10,0.635,1.0,0.26999999999999996
motor,mem,MSC10,0.745,1.0,0.49000000000000005
mem,glass,MSC10,0.9099999999999999,1.0,0.82
mem,semantic,MSC10,0.8499999999999999,0.9100000000000001,0.79
mem,motor,MSC10,0.9200000000000002,0.99,0.85
