train,task,same_sub,diff_sub
MSC01,mem,0.5043478260869565,0.5043478260869565
MSC02,mem,0.48695652173913045,0.48695652173913045
MSC03,mem,0.46875,0.46875
MSC04,mem,0.5057971014492754,0.5057971014492754
MSC05,mem,0.48695652173913045,0.48695652173913045
MSC06,mem,0.486231884057971,0.486231884057971
MSC07,mem,0.48840579710144927,0.48840579710144927
MSC10,mem,0.5123188405797101,0.5123188405797101
MSC01,glass,0.49280575539568344,0.49280575539568344
MSC02,glass,0.48201438848920863,0.48201438848920863
MSC03,glass,0.48992805755395685,0.48992805755395685
MSC04,glass,0.4633093525179856,0.4633093525179856
MSC05,glass,0.4669064748201439,0.4669064748201439
MSC06,glass,0.5111111111111111,0.5111111111111111
MSC07,glass,0.4776978417266187,0.4776978417266187
MSC10,glass,0.5618705035971223,0.5618705035971223
MSC01,semantic,0.525,0.525
MSC02,semantic,0.48428571428571426,0.48428571428571426
MSC03,semantic,0.5414285714285715,0.5414285714285715
MSC04,semantic,0.515,0.515
MSC05,semantic,0.4857142857142857,0.4857142857142857
MSC06,semantic,0.4742857142857143,0.4742857142857143
MSC07,semantic,0.49642857142857144,0.49642857142857144
MSC10,semantic,0.5057142857142857,0.5057142857142857
MSC01,motor,0.5224637681159421,0.5224637681159421
MSC02,motor,0.43913043478260866,0.43913043478260866
MSC03,motor,0.4985507246376812,0.4985507246376812
MSC04,motor,0.4318840579710145,0.4318840579710145
MSC05,motor,0.5514492753623188,0.5514492753623188
MSC06,motor,0.47961630695443647,0.47961630695443647
MSC07,motor,0.5379696243005596,0.5379696243005596
MSC10,motor,0.4717391304347826,0.4717391304347826
MSC01,mem,0.5101449275362319,0.5101449275362319
MSC02,mem,0.5007246376811594,0.5007246376811594
MSC03,mem,0.4785714285714286,0.4785714285714286
MSC04,mem,0.5253623188405797,0.5253623188405797
MSC05,mem,0.49492753623188407,0.49492753623188407
MSC06,mem,0.5101449275362319,0.5101449275362319
MSC07,mem,0.5,0.5
MSC10,mem,0.4753623188405797,0.4753623188405797
MSC01,glass,0.5100719424460431,0.5100719424460431
MSC02,glass,0.44100719424460433,0.44100719424460433
MSC03,glass,0.4892086330935252,0.4892086330935252
MSC04,glass,0.4892086330935252,0.4892086330935252
MSC05,glass,0.5302158273381294,0.5302158273381294
MSC06,glass,0.46190476190476193,0.46190476190476193
MSC07,glass,0.5143884892086331,0.5143884892086331
MSC10,glass,0.520863309352518,0.520863309352518
MSC01,semantic,0.49357142857142855,0.49357142857142855
MSC02,semantic,0.5035714285714286,0.5035714285714286
MSC03,semantic,0.46785714285714286,0.46785714285714286
MSC04,semantic,0.4792857142857143,0.4792857142857143
MSC05,semantic,0.47214285714285714,0.47214285714285714
MSC06,semantic,0.5085714285714286,0.5085714285714286
MSC07,semantic,0.5428571428571428,0.5428571428571428
MSC10,semantic,0.5242857142857142,0.5242857142857142
MSC01,motor,0.46956521739130436,0.46956521739130436
MSC02,motor,0.43333333333333335,0.43333333333333335
MSC03,motor,0.5391304347826087,0.5391304347826087
MSC04,motor,0.5014492753623189,0.5014492753623189
MSC05,motor,0.46159420289855074,0.46159420289855074
MSC06,motor,0.5227817745803357,0.5227817745803357
MSC07,motor,0.525179856115108,0.525179856115108
MSC10,motor,0.48695652173913045,0.48695652173913045
MSC01,mem,0.5369565217391304,0.5369565217391304
MSC02,mem,0.49275362318840576,0.49275362318840576
MSC03,mem,0.5714285714285714,0.5714285714285714
