train_task,test_task,diff
motor,mixed,-0.0008928571428571368
mem,mixed,0.00026785714285715
mem,motor,0.00517857142857141
mixed,mem,0.01410714285714284
mixed,motor,0.020446428571428567
motor,mem,0.03401785714285714
motor,mixed,0.02705357142857142
mem,mixed,-0.013035714285714286
mem,motor,-0.03696428571428571
mixed,mem,-0.017946428571428582
mixed,motor,-0.007142857142857155
motor,mem,0.023660714285714285
motor,mixed,0.01500000000000001
mem,mixed,0.005892857142857129
mem,motor,-0.0016071428571428636
mixed,mem,0.0157142857142857
mixed,motor,-0.012321428571428582
motor,mem,0.017499999999999998
motor,mixed,0.012321428571428561
mem,mixed,-0.03249999999999997
mem,motor,-0.016696428571428557
mixed,mem,-0.03294642857142856
mixed,motor,-0.009999999999999986
motor,mem,0.02160714285714285
motor,mixed,0.01964285714285714
mem,mixed,-0.027857142857142858
mem,motor,-0.02410714285714286
mixed,mem,0.029196428571428568
mixed,motor,0.010714285714285716
motor,mem,-0.0114285714285714
motor,mixed,-0.03419642857142858
mem,mixed,-0.016250000000000004
mem,motor,-0.007321428571428576
mixed,mem,0.03348214285714286
mixed,motor,-0.0011607142857142897
motor,mem,0.009196428571428569
motor,mixed,-0.011696428571428582
mem,mixed,-0.01544642857142856
mem,motor,0.010982142857142869
mixed,mem,-0.008482142857142837
mixed,motor,0.006071428571428565
motor,mem,-0.03366071428571428
motor,mixed,-0.029017857142857133
mem,mixed,0.009285714285714276
mem,motor,0.005803571428571414
mixed,mem,0.00937499999999999
mixed,motor,0.011517857142857123
motor,mem,0.025089285714285703
motor,mixed,0.002321428571428576
mem,mixed,-0.006785714285714305
mem,motor,-0.0007142857142857317
mixed,mem,0.0067857142857142855
mixed,motor,-0.014374999999999983
motor,mem,-0.0030357142857142853
motor,mixed,-0.0015178571428571175
mem,mixed,0.042678571428571406
mem,motor,0.013928571428571426
mixed,mem,0.0001785714285714327
mixed,motor,-0.0024107142857142847
motor,mem,-0.014107142857142846
motor,mixed,0.024464285714285734
mem,mixed,0.026875
mem,motor,0.02285714285714286
mixed,mem,-0.028839285714285724
mixed,motor,-0.016160714285714285
motor,mem,0.005714285714285716
motor,mixed,-0.0022321428571428514
mem,mixed,0.010089285714285717
mem,motor,-0.02875
mixed,mem,-0.017321428571428547
mixed,motor,-0.02928571428571428
motor,mem,0.03160714285714285
motor,mixed,0.02214285714285715
mem,mixed,-0.03428571428571429
mem,motor,-0.013928571428571426
mixed,mem,0.015357142857142842
mixed,motor,0.010714285714285706
motor,mem,-0.01732142857142857
motor,mixed,-0.019196428571428576
mem,mixed,-0.04133928571428575
mem,motor,-0.0375
mixed,mem,0.011339285714285722
mixed,motor,-0.040803571428571404
motor,mem,0.01946428571428572
motor,mixed,0.004553571428571427
mem,mixed,-0.004553571428571434
mem,motor,0.0047321428571428506
mixed,mem,0.0
mixed,motor,0.011696428571428582
motor,mem,0.0013392857142857234
motor,mixed,0.008214285714285724
mem,mixed,0.009285714285714283
mem,motor,0.013928571428571441
mixed,mem,-0.03080357142857143
mixed,motor,0.0003571428571428624
motor,mem,-0.033571428571428544
motor,mixed,-0.03714285714285716
mem,mixed,0.01437499999999999
mem,motor,0.01705357142857144
mixed,mem,0.02276785714285714
mixed,motor,0.021607142857142856
motor,mem,0.03205357142857142
motor,mixed,-0.0014285714285714288
mem,mixed,0.01125000000000001
mem,motor,0.0024999999999999953
mixed,mem,0.014910714285714274
mixed,motor,0.002946428571428563
motor,mem,0.015178571428571421
motor,mixed,-0.0025000000000000044
mem,mixed,-0.023125000000000017
mem,motor,-0.03026785714285715
mixed,mem,-0.0005357142857142881
mixed,motor,0.008392857142857146
motor,mem,-0.015446428571428564
motor,mixed,0.01026785714285713
mem,mixed,0.0027678571428571513
mem,motor,-0.01053571428571429
mixed,mem,-0.005089285714285712
mixed,motor,0.017767857142857137
motor,mem,-0.0020535714285714215
motor,mixed,-0.025892857142857145
mem,mixed,0.011785714285714288
mem,motor,-0.015714285714285712
mixed,mem,0.013035714285714284
mixed,motor,-0.012142857142857141
motor,mem,0.01714285714285715
motor,mixed,-0.016785714285714286
mem,mixed,-0.014464285714285716
mem,motor,0.005267857142857134
mixed,mem,0.014732142857142866
mixed,motor,0.020267857142857153
motor,mem,-0.0016071428571428645
motor,mixed,0.009821428571428576
mem,mixed,0.004821428571428564
mem,motor,-0.0016071428571428536
mixed,mem,0.006339285714285727
mixed,motor,0.008749999999999992
motor,mem,0.005714285714285711
motor,mixed,0.003571428571428555
mem,mixed,-0.006785714285714292
