sub,acc,train_task,test_task,iteration
MSC04,0.5192857142857144,motor,mem,3
MSC05,0.48857142857142855,motor,mem,3
MSC06,0.4821428571428572,motor,mem,3
MSC07,0.49071428571428577,motor,mem,3
MSC10,0.47357142857142864,motor,mem,3
MSC01,0.485,mixed,mem,4
MSC02,0.4878571428571428,mixed,mem,4
MSC03,0.47285714285714286,mixed,mem,4
MSC04,0.48214285714285715,mixed,mem,4
MSC05,0.48999999999999994,mixed,mem,4
MSC06,0.47071428571428575,mixed,mem,4
MSC07,0.51,mixed,mem,4
MSC10,0.4942857142857143,mixed,mem,4
MSC01,0.5064285714285715,mixed,motor,4
MSC02,0.4978571428571429,mixed,motor,4
MSC03,0.5164285714285715,mixed,motor,4
MSC04,0.4864285714285714,mixed,motor,4
MSC05,0.5085714285714286,mixed,motor,4
MSC06,0.4857142857142857,mixed,motor,4
MSC07,0.48000000000000004,mixed,motor,4
MSC10,0.5,mixed,motor,4
MSC01,0.4714285714285714,mem,mixed,4
MSC02,0.5135714285714286,mem,mixed,4
MSC03,0.4992857142857143,mem,mixed,4
MSC04,0.4907142857142856,mem,mixed,4
MSC05,0.4992857142857142,mem,mixed,4
MSC06,0.4914285714285715,mem,mixed,4
MSC07,0.4864285714285715,mem,mixed,4
MSC10,0.4921428571428571,mem,mixed,4
MSC01,0.48928571428571427,mem,motor,4
MSC02,0.5199999999999999,mem,motor,4
MSC03,0.47928571428571437,mem,motor,4
MSC04,0.505,mem,motor,4
MSC05,0.5092857142857142,mem,motor,4
MSC06,0.48857142857142855,mem,motor,4
MSC07,0.5071428571428571,mem,motor,4
MSC10,0.49285714285714277,mem,motor,4
MSC01,0.5228571428571429,motor,mixed,4
MSC02,0.5028571428571429,motor,mixed,4
MSC03,0.49071428571428566,motor,mixed,4
MSC04,0.5085714285714286,motor,mixed,4
MSC05,0.4785714285714286,motor,mixed,4
MSC06,0.5085714285714287,motor,mixed,4
MSC07,0.5,motor,mixed,4
MSC10,0.4957142857142857,motor,mixed,4
MSC01,0.5064285714285713,motor,mem,4
MSC02,0.49785714285714283,motor,mem,4
MSC03,0.5200000000000001,motor,mem,4
MSC04,0.4985714285714286,motor,mem,4
MSC05,0.5042857142857143,motor,mem,4
MSC06,0.515,motor,mem,4
MSC07,0.4985714285714286,motor,mem,4
MSC10,0.4935714285714286,motor,mem,4
MSC01,0.4935714285714286,mixed,mem,5
MSC02,0.5157142857142858,mixed,mem,5
MSC03,0.4864285714285714,mixed,mem,5
MSC04,0.535,mixed,mem,5
MSC05,0.5221428571428571,mixed,mem,5
MSC06,0.5142857142857142,mixed,mem,5
MSC07,0.5092857142857142,mixed,mem,5
MSC10,0.48999999999999994,mixed,mem,5
MSC01,0.5164285714285715,mixed,motor,5
MSC02,0.5028571428571429,mixed,motor,5
MSC03,0.5042857142857142,mixed,motor,5
MSC04,0.4842857142857144,mixed,motor,5
MSC05,0.5,mixed,motor,5
MSC06,0.5335714285714285,mixed,motor,5
MSC07,0.49214285714285716,mixed,motor,5
MSC10,0.4992857142857143,mixed,motor,5
MSC01,0.5142857142857143,mem,mixed,5
MSC02,0.4635714285714286,mem,mixed,5
MSC03,0.5257142857142858,mem,mixed,5
MSC04,0.5142857142857143,mem,mixed,5
MSC05,0.4928571428571429,mem,mixed,5
MSC06,0.4928571428571429,mem,mixed,5
MSC07,0.49500000000000005,mem,mixed,5
MSC10,0.5071428571428571,mem,mixed,5
MSC01,0.48999999999999994,mem,motor,5
MSC02,0.49714285714285705,mem,motor,5
MSC03,0.4835714285714286,mem,motor,5
MSC04,0.4614285714285714,mem,motor,5
MSC05,0.4878571428571428,mem,motor,5
MSC06,0.4842857142857143,mem,motor,5
MSC07,0.5171428571428571,mem,motor,5
MSC10,0.4764285714285714,mem,motor,5
MSC01,0.5028571428571429,motor,mixed,5
MSC02,0.48999999999999994,motor,mixed,5
MSC03,0.48357142857142854,motor,mixed,5
MSC04,0.4878571428571429,motor,mixed,5
MSC05,0.4957142857142857,motor,mixed,5
MSC06,0.4942857142857143,motor,mixed,5
MSC07,0.4992857142857143,motor,mixed,5
MSC10,0.49571428571428566,motor,mixed,5
MSC01,0.5128571428571428,motor,mem,5
MSC02,0.4678571428571429,motor,mem,5
MSC03,0.4814285714285714,motor,mem,5
MSC04,0.5114285714285715,motor,mem,5
MSC05,0.5064285714285715,motor,mem,5
MSC06,0.5042857142857143,motor,mem,5
MSC07,0.4964285714285714,motor,mem,5
MSC10,0.47000000000000003,motor,mem,5
MSC01,0.47928571428571426,mixed,mem,6
MSC02,0.5021428571428571,mixed,mem,6
MSC03,0.4914285714285715,mixed,mem,6
MSC04,0.5178571428571429,mixed,mem,6
MSC05,0.48285714285714293,mixed,mem,6
MSC06,0.5264285714285715,mixed,mem,6
MSC07,0.5157142857142858,mixed,mem,6
MSC10,0.49499999999999994,mixed,mem,6
MSC01,0.5371428571428571,mixed,motor,6
MSC02,0.4971428571428572,mixed,motor,6
MSC03,0.4878571428571429,mixed,motor,6
MSC04,0.4985714285714286,mixed,motor,6
MSC05,0.5471428571428572,mixed,motor,6
MSC06,0.49071428571428577,mixed,motor,6
MSC07,0.4771428571428572,mixed,motor,6
MSC10,0.5107142857142858,mixed,motor,6
MSC01,0.5171428571428571,mem,mixed,6
MSC02,0.4842857142857143,mem,mixed,6
MSC03,0.5207142857142857,mem,mixed,6
MSC04,0.48142857142857143,mem,mixed,6
MSC05,0.5192857142857144,mem,mixed,6
MSC06,0.51,mem,mixed,6
MSC07,0.5071428571428572,mem,mixed,6
MSC10,0.49571428571428566,mem,mixed,6
MSC01,0.5107142857142857,mem,motor,6
MSC02,0.5021428571428571,mem,motor,6
MSC03,0.515,mem,motor,6
MSC04,0.49714285714285716,mem,motor,6
MSC05,0.49214285714285716,mem,motor,6
MSC06,0.5228571428571428,mem,motor,6
MSC07,0.5078571428571429,mem,motor,6
MSC10,0.5014285714285714,mem,motor,6
MSC01,0.5057142857142857,motor,mixed,6
MSC02,0.4907142857142857,motor,mixed,6
MSC03,0.5,motor,mixed,6
MSC04,0.49214285714285716,motor,mixed,6
MSC05,0.4935714285714286,motor,mixed,6
MSC06,0.5042857142857142,motor,mixed,6
MSC07,0.5007142857142858,motor,mixed,6
