train,same_sub,diff_sub
MSC04,0.55,0.48840579710144927
MSC05,0.45,0.4910144927536232
MSC06,0.4583333333333333,0.5315401857188601
MSC07,0.5416666666666666,0.4701348747591522
MSC10,0.425,0.40956521739130436
MSC01,0.475,0.5744927536231884
MSC02,0.4125,0.518840579710145
MSC03,0.65625,0.46902017291066284
MSC04,0.4375,0.5571014492753623
MSC05,0.4875,0.5353623188405797
MSC06,0.375,0.42363112391930835
MSC07,0.4861111111111111,0.5112395632626846
MSC10,0.5125,0.5385507246376812
MSC01,0.425,0.48637681159420293
MSC02,0.425,0.4176811594202898
MSC03,0.5,0.5724063400576369
MSC04,0.5625,0.48144927536231885
MSC05,0.5,0.5779710144927537
MSC06,0.5555555555555556,0.45757284662183795
MSC07,0.5277777777777778,0.46949261400128456
MSC10,0.5125,0.5356521739130435
MSC01,0.5,0.41681159420289854
MSC02,0.4625,0.4527536231884058
MSC03,0.375,0.5093659942363112
MSC04,0.35,0.5121739130434783
MSC05,0.6125,0.4428985507246377
MSC06,0.6388888888888888,0.585014409221902
MSC07,0.4027777777777778,0.5118818240205524
MSC10,0.4625,0.47739130434782606
MSC01,0.625,0.5776811594202899
MSC02,0.35,0.5373913043478261
MSC03,0.515625,0.44668587896253603
MSC04,0.5,0.5081159420289855
MSC05,0.5625,0.5495652173913044
MSC06,0.5416666666666666,0.4210694844700608
MSC07,0.5416666666666666,0.6612074502247913
MSC10,0.3875,0.47884057971014493
MSC01,0.4875,0.4434782608695652
MSC02,0.5,0.45507246376811594
MSC03,0.390625,0.4783861671469741
MSC04,0.5,0.6104347826086957
MSC05,0.5125,0.5231884057971015
MSC06,0.5138888888888888,0.5219340377841819
MSC07,0.5694444444444444,0.4415542710340398
MSC10,0.5875,0.4979710144927536
MSC01,0.5,0.47797101449275364
MSC02,0.6,0.44
MSC03,0.5625,0.6037463976945245
MSC04,0.4375,0.5023188405797101
MSC05,0.5125,0.4353623188405797
MSC06,0.6944444444444444,0.4918347742555236
MSC07,0.3611111111111111,0.37764932562620424
MSC10,0.525,0.49478260869565216
MSC01,0.525,0.5510144927536231
MSC02,0.475,0.543768115942029
MSC03,0.375,0.4762247838616715
MSC04,0.525,0.6052173913043478
MSC05,0.65,0.5539130434782609
MSC06,0.4444444444444444,0.5706051873198847
MSC07,0.4722222222222222,0.5905587668593448
MSC10,0.4125,0.4617391304347826
MSC01,0.55,0.4527536231884058
MSC02,0.475,0.4907246376811594
MSC03,0.53125,0.4895533141210375
MSC04,0.425,0.452463768115942
MSC05,0.4875,0.3988405797101449
MSC06,0.4444444444444444,0.45180915786103104
MSC07,0.5138888888888888,0.5057803468208093
MSC10,0.45,0.4472463768115942
MSC01,0.3875,0.5826086956521739
MSC02,0.5875,0.49768115942028984
MSC03,0.484375,0.5389048991354467
MSC04,0.4875,0.5173913043478261
MSC05,0.3875,0.4205797101449275
MSC06,0.5,0.3730387447966699
MSC07,0.5694444444444444,0.5362877328195247
MSC10,0.5125,0.4918840579710145
MSC01,0.5125,0.5385507246376812
MSC02,0.4,0.5121739130434783
MSC03,0.515625,0.48559077809798273
MSC04,0.55,0.5339130434782609
MSC05,0.5125,0.5507246376811594
MSC06,0.5416666666666666,0.4617355107268652
MSC07,0.4722222222222222,0.5488118175979447
MSC10,0.65,0.5828985507246377
MSC01,0.525,0.43246376811594206
MSC02,0.45,0.5202898550724637
MSC03,0.5,0.5018011527377522
MSC04,0.3625,0.5785507246376812
MSC05,0.475,0.4820289855072464
MSC06,0.4861111111111111,0.5667627281460135
MSC07,0.5,0.43352601156069365
MSC10,0.4375,0.4982608695652174
MSC01,0.65,0.49391304347826087
MSC02,0.5625,0.4965217391304348
MSC03,0.46875,0.4769452449567723
MSC04,0.5,0.4918840579710145
MSC05,0.475,0.5084057971014493
MSC06,0.5138888888888888,0.5132885046429715
MSC07,0.5694444444444444,0.4884393063583815
