train,acc,network
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,17
MSC02,0.0,17
MSC03,0.0,17
MSC04,0.0,17
MSC05,0.0,17
MSC06,0.0,17
MSC07,0.0,17
MSC10,0.0,17
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,18
MSC02,0.0,18
MSC03,0.0,18
MSC04,0.0,18
MSC05,0.0,18
MSC06,0.0,18
MSC07,0.0,18
MSC10,0.0,18
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,19
MSC02,0.0,19
MSC03,0.0,19
MSC04,0.0,19
MSC05,0.0,19
MSC06,0.0,19
MSC07,0.0,19
MSC10,0.0,19
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,20
MSC02,0.0,20
MSC03,0.0,20
MSC04,0.0,20
MSC05,0.0,20
MSC06,0.0,20
MSC07,0.0,20
MSC10,0.0,20
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,21
MSC02,0.0,21
MSC03,0.0,21
MSC04,0.0,21
MSC05,0.0,21
MSC06,0.0,21
MSC07,0.0,21
MSC10,0.0,21
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,22
MSC02,0.0,22
MSC03,0.0,22
MSC04,0.0,22
MSC05,0.0,22
MSC06,0.0,22
MSC07,0.0,22
MSC10,0.0,22
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
