train_task,test_task,train_sub,test_sub,acc
motor,mem,MSC04,MSC10,0.44000000000000006
mem,mixed,MSC04,MSC10,0.325
mem,motor,MSC04,MSC10,0.46499999999999997
mixed,motor,MSC05,MSC01,0.595
mixed,mem,MSC05,MSC01,0.635
motor,mixed,MSC05,MSC01,0.51
motor,mem,MSC05,MSC01,0.595
mem,mixed,MSC05,MSC01,0.51
mem,motor,MSC05,MSC01,0.6500000000000001
mixed,motor,MSC05,MSC02,0.7000000000000001
mixed,mem,MSC05,MSC02,0.38500000000000006
motor,mixed,MSC05,MSC02,0.4750000000000001
motor,mem,MSC05,MSC02,0.5249999999999999
mem,mixed,MSC05,MSC02,0.525
mem,motor,MSC05,MSC02,0.4
mixed,motor,MSC05,MSC03,0.625
mixed,mem,MSC05,MSC03,0.45000000000000007
motor,mixed,MSC05,MSC03,0.4600000000000001
motor,mem,MSC05,MSC03,0.55
mem,mixed,MSC05,MSC03,0.6249999999999999
mem,motor,MSC05,MSC03,0.575
mixed,motor,MSC05,MSC04,0.585
mixed,mem,MSC05,MSC04,0.5149999999999999
motor,mixed,MSC05,MSC04,0.6300000000000001
motor,mem,MSC05,MSC04,0.45999999999999996
mem,mixed,MSC05,MSC04,0.41500000000000004
mem,motor,MSC05,MSC04,0.5449999999999999
mixed,motor,MSC05,MSC06,0.43500000000000005
mixed,mem,MSC05,MSC06,0.25999999999999995
motor,mixed,MSC05,MSC06,0.55
motor,mem,MSC05,MSC06,0.515
mem,mixed,MSC05,MSC06,0.4600000000000001
mem,motor,MSC05,MSC06,0.48
mixed,motor,MSC05,MSC07,0.44000000000000006
mixed,mem,MSC05,MSC07,0.41000000000000003
motor,mixed,MSC05,MSC07,0.32999999999999996
motor,mem,MSC05,MSC07,0.53
mem,mixed,MSC05,MSC07,0.4600000000000001
mem,motor,MSC05,MSC07,0.39
mixed,motor,MSC05,MSC10,0.4700000000000001
mixed,mem,MSC05,MSC10,0.555
motor,mixed,MSC05,MSC10,0.6
motor,mem,MSC05,MSC10,0.47000000000000003
mem,mixed,MSC05,MSC10,0.485
mem,motor,MSC05,MSC10,0.465
mixed,motor,MSC06,MSC01,0.5899999999999999
mixed,mem,MSC06,MSC01,0.48500000000000004
motor,mixed,MSC06,MSC01,0.6799999999999999
motor,mem,MSC06,MSC01,0.465
mem,mixed,MSC06,MSC01,0.5650000000000001
mem,motor,MSC06,MSC01,0.515
mixed,motor,MSC06,MSC02,0.63
mixed,mem,MSC06,MSC02,0.525
motor,mixed,MSC06,MSC02,0.635
motor,mem,MSC06,MSC02,0.4600000000000001
mem,mixed,MSC06,MSC02,0.5850000000000001
mem,motor,MSC06,MSC02,0.45999999999999996
mixed,motor,MSC06,MSC03,0.45500000000000007
mixed,mem,MSC06,MSC03,0.4
motor,mixed,MSC06,MSC03,0.465
motor,mem,MSC06,MSC03,0.49000000000000005
mem,mixed,MSC06,MSC03,0.4600000000000001
mem,motor,MSC06,MSC03,0.4
mixed,motor,MSC06,MSC04,0.5799999999999998
mixed,mem,MSC06,MSC04,0.585
motor,mixed,MSC06,MSC04,0.43000000000000005
motor,mem,MSC06,MSC04,0.48
mem,mixed,MSC06,MSC04,0.62
mem,motor,MSC06,MSC04,0.61
mixed,motor,MSC06,MSC05,0.56
mixed,mem,MSC06,MSC05,0.495
motor,mixed,MSC06,MSC05,0.355
motor,mem,MSC06,MSC05,0.2799999999999999
mem,mixed,MSC06,MSC05,0.565
mem,motor,MSC06,MSC05,0.6799999999999999
mixed,motor,MSC06,MSC07,0.61
mixed,mem,MSC06,MSC07,0.5000000000000001
motor,mixed,MSC06,MSC07,0.515
motor,mem,MSC06,MSC07,0.44000000000000006
mem,mixed,MSC06,MSC07,0.665
mem,motor,MSC06,MSC07,0.5250000000000001
mixed,motor,MSC06,MSC10,0.5199999999999999
mixed,mem,MSC06,MSC10,0.6449999999999999
motor,mixed,MSC06,MSC10,0.54
motor,mem,MSC06,MSC10,0.4149999999999999
mem,mixed,MSC06,MSC10,0.47000000000000003
mem,motor,MSC06,MSC10,0.43000000000000005
mixed,motor,MSC07,MSC01,0.43000000000000005
mixed,mem,MSC07,MSC01,0.6
motor,mixed,MSC07,MSC01,0.445
motor,mem,MSC07,MSC01,0.575
mem,mixed,MSC07,MSC01,0.39
mem,motor,MSC07,MSC01,0.595
mixed,motor,MSC07,MSC02,0.43500000000000005
mixed,mem,MSC07,MSC02,0.48
motor,mixed,MSC07,MSC02,0.4450000000000001
motor,mem,MSC07,MSC02,0.47000000000000003
mem,mixed,MSC07,MSC02,0.555
mem,motor,MSC07,MSC02,0.575
mixed,motor,MSC07,MSC03,0.52
mixed,mem,MSC07,MSC03,0.48
motor,mixed,MSC07,MSC03,0.40499999999999997
motor,mem,MSC07,MSC03,0.5900000000000001
mem,mixed,MSC07,MSC03,0.52
mem,motor,MSC07,MSC03,0.685
mixed,motor,MSC07,MSC04,0.5900000000000001
mixed,mem,MSC07,MSC04,0.5549999999999999
motor,mixed,MSC07,MSC04,0.52
motor,mem,MSC07,MSC04,0.32
mem,mixed,MSC07,MSC04,0.62
mem,motor,MSC07,MSC04,0.675
mixed,motor,MSC07,MSC05,0.4950000000000001
mixed,mem,MSC07,MSC05,0.61
motor,mixed,MSC07,MSC05,0.36500000000000005
motor,mem,MSC07,MSC05,0.515
mem,mixed,MSC07,MSC05,0.37
mem,motor,MSC07,MSC05,0.35
mixed,motor,MSC07,MSC06,0.49000000000000005
mixed,mem,MSC07,MSC06,0.505
motor,mixed,MSC07,MSC06,0.5349999999999999
motor,mem,MSC07,MSC06,0.655
mem,mixed,MSC07,MSC06,0.53
mem,motor,MSC07,MSC06,0.48999999999999994
mixed,motor,MSC07,MSC10,0.39
mixed,mem,MSC07,MSC10,0.615
motor,mixed,MSC07,MSC10,0.6099999999999999
motor,mem,MSC07,MSC10,0.595
mem,mixed,MSC07,MSC10,0.5599999999999999
mem,motor,MSC07,MSC10,0.6249999999999999
mixed,motor,MSC10,MSC01,0.515
