task,sub,acc
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC04,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC05,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC06,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC07,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,0.5
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
Memory,MSC10,1.0
