,train_sub,test_sub,task,acc
119,MSC06,MSC05,mem,0.9400000000000001
120,MSC06,MSC07,mixed,0.85
121,MSC06,MSC07,motor,0.8600000000000001
122,MSC06,MSC07,mem,0.9800000000000001
123,MSC06,MSC10,mixed,0.845
124,MSC06,MSC10,motor,0.82
125,MSC06,MSC10,mem,0.9949999999999999
126,MSC07,MSC01,mixed,0.925
127,MSC07,MSC01,motor,0.6649999999999999
128,MSC07,MSC01,mem,1.0
129,MSC07,MSC02,mixed,0.7699999999999999
130,MSC07,MSC02,motor,0.6799999999999999
131,MSC07,MSC02,mem,0.95
132,MSC07,MSC03,mixed,0.6099999999999999
133,MSC07,MSC03,motor,0.86
134,MSC07,MSC03,mem,0.9349999999999999
135,MSC07,MSC04,mixed,0.64
136,MSC07,MSC04,motor,0.945
137,MSC07,MSC04,mem,0.89
138,MSC07,MSC05,mixed,0.505
139,MSC07,MSC05,motor,0.9199999999999999
140,MSC07,MSC05,mem,0.8950000000000001
141,MSC07,MSC06,mixed,0.5449999999999999
142,MSC07,MSC06,motor,0.9
143,MSC07,MSC06,mem,0.8600000000000001
144,MSC07,MSC10,mixed,0.57
145,MSC07,MSC10,motor,0.93
146,MSC07,MSC10,mem,0.9400000000000001
147,MSC10,MSC01,mixed,0.6500000000000001
148,MSC10,MSC01,motor,0.8099999999999999
149,MSC10,MSC01,mem,0.975
150,MSC10,MSC02,mixed,0.55
151,MSC10,MSC02,motor,0.85
152,MSC10,MSC02,mem,0.9549999999999998
153,MSC10,MSC03,mixed,0.6
154,MSC10,MSC03,motor,0.875
155,MSC10,MSC03,mem,0.985
156,MSC10,MSC04,mixed,0.7000000000000001
157,MSC10,MSC04,motor,0.885
158,MSC10,MSC04,mem,0.9400000000000001
159,MSC10,MSC05,mixed,0.635
160,MSC10,MSC05,motor,0.7899999999999999
161,MSC10,MSC05,mem,0.905
162,MSC10,MSC06,mixed,0.65
163,MSC10,MSC06,motor,0.635
164,MSC10,MSC06,mem,0.8249999999999998
165,MSC10,MSC07,mixed,0.5499999999999999
166,MSC10,MSC07,motor,0.9099999999999999
167,MSC10,MSC07,mem,0.67
