train,task,same_sub,diff_sub,feature,Network
MSC03,glass,0.8,0.5230215827338129,van,3151
MSC04,glass,0.9,0.5748201438848921,van,3151
MSC05,glass,0.75,0.5309352517985612,van,3151
MSC06,glass,0.7222222222222222,0.5936507936507937,van,3151
MSC07,glass,0.85,0.5201438848920863,van,3151
MSC10,glass,0.8,0.5611510791366906,van,3151
MSC01,motor,0.95,0.5335714285714286,van,3151
MSC02,motor,0.95,0.6392857142857142,van,3151
MSC03,motor,1.0,0.775,van,3151
MSC04,motor,0.95,0.7507142857142858,van,3151
MSC05,motor,1.0,0.5564285714285714,van,3151
MSC06,motor,0.95,0.5614285714285714,van,3151
MSC07,motor,0.95,0.51,van,3151
MSC10,motor,0.95,0.63,van,3151
MSC01,mem,1.0,0.6178571428571429,van,3151
MSC02,mem,0.95,0.4957142857142857,van,3151
MSC03,mem,0.9,0.5728571428571428,van,3151
MSC04,mem,0.95,0.715,van,3151
MSC05,mem,1.0,0.665,van,3151
MSC06,mem,1.0,0.6857142857142857,van,3151
MSC07,mem,0.9,0.6621428571428571,van,3151
MSC10,mem,0.9,0.5685714285714286,van,3151
MSC01,semantic,0.9,0.7264285714285714,salience,494
MSC02,semantic,0.85,0.6407142857142857,salience,494
MSC03,semantic,0.8,0.6271428571428571,salience,494
MSC04,semantic,0.9,0.7685714285714286,salience,494
MSC05,semantic,1.0,0.5592857142857143,salience,494
MSC06,semantic,0.8,0.7964285714285715,salience,494
MSC07,semantic,0.9,0.6457142857142857,salience,494
MSC10,semantic,0.75,0.6521428571428571,salience,494
MSC01,glass,0.8,0.5302158273381294,salience,494
MSC02,glass,0.7,0.6280575539568345,salience,494
MSC03,glass,0.85,0.5553956834532374,salience,494
MSC04,glass,0.9,0.6992805755395683,salience,494
MSC05,glass,0.85,0.6503597122302158,salience,494
MSC06,glass,0.7222222222222222,0.6253968253968254,salience,494
MSC07,glass,0.95,0.5985611510791367,salience,494
MSC10,glass,0.65,0.5906474820143884,salience,494
MSC01,motor,0.9,0.6921428571428572,salience,494
MSC02,motor,0.9,0.6592857142857143,salience,494
MSC03,motor,0.95,0.6228571428571429,salience,494
MSC04,motor,0.8,0.6471428571428571,salience,494
MSC05,motor,0.95,0.6742857142857143,salience,494
MSC06,motor,0.85,0.665,salience,494
MSC07,motor,0.85,0.6178571428571429,salience,494
MSC10,motor,0.8,0.5628571428571428,salience,494
MSC01,mem,0.85,0.6628571428571428,salience,494
MSC02,mem,0.9,0.7564285714285715,salience,494
MSC03,mem,1.0,0.7764285714285715,salience,494
MSC04,mem,0.9,0.6135714285714285,salience,494
MSC05,mem,1.0,0.7285714285714285,salience,494
MSC06,mem,0.9,0.7,salience,494
MSC07,mem,0.95,0.6442857142857142,salience,494
MSC10,mem,0.75,0.7235714285714285,salience,494
MSC01,semantic,1.0,0.6714285714285715,co,4060
MSC02,semantic,0.8,0.6414285714285715,co,4060
MSC03,semantic,0.85,0.5028571428571429,co,4060
MSC04,semantic,0.9,0.69,co,4060
MSC05,semantic,0.85,0.615,co,4060
MSC06,semantic,0.8,0.71,co,4060
MSC07,semantic,1.0,0.6485714285714286,co,4060
MSC10,semantic,0.8,0.6457142857142857,co,4060
MSC01,glass,0.85,0.5913669064748202,co,4060
MSC02,glass,0.85,0.6115107913669064,co,4060
MSC03,glass,0.85,0.5230215827338129,co,4060
