,sub,task,acc,Network_A,Network_B
27,MSC07,mem,0.95,unassign,visual
28,MSC10,semantic,0.65,unassign,visual
29,MSC10,glass,0.55,unassign,visual
30,MSC10,motor,0.85,unassign,visual
31,MSC10,mem,0.95,unassign,visual
0,MSC01,semantic,0.9,unassign,fp
1,MSC01,glass,0.75,unassign,fp
2,MSC01,motor,0.8,unassign,fp
3,MSC01,mem,0.95,unassign,fp
4,MSC02,semantic,0.65,unassign,fp
5,MSC02,glass,0.6,unassign,fp
6,MSC02,motor,0.85,unassign,fp
7,MSC02,mem,0.9,unassign,fp
8,MSC03,semantic,0.8,unassign,fp
9,MSC03,glass,0.6,unassign,fp
10,MSC03,motor,0.95,unassign,fp
11,MSC03,mem,0.6458333333333333,unassign,fp
12,MSC04,semantic,0.9,unassign,fp
13,MSC04,glass,0.9,unassign,fp
14,MSC04,motor,0.9,unassign,fp
15,MSC04,mem,0.8,unassign,fp
16,MSC05,semantic,1.0,unassign,fp
17,MSC05,glass,0.9,unassign,fp
18,MSC05,motor,0.9,unassign,fp
19,MSC05,mem,0.95,unassign,fp
20,MSC06,semantic,0.85,unassign,fp
21,MSC06,glass,0.5555555555555556,unassign,fp
22,MSC06,motor,0.9444444444444444,unassign,fp
23,MSC06,mem,0.9,unassign,fp
24,MSC07,semantic,0.9,unassign,fp
25,MSC07,glass,0.8,unassign,fp
26,MSC07,motor,0.7777777777777778,unassign,fp
27,MSC07,mem,1.0,unassign,fp
28,MSC10,semantic,0.75,unassign,fp
29,MSC10,glass,0.65,unassign,fp
30,MSC10,motor,0.8,unassign,fp
31,MSC10,mem,0.8,unassign,fp
0,MSC01,semantic,0.85,unassign,dan
1,MSC01,glass,0.9,unassign,dan
2,MSC01,motor,0.9,unassign,dan
3,MSC01,mem,0.9,unassign,dan
4,MSC02,semantic,0.9,unassign,dan
5,MSC02,glass,0.65,unassign,dan
6,MSC02,motor,0.8,unassign,dan
7,MSC02,mem,1.0,unassign,dan
8,MSC03,semantic,0.8,unassign,dan
9,MSC03,glass,0.7,unassign,dan
10,MSC03,motor,0.9,unassign,dan
11,MSC03,mem,0.8125,unassign,dan
12,MSC04,semantic,0.95,unassign,dan
13,MSC04,glass,0.85,unassign,dan
14,MSC04,motor,0.8,unassign,dan
15,MSC04,mem,0.95,unassign,dan
16,MSC05,semantic,0.9,unassign,dan
17,MSC05,glass,0.8,unassign,dan
18,MSC05,motor,0.85,unassign,dan
19,MSC05,mem,1.0,unassign,dan
20,MSC06,semantic,0.75,unassign,dan
21,MSC06,glass,0.8333333333333334,unassign,dan
22,MSC06,motor,0.7777777777777778,unassign,dan
23,MSC06,mem,0.95,unassign,dan
24,MSC07,semantic,0.8,unassign,dan
25,MSC07,glass,0.7,unassign,dan
26,MSC07,motor,0.7777777777777778,unassign,dan
27,MSC07,mem,0.95,unassign,dan
28,MSC10,semantic,0.75,unassign,dan
29,MSC10,glass,0.7,unassign,dan
30,MSC10,motor,0.85,unassign,dan
31,MSC10,mem,0.85,unassign,dan
0,MSC01,semantic,0.85,unassign,van
1,MSC01,glass,0.75,unassign,van
2,MSC01,motor,0.9,unassign,van
3,MSC01,mem,0.95,unassign,van
4,MSC02,semantic,0.9,unassign,van
5,MSC02,glass,0.7,unassign,van
6,MSC02,motor,0.9,unassign,van
7,MSC02,mem,0.85,unassign,van
8,MSC03,semantic,0.85,unassign,van
9,MSC03,glass,0.7,unassign,van
10,MSC03,motor,0.95,unassign,van
11,MSC03,mem,0.875,unassign,van
12,MSC04,semantic,0.95,unassign,van
13,MSC04,glass,0.85,unassign,van
14,MSC04,motor,0.9,unassign,van
15,MSC04,mem,0.85,unassign,van
16,MSC05,semantic,0.95,unassign,van
17,MSC05,glass,0.7,unassign,van
18,MSC05,motor,0.85,unassign,van
19,MSC05,mem,1.0,unassign,van
20,MSC06,semantic,0.85,unassign,van
21,MSC06,glass,0.8333333333333334,unassign,van
22,MSC06,motor,0.9444444444444444,unassign,van
23,MSC06,mem,1.0,unassign,van
24,MSC07,semantic,0.85,unassign,van
25,MSC07,glass,0.75,unassign,van
26,MSC07,motor,0.7777777777777778,unassign,van
27,MSC07,mem,0.8,unassign,van
28,MSC10,semantic,0.75,unassign,van
29,MSC10,glass,0.75,unassign,van
30,MSC10,motor,0.8,unassign,van
31,MSC10,mem,0.8,unassign,van
0,MSC01,semantic,0.95,unassign,salience
1,MSC01,glass,0.85,unassign,salience
2,MSC01,motor,0.85,unassign,salience
3,MSC01,mem,0.85,unassign,salience
4,MSC02,semantic,0.85,unassign,salience
5,MSC02,glass,0.7,unassign,salience
6,MSC02,motor,0.8,unassign,salience
7,MSC02,mem,0.95,unassign,salience
8,MSC03,semantic,0.8,unassign,salience
9,MSC03,glass,0.65,unassign,salience
10,MSC03,motor,0.9,unassign,salience
11,MSC03,mem,0.5833333333333333,unassign,salience
12,MSC04,semantic,0.9,unassign,salience
13,MSC04,glass,0.95,unassign,salience
14,MSC04,motor,0.85,unassign,salience
15,MSC04,mem,0.75,unassign,salience
16,MSC05,semantic,0.95,unassign,salience
17,MSC05,glass,0.85,unassign,salience
18,MSC05,motor,0.85,unassign,salience
19,MSC05,mem,0.9,unassign,salience
20,MSC06,semantic,0.85,unassign,salience
21,MSC06,glass,0.6296296296296295,unassign,salience
22,MSC06,motor,1.0,unassign,salience
23,MSC06,mem,0.9,unassign,salience
24,MSC07,semantic,0.7,unassign,salience
25,MSC07,glass,0.75,unassign,salience
26,MSC07,motor,0.8333333333333334,unassign,salience
27,MSC07,mem,0.85,unassign,salience
28,MSC10,semantic,0.8,unassign,salience
29,MSC10,glass,0.75,unassign,salience
30,MSC10,motor,0.6,unassign,salience
31,MSC10,mem,0.75,unassign,salience
0,MSC01,semantic,0.85,unassign,co
1,MSC01,glass,0.7,unassign,co
2,MSC01,motor,0.8,unassign,co
3,MSC01,mem,0.85,unassign,co
4,MSC02,semantic,0.8,unassign,co
5,MSC02,glass,0.8,unassign,co
6,MSC02,motor,0.95,unassign,co
7,MSC02,mem,0.85,unassign,co
8,MSC03,semantic,0.8,unassign,co
9,MSC03,glass,0.65,unassign,co
10,MSC03,motor,0.95,unassign,co
11,MSC03,mem,0.7083333333333333,unassign,co
12,MSC04,semantic,0.9,unassign,co
13,MSC04,glass,0.85,unassign,co
14,MSC04,motor,0.9,unassign,co
15,MSC04,mem,0.95,unassign,co
16,MSC05,semantic,0.95,unassign,co
17,MSC05,glass,0.8,unassign,co
18,MSC05,motor,0.85,unassign,co
19,MSC05,mem,0.95,unassign,co
20,MSC06,semantic,0.65,unassign,co
21,MSC06,glass,0.5185185185185185,unassign,co
22,MSC06,motor,0.9444444444444444,unassign,co
23,MSC06,mem,0.95,unassign,co
24,MSC07,semantic,0.9,unassign,co
25,MSC07,glass,0.8,unassign,co
26,MSC07,motor,0.6111111111111112,unassign,co
27,MSC07,mem,0.9,unassign,co
28,MSC10,semantic,0.7,unassign,co
29,MSC10,glass,0.7,unassign,co
30,MSC10,motor,0.85,unassign,co
31,MSC10,mem,0.85,unassign,co
0,MSC01,semantic,0.75,unassign,sm
1,MSC01,glass,0.7,unassign,sm
2,MSC01,motor,0.7,unassign,sm
3,MSC01,mem,0.85,unassign,sm
4,MSC02,semantic,0.55,unassign,sm
5,MSC02,glass,0.65,unassign,sm
6,MSC02,motor,0.95,unassign,sm
7,MSC02,mem,0.75,unassign,sm
8,MSC03,semantic,0.65,unassign,sm
9,MSC03,glass,0.6,unassign,sm
10,MSC03,motor,0.65,unassign,sm
11,MSC03,mem,0.5833333333333333,unassign,sm
12,MSC04,semantic,0.75,unassign,sm
13,MSC04,glass,0.8,unassign,sm
14,MSC04,motor,0.75,unassign,sm
15,MSC04,mem,0.85,unassign,sm
16,MSC05,semantic,0.7,unassign,sm
17,MSC05,glass,0.75,unassign,sm
18,MSC05,motor,0.9,unassign,sm
19,MSC05,mem,1.0,unassign,sm
20,MSC06,semantic,0.6,unassign,sm
21,MSC06,glass,0.574074074074074,unassign,sm
22,MSC06,motor,0.8888888888888888,unassign,sm
23,MSC06,mem,0.9,unassign,sm
24,MSC07,semantic,0.8,unassign,sm
25,MSC07,glass,0.8,unassign,sm
26,MSC07,motor,0.6111111111111112,unassign,sm
27,MSC07,mem,0.85,unassign,sm
28,MSC10,semantic,0.65,unassign,sm
29,MSC10,glass,0.65,unassign,sm
30,MSC10,motor,0.85,unassign,sm
31,MSC10,mem,0.8,unassign,sm
0,MSC01,semantic,0.7,unassign,sm-lat
1,MSC01,glass,0.65,unassign,sm-lat
2,MSC01,motor,0.75,unassign,sm-lat
3,MSC01,mem,0.8,unassign,sm-lat
4,MSC02,semantic,0.65,unassign,sm-lat
5,MSC02,glass,0.6,unassign,sm-lat
6,MSC02,motor,0.9,unassign,sm-lat
7,MSC02,mem,0.6,unassign,sm-lat
8,MSC03,semantic,0.6,unassign,sm-lat
9,MSC03,glass,0.55,unassign,sm-lat
10,MSC03,motor,0.7,unassign,sm-lat
11,MSC03,mem,0.6875,unassign,sm-lat
12,MSC04,semantic,0.75,unassign,sm-lat
13,MSC04,glass,0.7,unassign,sm-lat
14,MSC04,motor,0.85,unassign,sm-lat
15,MSC04,mem,0.85,unassign,sm-lat
16,MSC05,semantic,0.75,unassign,sm-lat
17,MSC05,glass,0.55,unassign,sm-lat
18,MSC05,motor,0.8,unassign,sm-lat
19,MSC05,mem,0.75,unassign,sm-lat
20,MSC06,semantic,0.75,unassign,sm-lat
21,MSC06,glass,0.6296296296296295,unassign,sm-lat
22,MSC06,motor,0.7222222222222222,unassign,sm-lat
23,MSC06,mem,0.65,unassign,sm-lat
24,MSC07,semantic,0.85,unassign,sm-lat
25,MSC07,glass,0.9,unassign,sm-lat
26,MSC07,motor,0.574074074074074,unassign,sm-lat
27,MSC07,mem,0.85,unassign,sm-lat
28,MSC10,semantic,0.65,unassign,sm-lat
29,MSC10,glass,0.65,unassign,sm-lat
30,MSC10,motor,0.75,unassign,sm-lat
31,MSC10,mem,0.8,unassign,sm-lat
0,MSC01,semantic,0.85,unassign,auditory
1,MSC01,glass,0.8,unassign,auditory
2,MSC01,motor,0.75,unassign,auditory
3,MSC01,mem,0.8,unassign,auditory
4,MSC02,semantic,0.55,unassign,auditory
5,MSC02,glass,0.65,unassign,auditory
6,MSC02,motor,0.95,unassign,auditory
7,MSC02,mem,0.85,unassign,auditory
8,MSC03,semantic,0.75,unassign,auditory
9,MSC03,glass,0.65,unassign,auditory
10,MSC03,motor,0.8,unassign,auditory
11,MSC03,mem,0.7708333333333333,unassign,auditory
12,MSC04,semantic,0.8,unassign,auditory
13,MSC04,glass,0.65,unassign,auditory
14,MSC04,motor,0.8,unassign,auditory
15,MSC04,mem,0.9,unassign,auditory
16,MSC05,semantic,0.75,unassign,auditory
17,MSC05,glass,0.55,unassign,auditory
18,MSC05,motor,0.7,unassign,auditory
19,MSC05,mem,0.9,unassign,auditory
20,MSC06,semantic,0.65,unassign,auditory
21,MSC06,glass,0.7222222222222222,unassign,auditory
22,MSC06,motor,0.7407407407407407,unassign,auditory
23,MSC06,mem,0.8,unassign,auditory
24,MSC07,semantic,0.8,unassign,auditory
25,MSC07,glass,0.65,unassign,auditory
26,MSC07,motor,0.6666666666666666,unassign,auditory
27,MSC07,mem,0.85,unassign,auditory
28,MSC10,semantic,0.7,unassign,auditory
29,MSC10,glass,0.75,unassign,auditory
30,MSC10,motor,0.75,unassign,auditory
31,MSC10,mem,0.7,unassign,auditory
0,MSC01,semantic,0.85,unassign,pmn
1,MSC01,glass,0.9,unassign,pmn
2,MSC01,motor,0.9,unassign,pmn
3,MSC01,mem,0.9,unassign,pmn
4,MSC02,semantic,0.85,unassign,pmn
5,MSC02,glass,0.6,unassign,pmn
6,MSC02,motor,0.8,unassign,pmn
7,MSC02,mem,0.85,unassign,pmn
8,MSC03,semantic,0.8,unassign,pmn
9,MSC03,glass,0.75,unassign,pmn
10,MSC03,motor,0.85,unassign,pmn
11,MSC03,mem,0.8958333333333333,unassign,pmn
12,MSC04,semantic,0.9,unassign,pmn
13,MSC04,glass,0.65,unassign,pmn
14,MSC04,motor,0.85,unassign,pmn
15,MSC04,mem,0.9,unassign,pmn
16,MSC05,semantic,0.75,unassign,pmn
17,MSC05,glass,0.45,unassign,pmn
18,MSC05,motor,0.9,unassign,pmn
19,MSC05,mem,0.8,unassign,pmn
20,MSC06,semantic,0.8,unassign,pmn
21,MSC06,glass,0.6666666666666666,unassign,pmn
22,MSC06,motor,0.7222222222222222,unassign,pmn
23,MSC06,mem,0.7,unassign,pmn
24,MSC07,semantic,0.75,unassign,pmn
25,MSC07,glass,0.8,unassign,pmn
26,MSC07,motor,0.7407407407407407,unassign,pmn
27,MSC07,mem,0.7,unassign,pmn
28,MSC10,semantic,0.7,unassign,pmn
29,MSC10,glass,0.55,unassign,pmn
30,MSC10,motor,0.6,unassign,pmn
31,MSC10,mem,0.55,unassign,pmn
0,MSC01,semantic,0.8,unassign,pon
1,MSC01,glass,0.9,unassign,pon
2,MSC01,motor,0.85,unassign,pon
3,MSC01,mem,1.0,unassign,pon
4,MSC02,semantic,0.65,unassign,pon
5,MSC02,glass,0.65,unassign,pon
6,MSC02,motor,0.85,unassign,pon
7,MSC02,mem,0.85,unassign,pon
8,MSC03,semantic,0.65,unassign,pon
9,MSC03,glass,0.7,unassign,pon
10,MSC03,motor,0.7,unassign,pon
11,MSC03,mem,0.7083333333333333,unassign,pon
12,MSC04,semantic,0.95,unassign,pon
13,MSC04,glass,0.85,unassign,pon
14,MSC04,motor,0.85,unassign,pon
15,MSC04,mem,0.8,unassign,pon
16,MSC05,semantic,0.75,unassign,pon
17,MSC05,glass,0.75,unassign,pon
18,MSC05,motor,0.95,unassign,pon
19,MSC05,mem,0.9,unassign,pon
20,MSC06,semantic,0.8,unassign,pon
21,MSC06,glass,0.6296296296296295,unassign,pon
22,MSC06,motor,0.8888888888888888,unassign,pon
23,MSC06,mem,0.85,unassign,pon
24,MSC07,semantic,0.65,unassign,pon
25,MSC07,glass,0.65,unassign,pon
26,MSC07,motor,0.6666666666666666,unassign,pon
27,MSC07,mem,0.8,unassign,pon
28,MSC10,semantic,0.75,unassign,pon
29,MSC10,glass,0.7,unassign,pon
30,MSC10,motor,0.7,unassign,pon
31,MSC10,mem,0.75,unassign,pon
0,MSC01,semantic,0.95,default,visual
1,MSC01,glass,0.85,default,visual
2,MSC01,motor,1.0,default,visual
3,MSC01,mem,1.0,default,visual
4,MSC02,semantic,0.95,default,visual
5,MSC02,glass,0.65,default,visual
6,MSC02,motor,0.9,default,visual
7,MSC02,mem,1.0,default,visual
8,MSC03,semantic,0.85,default,visual
9,MSC03,glass,0.95,default,visual
10,MSC03,motor,0.9,default,visual
11,MSC03,mem,1.0,default,visual
12,MSC04,semantic,1.0,default,visual
13,MSC04,glass,0.95,default,visual
14,MSC04,motor,1.0,default,visual
15,MSC04,mem,1.0,default,visual
16,MSC05,semantic,0.85,default,visual
17,MSC05,glass,0.95,default,visual
18,MSC05,motor,1.0,default,visual
19,MSC05,mem,1.0,default,visual
20,MSC06,semantic,0.9,default,visual
21,MSC06,glass,0.9444444444444444,default,visual
22,MSC06,motor,1.0,default,visual
23,MSC06,mem,1.0,default,visual
24,MSC07,semantic,1.0,default,visual
25,MSC07,glass,0.85,default,visual
26,MSC07,motor,0.8518518518518517,default,visual
27,MSC07,mem,0.85,default,visual
28,MSC10,semantic,0.8,default,visual
29,MSC10,glass,0.7,default,visual
30,MSC10,motor,0.95,default,visual
31,MSC10,mem,0.85,default,visual
0,MSC01,semantic,1.0,default,fp
1,MSC01,glass,0.9,default,fp
2,MSC01,motor,0.95,default,fp
3,MSC01,mem,1.0,default,fp
4,MSC02,semantic,0.85,default,fp
5,MSC02,glass,0.75,default,fp
6,MSC02,motor,0.9,default,fp
7,MSC02,mem,0.9,default,fp
8,MSC03,semantic,0.85,default,fp
9,MSC03,glass,0.85,default,fp
10,MSC03,motor,0.9,default,fp
11,MSC03,mem,0.875,default,fp
12,MSC04,semantic,0.95,default,fp
13,MSC04,glass,0.9,default,fp
14,MSC04,motor,0.9,default,fp
15,MSC04,mem,0.95,default,fp
16,MSC05,semantic,0.95,default,fp
17,MSC05,glass,0.95,default,fp
18,MSC05,motor,0.95,default,fp
19,MSC05,mem,1.0,default,fp
20,MSC06,semantic,0.95,default,fp
21,MSC06,glass,0.9444444444444444,default,fp
22,MSC06,motor,1.0,default,fp
23,MSC06,mem,0.95,default,fp
24,MSC07,semantic,1.0,default,fp
25,MSC07,glass,0.95,default,fp
26,MSC07,motor,0.8333333333333334,default,fp
27,MSC07,mem,0.95,default,fp
28,MSC10,semantic,1.0,default,fp
29,MSC10,glass,0.85,default,fp
30,MSC10,motor,0.85,default,fp
31,MSC10,mem,0.95,default,fp
0,MSC01,semantic,0.95,default,dan
1,MSC01,glass,0.85,default,dan
2,MSC01,motor,1.0,default,dan
3,MSC01,mem,1.0,default,dan
4,MSC02,semantic,0.95,default,dan
5,MSC02,glass,0.75,default,dan
6,MSC02,motor,0.95,default,dan
7,MSC02,mem,1.0,default,dan
8,MSC03,semantic,0.9,default,dan
9,MSC03,glass,0.9,default,dan
10,MSC03,motor,0.95,default,dan
11,MSC03,mem,0.8125,default,dan
12,MSC04,semantic,0.9,default,dan
13,MSC04,glass,0.9,default,dan
14,MSC04,motor,0.95,default,dan
15,MSC04,mem,1.0,default,dan
16,MSC05,semantic,0.95,default,dan
17,MSC05,glass,0.95,default,dan
18,MSC05,motor,0.95,default,dan
19,MSC05,mem,1.0,default,dan
20,MSC06,semantic,1.0,default,dan
21,MSC06,glass,0.8333333333333334,default,dan
22,MSC06,motor,0.9444444444444444,default,dan
23,MSC06,mem,1.0,default,dan
24,MSC07,semantic,0.95,default,dan
25,MSC07,glass,0.9,default,dan
26,MSC07,motor,0.9444444444444444,default,dan
27,MSC07,mem,0.95,default,dan
28,MSC10,semantic,0.9,default,dan
29,MSC10,glass,0.85,default,dan
30,MSC10,motor,1.0,default,dan
31,MSC10,mem,0.95,default,dan
0,MSC01,semantic,0.95,default,van
1,MSC01,glass,0.8,default,van
2,MSC01,motor,0.95,default,van
3,MSC01,mem,0.9,default,van
4,MSC02,semantic,0.95,default,van
5,MSC02,glass,0.8,default,van
6,MSC02,motor,0.95,default,van
7,MSC02,mem,1.0,default,van
8,MSC03,semantic,0.85,default,van
9,MSC03,glass,0.9,default,van
10,MSC03,motor,0.9,default,van
11,MSC03,mem,0.875,default,van
12,MSC04,semantic,0.85,default,van
13,MSC04,glass,1.0,default,van
14,MSC04,motor,0.95,default,van
15,MSC04,mem,0.85,default,van
16,MSC05,semantic,1.0,default,van
17,MSC05,glass,0.85,default,van
18,MSC05,motor,0.95,default,van
19,MSC05,mem,1.0,default,van
20,MSC06,semantic,0.95,default,van
21,MSC06,glass,0.8888888888888888,default,van
22,MSC06,motor,0.9444444444444444,default,van
23,MSC06,mem,1.0,default,van
24,MSC07,semantic,0.95,default,van
25,MSC07,glass,0.85,default,van
26,MSC07,motor,0.7777777777777778,default,van
27,MSC07,mem,0.95,default,van
28,MSC10,semantic,0.9,default,van
29,MSC10,glass,0.85,default,van
30,MSC10,motor,0.95,default,van
31,MSC10,mem,0.9,default,van
0,MSC01,semantic,0.85,default,salience
1,MSC01,glass,0.85,default,salience
2,MSC01,motor,0.95,default,salience
3,MSC01,mem,0.85,default,salience
4,MSC02,semantic,0.9,default,salience
5,MSC02,glass,0.7,default,salience
6,MSC02,motor,0.95,default,salience
7,MSC02,mem,0.95,default,salience
8,MSC03,semantic,0.85,default,salience
9,MSC03,glass,0.75,default,salience
10,MSC03,motor,0.8,default,salience
11,MSC03,mem,0.75,default,salience
12,MSC04,semantic,0.95,default,salience
13,MSC04,glass,0.9,default,salience
14,MSC04,motor,0.9,default,salience
15,MSC04,mem,0.75,default,salience
16,MSC05,semantic,0.95,default,salience
17,MSC05,glass,0.8,default,salience
18,MSC05,motor,0.85,default,salience
19,MSC05,mem,0.95,default,salience
20,MSC06,semantic,0.85,default,salience
21,MSC06,glass,0.6666666666666666,default,salience
22,MSC06,motor,0.9444444444444444,default,salience
23,MSC06,mem,1.0,default,salience
24,MSC07,semantic,0.95,default,salience
25,MSC07,glass,0.85,default,salience
26,MSC07,motor,0.9629629629629629,default,salience
27,MSC07,mem,0.95,default,salience
28,MSC10,semantic,0.8,default,salience
29,MSC10,glass,0.7,default,salience
30,MSC10,motor,0.7,default,salience
31,MSC10,mem,0.85,default,salience
0,MSC01,semantic,1.0,default,co
1,MSC01,glass,0.95,default,co
2,MSC01,motor,1.0,default,co
3,MSC01,mem,0.95,default,co
4,MSC02,semantic,0.85,default,co
5,MSC02,glass,0.8,default,co
6,MSC02,motor,0.95,default,co
7,MSC02,mem,0.9,default,co
8,MSC03,semantic,0.9,default,co
9,MSC03,glass,0.8,default,co
10,MSC03,motor,0.9,default,co
11,MSC03,mem,0.8125,default,co
12,MSC04,semantic,0.9,default,co
13,MSC04,glass,0.85,default,co
14,MSC04,motor,1.0,default,co
15,MSC04,mem,0.95,default,co
16,MSC05,semantic,1.0,default,co
17,MSC05,glass,0.95,default,co
18,MSC05,motor,0.95,default,co
19,MSC05,mem,1.0,default,co
20,MSC06,semantic,0.9,default,co
21,MSC06,glass,0.7777777777777778,default,co
22,MSC06,motor,0.8888888888888888,default,co
23,MSC06,mem,0.95,default,co
24,MSC07,semantic,0.95,default,co
25,MSC07,glass,0.9,default,co
26,MSC07,motor,0.9444444444444444,default,co
27,MSC07,mem,0.85,default,co
28,MSC10,semantic,0.9,default,co
29,MSC10,glass,0.85,default,co
30,MSC10,motor,0.85,default,co
31,MSC10,mem,0.9,default,co
0,MSC01,semantic,0.85,default,sm
1,MSC01,glass,0.75,default,sm
2,MSC01,motor,0.95,default,sm
3,MSC01,mem,0.95,default,sm
4,MSC02,semantic,0.8,default,sm
5,MSC02,glass,0.8,default,sm
6,MSC02,motor,0.9,default,sm
7,MSC02,mem,0.9,default,sm
8,MSC03,semantic,0.7,default,sm
9,MSC03,glass,0.9,default,sm
10,MSC03,motor,0.8,default,sm
11,MSC03,mem,0.75,default,sm
12,MSC04,semantic,0.75,default,sm
13,MSC04,glass,0.7,default,sm
14,MSC04,motor,0.9,default,sm
15,MSC04,mem,0.95,default,sm
16,MSC05,semantic,0.9,default,sm
17,MSC05,glass,0.95,default,sm
18,MSC05,motor,0.95,default,sm
19,MSC05,mem,1.0,default,sm
20,MSC06,semantic,0.7,default,sm
21,MSC06,glass,0.7407407407407407,default,sm
22,MSC06,motor,0.7777777777777778,default,sm
23,MSC06,mem,0.85,default,sm
24,MSC07,semantic,0.95,default,sm
25,MSC07,glass,0.75,default,sm
26,MSC07,motor,0.7962962962962963,default,sm
27,MSC07,mem,0.9,default,sm
28,MSC10,semantic,0.75,default,sm
29,MSC10,glass,0.75,default,sm
30,MSC10,motor,0.8,default,sm
31,MSC10,mem,0.9,default,sm
0,MSC01,semantic,0.85,default,sm-lat
1,MSC01,glass,0.85,default,sm-lat
2,MSC01,motor,0.85,default,sm-lat
3,MSC01,mem,0.95,default,sm-lat
4,MSC02,semantic,0.65,default,sm-lat
5,MSC02,glass,0.7,default,sm-lat
6,MSC02,motor,0.85,default,sm-lat
7,MSC02,mem,0.75,default,sm-lat
8,MSC03,semantic,0.55,default,sm-lat
9,MSC03,glass,0.6,default,sm-lat
10,MSC03,motor,0.65,default,sm-lat
11,MSC03,mem,0.6458333333333333,default,sm-lat
12,MSC04,semantic,0.7,default,sm-lat
13,MSC04,glass,0.85,default,sm-lat
14,MSC04,motor,0.8,default,sm-lat
15,MSC04,mem,0.85,default,sm-lat
16,MSC05,semantic,0.8,default,sm-lat
17,MSC05,glass,0.75,default,sm-lat
18,MSC05,motor,0.75,default,sm-lat
19,MSC05,mem,0.8,default,sm-lat
20,MSC06,semantic,0.75,default,sm-lat
21,MSC06,glass,0.574074074074074,default,sm-lat
22,MSC06,motor,0.8518518518518517,default,sm-lat
23,MSC06,mem,0.85,default,sm-lat
24,MSC07,semantic,0.85,default,sm-lat
25,MSC07,glass,0.85,default,sm-lat
26,MSC07,motor,0.7222222222222222,default,sm-lat
27,MSC07,mem,0.65,default,sm-lat
28,MSC10,semantic,0.75,default,sm-lat
29,MSC10,glass,0.85,default,sm-lat
30,MSC10,motor,0.9,default,sm-lat
31,MSC10,mem,0.85,default,sm-lat
0,MSC01,semantic,0.8,default,auditory
1,MSC01,glass,0.7,default,auditory
2,MSC01,motor,0.9,default,auditory
3,MSC01,mem,0.9,default,auditory
4,MSC02,semantic,0.75,default,auditory
5,MSC02,glass,0.85,default,auditory
6,MSC02,motor,0.85,default,auditory
7,MSC02,mem,0.75,default,auditory
8,MSC03,semantic,0.75,default,auditory
9,MSC03,glass,0.7,default,auditory
10,MSC03,motor,0.9,default,auditory
11,MSC03,mem,0.7708333333333333,default,auditory
12,MSC04,semantic,0.85,default,auditory
13,MSC04,glass,0.85,default,auditory
14,MSC04,motor,0.9,default,auditory
15,MSC04,mem,0.9,default,auditory
16,MSC05,semantic,0.85,default,auditory
17,MSC05,glass,0.6,default,auditory
18,MSC05,motor,0.9,default,auditory
19,MSC05,mem,0.95,default,auditory
20,MSC06,semantic,0.95,default,auditory
