task,diff
motor,0.033303571428571425
semantic,-0.021071428571428574
glass,-0.0015575396825396781
mem,0.006785714285714278
motor,0.004642857142857146
semantic,-0.009374999999999998
glass,0.000585317460317465
mem,-0.022232142857142857
motor,0.02526785714285715
semantic,0.0382142857142857
glass,-0.03319444444444445
mem,-0.029374999999999978
motor,0.0031250000000000067
semantic,0.0008035714285714164
glass,-0.005138888888888896
mem,-0.021607142857142856
motor,-0.022321428571428555
semantic,0.042946428571428594
glass,0.014851190476190471
mem,-0.031785714285714285
motor,0.012589285714285723
semantic,0.006339285714285716
glass,0.00241071428571428
mem,0.01580357142857143
motor,-0.005714285714285704
semantic,-0.0061607142857142885
glass,-0.012787698412698428
mem,-0.03357142857142858
motor,0.01794642857142858
semantic,-0.00642857142857145
glass,0.030287698412698412
mem,0.01553571428571429
motor,-0.00392857142857143
semantic,0.006517857142857137
glass,0.002757936507936514
mem,-0.017589285714285707
motor,0.039017857142857125
semantic,-0.0018750000000000056
glass,0.04654761904761907
mem,-0.037142857142857144
motor,0.026250000000000013
semantic,-0.02223214285714285
glass,0.006388888888888901
mem,0.005178571428571447
motor,0.005446428571428558
semantic,-0.026785714285714277
glass,0.04150793650793653
mem,0.030892857142857146
motor,0.010714285714285721
semantic,-0.007946428571428575
glass,0.02459325396825398
mem,0.011875000000000007
motor,-0.03366071428571429
semantic,-0.022321428571428575
glass,-0.004007936507936511
mem,0.012321428571428572
motor,0.025625000000000002
semantic,-0.033125
glass,0.007361111111111124
mem,-0.024910714285714283
motor,0.01517857142857144
semantic,0.02348214285714287
glass,-0.021875
mem,-0.021517857142857134
motor,0.036696428571428595
semantic,-0.0511607142857143
glass,-0.021994047619047618
mem,-0.01098214285714286
motor,0.012053571428571436
semantic,0.0167857142857143
glass,-0.031289682539682555
mem,0.02169642857142857
motor,0.00732142857142857
semantic,-0.03598214285714285
glass,-0.0344345238095238
mem,-0.013839285714285702
motor,-0.005714285714285715
semantic,0.007232142857142861
glass,-0.020734126984126976
mem,0.003482142857142864
motor,0.007410714285714291
semantic,0.034642857142857156
glass,0.015694444444444438
mem,-0.035535714285714275
motor,0.021517857142857134
semantic,0.042589285714285705
glass,0.044494047619047614
mem,0.013928571428571445
motor,-0.021250000000000015
semantic,-0.014910714285714282
glass,-0.017609126984126984
mem,0.029821428571428592
motor,0.008303571428571426
semantic,0.0024107142857142877
glass,0.011507936507936517
mem,-0.0024999999999999883
motor,-0.037857142857142846
semantic,0.02678571428571429
glass,-0.003234126984126976
mem,-0.005357142857142843
motor,-0.013125000000000001
semantic,0.030357142857142843
glass,0.0043055555555555685
mem,0.030803571428571423
motor,-0.015982142857142854
semantic,0.01392857142857142
glass,0.00645833333333333
mem,-0.018660714285714277
motor,-0.0003571428571428381
semantic,0.0011607142857142996
glass,-0.013392857142857139
mem,0.001071428571428564
motor,0.028125000000000004
semantic,0.020625000000000004
glass,0.010079365079365068
mem,0.030982142857142857
motor,0.03383928571428573
semantic,8.928571428572032e-05
glass,0.027192460317460285
mem,0.008839285714285704
motor,-0.027499999999999993
semantic,-0.004821428571428567
glass,0.028839285714285717
mem,-0.028750000000000015
motor,-0.029017857142857144
semantic,-0.022053571428571426
glass,-0.03197420634920635
mem,0.044107142857142866
motor,0.02071428571428573
semantic,-0.058660714285714274
glass,0.0013789682539682446
mem,-0.01866071428571429
motor,0.002678571428571446
semantic,-0.010892857142857133
glass,0.02918650793650793
mem,0.0003571428571428565
motor,0.008124999999999999
semantic,0.006249999999999998
glass,0.017797619047619038
mem,0.006607142857142862
motor,0.0016964285714285733
semantic,-0.0010714285714285693
glass,-0.01802579365079366
mem,0.03125000000000001
motor,-0.003928571428571421
semantic,-0.028928571428571435
glass,-0.006329365079365087
mem,0.016696428571428567
motor,0.004017857142857143
semantic,-0.043303571428571434
glass,-0.006101190476190476
mem,-0.030892857142857135
motor,-0.017232142857142852
semantic,-0.02294642857142856
glass,-0.017162698412698414
mem,0.020624999999999998
motor,-0.029821428571428565
semantic,-0.0026785714285714212
glass,-0.007043650793650785
mem,-0.006339285714285726
motor,0.00482142857142858
semantic,-0.018035714285714276
glass,0.007222222222222207
mem,0.01616071428571427
motor,-0.010089285714285702
semantic,0.012053571428571433
glass,0.01755952380952381
mem,0.006964285714285723
motor,-0.025357142857142825
semantic,-0.0125
glass,-0.024662698412698403
mem,-0.004642857142857136
motor,0.00446428571428572
semantic,0.04116071428571428
glass,0.0020734126984127024
mem,0.0003571428571428624
motor,0.00857142857142856
semantic,0.02339285714285714
glass,0.021964285714285714
mem,-0.011428571428571423
motor,0.00999999999999999
semantic,-0.006428571428571428
glass,0.0010714285714285784
mem,-0.046875000000000014
motor,-0.050357142857142864
semantic,-0.011875000000000005
glass,0.039325396825396805
mem,-0.00580357142857142
motor,0.01794642857142856
semantic,0.038124999999999985
glass,0.0009623015873015871
mem,-0.05749999999999999
motor,-0.03964285714285717
semantic,0.02955357142857144
glass,0.009126984126984134
mem,-0.019285714285714274
motor,-0.02071428571428571
semantic,0.01392857142857144
glass,-0.011210317460317467
mem,-0.014999999999999989
motor,-0.020714285714285723
semantic,-0.037589285714285714
glass,-0.021547619047619045
mem,0.02419642857142857
motor,-0.023482142857142833
semantic,0.018214285714285728
glass,0.0543452380952381
mem,-0.00044642857142857976
motor,0.012499999999999994
semantic,-0.005625000000000001
glass,-0.000942460317460323
mem,-0.03196428571428571
