acc,train,test,frames
0.8875000000000001,MSC03,MSC02,25
0.8500000000000001,MSC03,MSC04,25
0.90625,MSC03,MSC05,25
0.73125,MSC03,MSC06,25
0.525,MSC03,MSC07,25
0.85,MSC03,MSC10,25
0.9200000000000002,MSC04,MSC01,25
0.9,MSC04,MSC02,25
0.905,MSC04,MSC03,25
0.835,MSC04,MSC05,25
0.8800000000000001,MSC04,MSC06,25
0.7899999999999999,MSC04,MSC07,25
0.78,MSC04,MSC10,25
0.605,MSC05,MSC01,25
0.915,MSC05,MSC02,25
0.745,MSC05,MSC03,25
0.6049999999999999,MSC05,MSC04,25
0.8099999999999999,MSC05,MSC06,25
0.605,MSC05,MSC07,25
0.7350000000000001,MSC05,MSC10,25
0.5549999999999999,MSC06,MSC01,25
0.6299999999999999,MSC06,MSC02,25
0.675,MSC06,MSC03,25
0.8549999999999999,MSC06,MSC04,25
0.9,MSC06,MSC05,25
0.55,MSC06,MSC07,25
0.575,MSC06,MSC10,25
0.98,MSC07,MSC01,25
0.885,MSC07,MSC02,25
0.925,MSC07,MSC03,25
0.805,MSC07,MSC04,25
0.8750000000000002,MSC07,MSC05,25
0.675,MSC07,MSC06,25
0.8150000000000001,MSC07,MSC10,25
0.8099999999999999,MSC10,MSC01,25
0.8850000000000001,MSC10,MSC02,25
0.765,MSC10,MSC03,25
0.9000000000000001,MSC10,MSC04,25
0.8399999999999999,MSC10,MSC05,25
0.7999999999999999,MSC10,MSC06,25
0.6449999999999999,MSC10,MSC07,25
0.66,MSC01,MSC02,30
0.7200000000000001,MSC01,MSC03,30
0.8549999999999999,MSC01,MSC04,30
0.945,MSC01,MSC05,30
0.965,MSC01,MSC06,30
0.7899999999999999,MSC01,MSC07,30
0.775,MSC01,MSC10,30
0.935,MSC02,MSC01,30
0.905,MSC02,MSC03,30
0.96,MSC02,MSC04,30
0.8099999999999999,MSC02,MSC05,30
0.885,MSC02,MSC06,30
0.95,MSC02,MSC07,30
0.875,MSC02,MSC10,30
0.525,MSC03,MSC01,30
0.6312500000000001,MSC03,MSC02,30
0.575,MSC03,MSC04,30
0.6437499999999999,MSC03,MSC05,30
0.5,MSC03,MSC06,30
0.6124999999999999,MSC03,MSC07,30
0.7125,MSC03,MSC10,30
0.5,MSC04,MSC01,30
0.63,MSC04,MSC02,30
0.615,MSC04,MSC03,30
0.875,MSC04,MSC05,30
0.8300000000000001,MSC04,MSC06,30
0.5499999999999999,MSC04,MSC07,30
0.625,MSC04,MSC10,30
0.9,MSC05,MSC01,30
0.58,MSC05,MSC02,30
0.9149999999999998,MSC05,MSC03,30
0.9,MSC05,MSC04,30
0.945,MSC05,MSC06,30
0.93,MSC05,MSC07,30
0.76,MSC05,MSC10,30
0.985,MSC06,MSC01,30
0.915,MSC06,MSC02,30
0.93,MSC06,MSC03,30
0.845,MSC06,MSC04,30
0.99,MSC06,MSC05,30
0.885,MSC06,MSC07,30
0.94,MSC06,MSC10,30
0.93,MSC07,MSC01,30
0.8800000000000001,MSC07,MSC02,30
0.8150000000000001,MSC07,MSC03,30
0.9,MSC07,MSC04,30
0.8150000000000001,MSC07,MSC05,30
0.8700000000000001,MSC07,MSC06,30
0.885,MSC07,MSC10,30
0.845,MSC10,MSC01,30
0.8450000000000001,MSC10,MSC02,30
0.845,MSC10,MSC03,30
0.8150000000000001,MSC10,MSC04,30
0.875,MSC10,MSC05,30
0.8300000000000001,MSC10,MSC06,30
0.685,MSC10,MSC07,30
0.94,MSC01,MSC02,40
0.8300000000000001,MSC01,MSC03,40
0.8950000000000001,MSC01,MSC04,40
0.965,MSC01,MSC05,40
0.99,MSC01,MSC06,40
0.7100000000000001,MSC01,MSC07,40
0.98,MSC01,MSC10,40
0.8550000000000001,MSC02,MSC01,40
0.825,MSC02,MSC03,40
0.8099999999999999,MSC02,MSC04,40
0.865,MSC02,MSC05,40
0.91,MSC02,MSC06,40
0.695,MSC02,MSC07,40
0.845,MSC02,MSC10,40
0.7125,MSC03,MSC01,40
0.91875,MSC03,MSC02,40
0.8250000000000001,MSC03,MSC04,40
0.94375,MSC03,MSC05,40
0.7,MSC03,MSC06,40
0.60625,MSC03,MSC07,40
0.8062499999999999,MSC03,MSC10,40
0.965,MSC04,MSC01,40
0.91,MSC04,MSC02,40
0.765,MSC04,MSC03,40
0.975,MSC04,MSC05,40
0.99,MSC04,MSC06,40
0.8450000000000001,MSC04,MSC07,40
0.8,MSC04,MSC10,40
0.5399999999999999,MSC05,MSC01,40
0.5,MSC05,MSC02,40
0.545,MSC05,MSC03,40
0.79,MSC05,MSC04,40
0.905,MSC05,MSC06,40
0.505,MSC05,MSC07,40
0.5549999999999999,MSC05,MSC10,40
0.8300000000000001,MSC06,MSC01,40
0.8700000000000001,MSC06,MSC02,40
0.775,MSC06,MSC03,40
0.9200000000000002,MSC06,MSC04,40
1.0,MSC06,MSC05,40
0.6649999999999999,MSC06,MSC07,40
0.7649999999999999,MSC06,MSC10,40
0.77,MSC07,MSC01,40
0.645,MSC07,MSC02,40
0.7849999999999999,MSC07,MSC03,40
0.8300000000000001,MSC07,MSC04,40
0.8,MSC07,MSC05,40
0.8949999999999999,MSC07,MSC06,40
0.8099999999999999,MSC07,MSC10,40
0.99,MSC10,MSC01,40
0.97,MSC10,MSC02,40
0.975,MSC10,MSC03,40
0.915,MSC10,MSC04,40
0.91,MSC10,MSC05,40
0.82,MSC10,MSC06,40
0.76,MSC10,MSC07,40
0.925,MSC01,MSC02,50
0.8099999999999999,MSC01,MSC03,50
0.9050000000000002,MSC01,MSC04,50
0.955,MSC01,MSC05,50
0.935,MSC01,MSC06,50
0.765,MSC01,MSC07,50
0.94,MSC01,MSC10,50
0.8799999999999999,MSC02,MSC01,50
0.785,MSC02,MSC03,50
0.91,MSC02,MSC04,50
1.0,MSC02,MSC05,50
0.9600000000000002,MSC02,MSC06,50
0.89,MSC02,MSC07,50
0.95,MSC02,MSC10,50
0.8812500000000001,MSC03,MSC01,50
0.8124999999999999,MSC03,MSC02,50
0.875,MSC03,MSC04,50
0.91875,MSC03,MSC05,50
0.7000000000000001,MSC03,MSC06,50
0.55,MSC03,MSC07,50
0.90625,MSC03,MSC10,50
0.85,MSC04,MSC01,50
0.905,MSC04,MSC02,50
0.705,MSC04,MSC03,50
0.9350000000000002,MSC04,MSC05,50
0.99,MSC04,MSC06,50
0.6799999999999999,MSC04,MSC07,50
0.8550000000000001,MSC04,MSC10,50
0.6,MSC05,MSC01,50
0.505,MSC05,MSC02,50
0.68,MSC05,MSC03,50
0.6900000000000001,MSC05,MSC04,50
0.76,MSC05,MSC06,50
0.65,MSC05,MSC07,50
0.5399999999999999,MSC05,MSC10,50
0.935,MSC06,MSC01,50
0.8350000000000002,MSC06,MSC02,50
0.905,MSC06,MSC03,50
0.9200000000000002,MSC06,MSC04,50
0.985,MSC06,MSC05,50
0.8950000000000001,MSC06,MSC07,50
0.9549999999999998,MSC06,MSC10,50
0.915,MSC07,MSC01,50
0.645,MSC07,MSC02,50
0.79,MSC07,MSC03,50
0.89,MSC07,MSC04,50
0.905,MSC07,MSC05,50
0.935,MSC07,MSC06,50
0.7699999999999998,MSC07,MSC10,50
0.835,MSC10,MSC01,50
0.615,MSC10,MSC02,50
0.73,MSC10,MSC03,50
0.865,MSC10,MSC04,50
0.885,MSC10,MSC05,50
0.97,MSC10,MSC06,50
0.78,MSC10,MSC07,50
0.885,MSC01,MSC02,60
0.7999999999999999,MSC01,MSC03,60
0.9000000000000001,MSC01,MSC04,60
0.94,MSC01,MSC05,60
0.99,MSC01,MSC06,60
0.7649999999999999,MSC01,MSC07,60
0.925,MSC01,MSC10,60
0.97,MSC02,MSC01,60
0.9350000000000002,MSC02,MSC03,60
1.0,MSC02,MSC04,60
1.0,MSC02,MSC05,60
0.98,MSC02,MSC06,60
0.82,MSC02,MSC07,60
0.96,MSC02,MSC10,60
0.5875,MSC03,MSC01,60
0.8562500000000001,MSC03,MSC02,60
0.8125,MSC03,MSC04,60
0.8562500000000001,MSC03,MSC05,60
0.675,MSC03,MSC06,60
0.5625,MSC03,MSC07,60
0.7687499999999998,MSC03,MSC10,60
0.525,MSC04,MSC01,60
0.595,MSC04,MSC02,60
0.6500000000000001,MSC04,MSC03,60
0.98,MSC04,MSC05,60
0.905,MSC04,MSC06,60
0.5349999999999999,MSC04,MSC07,60
0.6700000000000002,MSC04,MSC10,60
0.965,MSC05,MSC01,60
0.705,MSC05,MSC02,60
0.93,MSC05,MSC03,60
0.8950000000000001,MSC05,MSC04,60
0.995,MSC05,MSC06,60
0.955,MSC05,MSC07,60
0.9599999999999996,MSC05,MSC10,60
0.8850000000000001,MSC06,MSC01,60
0.92,MSC06,MSC02,60
0.955,MSC06,MSC03,60
0.93,MSC06,MSC04,60
0.965,MSC06,MSC05,60
0.92,MSC06,MSC07,60
0.965,MSC06,MSC10,60
0.93,MSC07,MSC01,60
0.8400000000000001,MSC07,MSC02,60
0.7849999999999999,MSC07,MSC03,60
0.91,MSC07,MSC04,60
0.985,MSC07,MSC05,60
0.965,MSC07,MSC06,60
0.905,MSC07,MSC10,60
0.6299999999999999,MSC10,MSC01,60
0.7350000000000001,MSC10,MSC02,60
0.72,MSC10,MSC03,60
0.85,MSC10,MSC04,60
0.8399999999999999,MSC10,MSC05,60
0.98,MSC10,MSC06,60
0.845,MSC10,MSC07,60
0.8699999999999999,MSC01,MSC02,70
0.975,MSC01,MSC03,70
0.9000000000000001,MSC01,MSC04,70
0.985,MSC01,MSC05,70
0.96,MSC01,MSC06,70
