,train_task,test_task,sub,acc,Features
37,mixed,mem,MSC07,0.725,60
38,motor,mixed,MSC07,0.5499999999999999,60
39,motor,mem,MSC07,0.6099999999999999,60
40,mem,mixed,MSC07,0.73,60
41,mem,motor,MSC07,0.805,60
42,mixed,motor,MSC10,0.565,60
43,mixed,mem,MSC10,0.8049999999999999,60
44,motor,mixed,MSC10,0.52,60
45,motor,mem,MSC10,0.655,60
46,mem,mixed,MSC10,0.78,60
47,mem,motor,MSC10,0.68,60
0,mixed,motor,MSC01,0.8850000000000001,70
1,mixed,mem,MSC01,0.8400000000000001,70
2,motor,mixed,MSC01,0.725,70
3,motor,mem,MSC01,0.64,70
4,mem,mixed,MSC01,0.925,70
5,mem,motor,MSC01,0.885,70
6,mixed,motor,MSC02,0.73,70
7,mixed,mem,MSC02,0.7949999999999998,70
8,motor,mixed,MSC02,0.5449999999999999,70
9,motor,mem,MSC02,0.595,70
10,mem,mixed,MSC02,0.8099999999999999,70
11,mem,motor,MSC02,0.7899999999999999,70
12,mixed,motor,MSC03,0.97,70
13,mixed,mem,MSC03,0.875,70
14,motor,mixed,MSC03,0.59,70
15,motor,mem,MSC03,0.7000000000000001,70
16,mem,mixed,MSC03,0.7399999999999999,70
17,mem,motor,MSC03,0.7700000000000001,70
18,mixed,motor,MSC04,0.8949999999999999,70
19,mixed,mem,MSC04,0.8550000000000001,70
20,motor,mixed,MSC04,0.6399999999999999,70
21,motor,mem,MSC04,0.7949999999999998,70
22,mem,mixed,MSC04,0.905,70
23,mem,motor,MSC04,0.9,70
24,mixed,motor,MSC05,0.8049999999999999,70
25,mixed,mem,MSC05,0.8599999999999998,70
26,motor,mixed,MSC05,0.7150000000000001,70
27,motor,mem,MSC05,0.76,70
28,mem,mixed,MSC05,0.99,70
29,mem,motor,MSC05,0.835,70
30,mixed,motor,MSC06,0.7899999999999998,70
31,mixed,mem,MSC06,0.805,70
32,motor,mixed,MSC06,0.615,70
33,motor,mem,MSC06,0.7100000000000001,70
34,mem,mixed,MSC06,0.7049999999999998,70
35,mem,motor,MSC06,0.82,70
36,mixed,motor,MSC07,0.89,70
