train_task,test_task,train_sub,test_sub,acc,spec,sen
motor,semantic,MSC02,MSC07,0.5,1.0,0.0
motor,mem,MSC02,MSC07,0.5,1.0,0.0
mem,glass,MSC02,MSC07,0.9,0.8,1.0
mem,semantic,MSC02,MSC07,0.8399999999999999,0.8,0.8800000000000001
mem,motor,MSC02,MSC07,0.9,0.8,1.0
glass,semantic,MSC02,MSC10,0.5,1.0,0.0
glass,motor,MSC02,MSC10,0.5,1.0,0.0
glass,mem,MSC02,MSC10,0.5,1.0,0.0
semantic,glass,MSC02,MSC10,0.5,1.0,0.0
semantic,motor,MSC02,MSC10,0.5,1.0,0.0
semantic,mem,MSC02,MSC10,0.5,1.0,0.0
motor,glass,MSC02,MSC10,0.5,1.0,0.0
motor,semantic,MSC02,MSC10,0.5,1.0,0.0
motor,mem,MSC02,MSC10,0.5,1.0,0.0
mem,glass,MSC02,MSC10,0.875,0.99,0.76
mem,semantic,MSC02,MSC10,0.9049999999999999,0.99,0.8200000000000001
mem,motor,MSC02,MSC10,0.945,0.99,0.9000000000000001
glass,semantic,MSC03,MSC01,0.5,1.0,0.0
glass,motor,MSC03,MSC01,0.5,1.0,0.0
glass,mem,MSC03,MSC01,0.5,1.0,0.0
semantic,glass,MSC03,MSC01,0.5,1.0,0.0
semantic,motor,MSC03,MSC01,0.5,1.0,0.0
semantic,mem,MSC03,MSC01,0.5,1.0,0.0
motor,glass,MSC03,MSC01,0.5,1.0,0.0
motor,semantic,MSC03,MSC01,0.505,1.0,0.01
motor,mem,MSC03,MSC01,0.5499999999999999,1.0,0.09999999999999999
mem,glass,MSC03,MSC01,0.51,0.02,1.0
mem,semantic,MSC03,MSC01,0.51,0.02,1.0
mem,motor,MSC03,MSC01,0.51,0.02,1.0
glass,semantic,MSC03,MSC02,0.5,1.0,0.0
glass,motor,MSC03,MSC02,0.5799999999999998,1.0,0.15999999999999998
glass,mem,MSC03,MSC02,0.5,1.0,0.0
semantic,glass,MSC03,MSC02,0.5,1.0,0.0
semantic,motor,MSC03,MSC02,0.5,1.0,0.0
semantic,mem,MSC03,MSC02,0.5,1.0,0.0
motor,glass,MSC03,MSC02,0.5899999999999999,1.0,0.18
motor,semantic,MSC03,MSC02,0.565,1.0,0.13
motor,mem,MSC03,MSC02,0.5599999999999998,1.0,0.12000000000000002
mem,glass,MSC03,MSC02,0.425,0.14000000000000004,0.7100000000000001
mem,semantic,MSC03,MSC02,0.505,0.14000000000000004,0.8700000000000001
mem,motor,MSC03,MSC02,0.45500000000000007,0.14000000000000004,0.7699999999999999
glass,semantic,MSC03,MSC04,0.5,1.0,0.0
glass,motor,MSC03,MSC04,0.5,1.0,0.0
glass,mem,MSC03,MSC04,0.5,1.0,0.0
semantic,glass,MSC03,MSC04,0.5,1.0,0.0
semantic,motor,MSC03,MSC04,0.5,1.0,0.0
semantic,mem,MSC03,MSC04,0.5,1.0,0.0
motor,glass,MSC03,MSC04,0.5999999999999999,1.0,0.2
motor,semantic,MSC03,MSC04,0.52,1.0,0.04
motor,mem,MSC03,MSC04,0.51,1.0,0.02
mem,glass,MSC03,MSC04,0.7949999999999999,0.7200000000000001,0.8700000000000001
mem,semantic,MSC03,MSC04,0.755,0.7200000000000001,0.79
mem,motor,MSC03,MSC04,0.8499999999999999,0.7200000000000001,0.9800000000000001
glass,semantic,MSC03,MSC05,0.505,1.0,0.01
glass,motor,MSC03,MSC05,0.68,1.0,0.36
glass,mem,MSC03,MSC05,0.5199999999999999,1.0,0.04
semantic,glass,MSC03,MSC05,0.505,1.0,0.01
semantic,motor,MSC03,MSC05,0.5,1.0,0.0
semantic,mem,MSC03,MSC05,0.5249999999999999,1.0,0.05
motor,glass,MSC03,MSC05,0.5599999999999999,1.0,0.12
motor,semantic,MSC03,MSC05,0.6849999999999999,1.0,0.37
motor,mem,MSC03,MSC05,0.7300000000000001,1.0,0.4600000000000001
mem,glass,MSC03,MSC05,0.765,0.76,0.7699999999999999
mem,semantic,MSC03,MSC05,0.845,0.76,0.93
mem,motor,MSC03,MSC05,0.8399999999999999,0.76,0.9200000000000002
glass,semantic,MSC03,MSC06,0.5,1.0,0.0
glass,motor,MSC03,MSC06,0.5,1.0,0.0
glass,mem,MSC03,MSC06,0.5,1.0,0.0
semantic,glass,MSC03,MSC06,0.5,1.0,0.0
semantic,motor,MSC03,MSC06,0.5,1.0,0.0
semantic,mem,MSC03,MSC06,0.5,1.0,0.0
motor,glass,MSC03,MSC06,0.5499999999999999,1.0,0.10000000000000002
motor,semantic,MSC03,MSC06,0.5,1.0,0.0
motor,mem,MSC03,MSC06,0.5,1.0,0.0
mem,glass,MSC03,MSC06,0.8222222222222223,0.8666666666666666,0.7777777777777779
mem,semantic,MSC03,MSC06,0.7949999999999999,0.8800000000000001,0.7100000000000001
mem,motor,MSC03,MSC06,0.8850000000000001,0.8800000000000001,0.8900000000000002
glass,semantic,MSC03,MSC07,0.5,1.0,0.0
glass,motor,MSC03,MSC07,0.5,1.0,0.0
glass,mem,MSC03,MSC07,0.5,1.0,0.0
semantic,glass,MSC03,MSC07,0.5,1.0,0.0
semantic,motor,MSC03,MSC07,0.5,1.0,0.0
semantic,mem,MSC03,MSC07,0.5,1.0,0.0
motor,glass,MSC03,MSC07,0.5,1.0,0.0
motor,semantic,MSC03,MSC07,0.5,1.0,0.0
motor,mem,MSC03,MSC07,0.5449999999999999,1.0,0.09
mem,glass,MSC03,MSC07,0.64,0.8800000000000001,0.39999999999999997
mem,semantic,MSC03,MSC07,0.5999999999999999,0.8800000000000001,0.31999999999999995
mem,motor,MSC03,MSC07,0.9349999999999999,0.8800000000000001,0.99
glass,semantic,MSC03,MSC10,0.5,1.0,0.0
glass,motor,MSC03,MSC10,0.5,1.0,0.0
glass,mem,MSC03,MSC10,0.5,1.0,0.0
semantic,glass,MSC03,MSC10,0.5,1.0,0.0
semantic,motor,MSC03,MSC10,0.5,1.0,0.0
semantic,mem,MSC03,MSC10,0.5,1.0,0.0
motor,glass,MSC03,MSC10,0.515,1.0,0.030000000000000006
motor,semantic,MSC03,MSC10,0.5,1.0,0.0
motor,mem,MSC03,MSC10,0.5999999999999999,1.0,0.2
mem,glass,MSC03,MSC10,0.8950000000000001,0.7999999999999999,0.99
mem,semantic,MSC03,MSC10,0.7999999999999999,0.7999999999999999,0.7999999999999999
mem,motor,MSC03,MSC10,0.89,0.7999999999999999,0.9800000000000001
glass,semantic,MSC04,MSC01,0.6300000000000001,1.0,0.25999999999999995
glass,motor,MSC04,MSC01,0.72,1.0,0.44000000000000006
glass,mem,MSC04,MSC01,0.6600000000000001,1.0,0.31999999999999995
semantic,glass,MSC04,MSC01,0.52,1.0,0.04
semantic,motor,MSC04,MSC01,0.5,1.0,0.0
semantic,mem,MSC04,MSC01,0.57,1.0,0.13999999999999999
motor,glass,MSC04,MSC01,0.675,1.0,0.35
motor,semantic,MSC04,MSC01,0.6450000000000001,1.0,0.2899999999999999
motor,mem,MSC04,MSC01,0.6799999999999999,1.0,0.36000000000000004
mem,glass,MSC04,MSC01,0.8800000000000001,0.9200000000000002,0.8400000000000001
mem,semantic,MSC04,MSC01,0.9399999999999998,0.9200000000000002,0.96
mem,motor,MSC04,MSC01,0.96,0.9200000000000002,1.0
glass,semantic,MSC04,MSC02,0.5549999999999999,1.0,0.10999999999999999
glass,motor,MSC04,MSC02,0.57,1.0,0.13999999999999999
glass,mem,MSC04,MSC02,0.62,1.0,0.24
semantic,glass,MSC04,MSC02,0.5599999999999999,1.0,0.12
semantic,motor,MSC04,MSC02,0.5,1.0,0.0
semantic,mem,MSC04,MSC02,0.5499999999999999,1.0,0.09999999999999999
motor,glass,MSC04,MSC02,0.7649999999999999,1.0,0.5299999999999999
motor,semantic,MSC04,MSC02,0.75,1.0,0.5
motor,mem,MSC04,MSC02,0.78,1.0,0.5599999999999999
mem,glass,MSC04,MSC02,0.655,0.9700000000000001,0.33999999999999997
mem,semantic,MSC04,MSC02,0.68,0.9700000000000001,0.39
mem,motor,MSC04,MSC02,0.6050000000000001,0.9700000000000001,0.24
glass,semantic,MSC04,MSC03,0.7300000000000001,1.0,0.45999999999999996
glass,motor,MSC04,MSC03,0.8299999999999998,1.0,0.6599999999999999
glass,mem,MSC04,MSC03,0.7,1.0,0.4
semantic,glass,MSC04,MSC03,0.5,1.0,0.0
semantic,motor,MSC04,MSC03,0.5149999999999999,1.0,0.030000000000000006
semantic,mem,MSC04,MSC03,0.515,1.0,0.030000000000000006
motor,glass,MSC04,MSC03,0.6900000000000001,0.9100000000000001,0.47000000000000003
motor,semantic,MSC04,MSC03,0.7899999999999999,0.9100000000000001,0.6699999999999999
motor,mem,MSC04,MSC03,0.7799999999999999,0.9100000000000001,0.65
mem,glass,MSC04,MSC03,0.615,0.55,0.6799999999999999
mem,semantic,MSC04,MSC03,0.67,0.55,0.79
mem,motor,MSC04,MSC03,0.7200000000000001,0.55,0.8900000000000002
glass,semantic,MSC04,MSC05,0.605,1.0,0.20999999999999996
glass,motor,MSC04,MSC05,0.6950000000000001,1.0,0.39
