acc,train,test,train_task,test_task
0.6,MSC05,MSC10,mixed,motor
0.7,MSC05,MSC10,mixed,motor
0.6,MSC05,MSC10,mixed,motor
0.75,MSC05,MSC10,mixed,motor
0.65,MSC05,MSC10,mixed,motor
0.55,MSC05,MSC10,mixed,motor
0.65,MSC05,MSC10,mixed,motor
0.7,MSC05,MSC10,mixed,motor
0.65,MSC05,MSC10,mixed,motor
0.75,MSC05,MSC10,mixed,motor
0.55,MSC05,MSC10,mem,mixed
0.8,MSC05,MSC10,mem,mixed
0.65,MSC05,MSC10,mem,mixed
0.75,MSC05,MSC10,mem,mixed
0.6,MSC05,MSC10,mem,mixed
0.55,MSC05,MSC10,mem,mixed
0.6,MSC05,MSC10,mem,mixed
0.65,MSC05,MSC10,mem,mixed
0.7,MSC05,MSC10,mem,mixed
0.75,MSC05,MSC10,mem,mixed
0.5,MSC05,MSC10,mem,motor
0.75,MSC05,MSC10,mem,motor
0.65,MSC05,MSC10,mem,motor
0.75,MSC05,MSC10,mem,motor
0.6,MSC05,MSC10,mem,motor
0.6,MSC05,MSC10,mem,motor
0.6,MSC05,MSC10,mem,motor
0.65,MSC05,MSC10,mem,motor
0.75,MSC05,MSC10,mem,motor
0.75,MSC05,MSC10,mem,motor
0.6,MSC05,MSC10,motor,mixed
0.6,MSC05,MSC10,motor,mixed
0.6,MSC05,MSC10,motor,mixed
0.6,MSC05,MSC10,motor,mixed
0.65,MSC05,MSC10,motor,mixed
0.75,MSC05,MSC10,motor,mixed
0.75,MSC05,MSC10,motor,mixed
0.75,MSC05,MSC10,motor,mixed
0.6,MSC05,MSC10,motor,mixed
0.65,MSC05,MSC10,motor,mixed
0.55,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
0.6,MSC05,MSC10,motor,mem
0.6,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
0.6,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
0.65,MSC05,MSC10,motor,mem
