train,test,sub,acc
mixed,mem,MSC10,0.85
mixed,mem,MSC10,0.9
mixed,mem,MSC10,0.85
mixed,mem,MSC10,0.9
mixed,motor,MSC10,0.4
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.45
mixed,motor,MSC10,0.45
mixed,motor,MSC10,0.95
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.85
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.9
mem,mixed,MSC10,0.85
mem,mixed,MSC10,0.7
mem,mixed,MSC10,0.85
mem,mixed,MSC10,0.3
mem,mixed,MSC10,0.7
mem,mixed,MSC10,0.65
mem,mixed,MSC10,0.75
mem,mixed,MSC10,0.75
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.8
mem,motor,MSC10,0.95
mem,motor,MSC10,0.9
mem,motor,MSC10,0.95
mem,motor,MSC10,0.4
mem,motor,MSC10,0.9
mem,motor,MSC10,0.85
mem,motor,MSC10,0.9
mem,motor,MSC10,0.9
mem,motor,MSC10,0.95
mem,motor,MSC10,0.95
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mixed,MSC10,0.7
motor,mem,MSC10,0.8
motor,mem,MSC10,0.8
motor,mem,MSC10,0.75
motor,mem,MSC10,0.7
motor,mem,MSC10,0.8
motor,mem,MSC10,0.7
motor,mem,MSC10,0.7
motor,mem,MSC10,0.75
motor,mem,MSC10,0.7
motor,mem,MSC10,0.7
