,train_sub,test_sub,task,acc,Features
163,MSC10,MSC06,motor,0.5599999999999999,10
164,MSC10,MSC06,mem,0.5549999999999999,10
165,MSC10,MSC07,mixed,0.665,10
166,MSC10,MSC07,motor,0.665,10
167,MSC10,MSC07,mem,0.3650000000000001,10
0,MSC01,MSC02,mixed,0.545,20
1,MSC01,MSC02,motor,0.6450000000000001,20
2,MSC01,MSC02,mem,0.7549999999999999,20
3,MSC01,MSC03,mixed,0.4750000000000001,20
4,MSC01,MSC03,motor,0.6399999999999999,20
5,MSC01,MSC03,mem,0.5799999999999998,20
6,MSC01,MSC04,mixed,0.51,20
7,MSC01,MSC04,motor,0.7699999999999999,20
8,MSC01,MSC04,mem,0.8549999999999999,20
9,MSC01,MSC05,mixed,0.5,20
10,MSC01,MSC05,motor,0.575,20
11,MSC01,MSC05,mem,0.7949999999999999,20
12,MSC01,MSC06,mixed,0.5,20
13,MSC01,MSC06,motor,0.6000000000000001,20
14,MSC01,MSC06,mem,0.6049999999999999,20
15,MSC01,MSC07,mixed,0.75,20
16,MSC01,MSC07,motor,0.735,20
17,MSC01,MSC07,mem,0.485,20
18,MSC01,MSC10,mixed,0.4600000000000001,20
19,MSC01,MSC10,motor,0.725,20
20,MSC01,MSC10,mem,0.745,20
21,MSC02,MSC01,mixed,0.4800000000000001,20
22,MSC02,MSC01,motor,0.68,20
23,MSC02,MSC01,mem,0.76,20
24,MSC02,MSC03,mixed,0.5250000000000001,20
25,MSC02,MSC03,motor,0.705,20
26,MSC02,MSC03,mem,0.63,20
27,MSC02,MSC04,mixed,0.7050000000000001,20
28,MSC02,MSC04,motor,0.78,20
29,MSC02,MSC04,mem,0.7849999999999999,20
30,MSC02,MSC05,mixed,0.55,20
31,MSC02,MSC05,motor,0.7849999999999999,20
32,MSC02,MSC05,mem,0.6099999999999999,20
33,MSC02,MSC06,mixed,0.705,20
34,MSC02,MSC06,motor,0.6399999999999999,20
35,MSC02,MSC06,mem,0.5549999999999999,20
36,MSC02,MSC07,mixed,0.7899999999999999,20
37,MSC02,MSC07,motor,0.6500000000000001,20
38,MSC02,MSC07,mem,0.7250000000000001,20
39,MSC02,MSC10,mixed,0.645,20
40,MSC02,MSC10,motor,0.5999999999999999,20
41,MSC02,MSC10,mem,0.59,20
42,MSC03,MSC01,mixed,0.5449999999999999,20
43,MSC03,MSC01,motor,0.75,20
44,MSC03,MSC01,mem,0.555,20
45,MSC03,MSC02,mixed,0.505,20
46,MSC03,MSC02,motor,0.6300000000000001,20
47,MSC03,MSC02,mem,0.5149999999999999,20
48,MSC03,MSC04,mixed,0.645,20
49,MSC03,MSC04,motor,0.8150000000000001,20
50,MSC03,MSC04,mem,0.52,20
51,MSC03,MSC05,mixed,0.5249999999999999,20
52,MSC03,MSC05,motor,0.8399999999999999,20
53,MSC03,MSC05,mem,0.6250000000000001,20
54,MSC03,MSC06,mixed,0.525,20
55,MSC03,MSC06,motor,0.5999999999999999,20
56,MSC03,MSC06,mem,0.795,20
57,MSC03,MSC07,mixed,0.495,20
58,MSC03,MSC07,motor,0.775,20
59,MSC03,MSC07,mem,0.5,20
60,MSC03,MSC10,mixed,0.635,20
61,MSC03,MSC10,motor,0.53,20
62,MSC03,MSC10,mem,0.635,20
63,MSC04,MSC01,mixed,0.5,20
64,MSC04,MSC01,motor,0.5549999999999999,20
65,MSC04,MSC01,mem,0.5599999999999999,20
66,MSC04,MSC02,mixed,0.7100000000000001,20
67,MSC04,MSC02,motor,0.6450000000000001,20
68,MSC04,MSC02,mem,0.615,20
69,MSC04,MSC03,mixed,0.58,20
70,MSC04,MSC03,motor,0.7100000000000001,20
71,MSC04,MSC03,mem,0.485,20
72,MSC04,MSC05,mixed,0.525,20
73,MSC04,MSC05,motor,0.7899999999999999,20
74,MSC04,MSC05,mem,0.5149999999999999,20
75,MSC04,MSC06,mixed,0.6950000000000001,20
76,MSC04,MSC06,motor,0.6900000000000001,20
77,MSC04,MSC06,mem,0.74,20
78,MSC04,MSC07,mixed,0.645,20
79,MSC04,MSC07,motor,0.8399999999999999,20
80,MSC04,MSC07,mem,0.575,20
81,MSC04,MSC10,mixed,0.655,20
82,MSC04,MSC10,motor,0.555,20
83,MSC04,MSC10,mem,0.6950000000000001,20
84,MSC05,MSC01,mixed,0.605,20
85,MSC05,MSC01,motor,0.6349999999999998,20
86,MSC05,MSC01,mem,0.6900000000000001,20
87,MSC05,MSC02,mixed,0.505,20
88,MSC05,MSC02,motor,0.65,20
89,MSC05,MSC02,mem,0.5449999999999999,20
90,MSC05,MSC03,mixed,0.57,20
91,MSC05,MSC03,motor,0.89,20
92,MSC05,MSC03,mem,0.6450000000000001,20
93,MSC05,MSC04,mixed,0.6300000000000001,20
94,MSC05,MSC04,motor,0.8549999999999999,20
95,MSC05,MSC04,mem,0.8399999999999999,20
96,MSC05,MSC06,mixed,0.4450000000000001,20
97,MSC05,MSC06,motor,0.505,20
98,MSC05,MSC06,mem,0.745,20
99,MSC05,MSC07,mixed,0.3750000000000001,20
100,MSC05,MSC07,motor,0.7350000000000001,20
101,MSC05,MSC07,mem,0.515,20
102,MSC05,MSC10,mixed,0.455,20
103,MSC05,MSC10,motor,0.655,20
104,MSC05,MSC10,mem,0.6250000000000001,20
105,MSC06,MSC01,mixed,0.595,20
106,MSC06,MSC01,motor,0.77,20
107,MSC06,MSC01,mem,0.7649999999999999,20
108,MSC06,MSC02,mixed,0.5,20
109,MSC06,MSC02,motor,0.6099999999999999,20
110,MSC06,MSC02,mem,0.5199999999999999,20
111,MSC06,MSC03,mixed,0.5,20
112,MSC06,MSC03,motor,0.67,20
113,MSC06,MSC03,mem,0.6349999999999999,20
114,MSC06,MSC04,mixed,0.5,20
115,MSC06,MSC04,motor,0.605,20
116,MSC06,MSC04,mem,0.63,20
117,MSC06,MSC05,mixed,0.495,20
118,MSC06,MSC05,motor,0.6649999999999998,20
119,MSC06,MSC05,mem,0.9,20
120,MSC06,MSC07,mixed,0.505,20
121,MSC06,MSC07,motor,0.7649999999999999,20
122,MSC06,MSC07,mem,0.6,20
123,MSC06,MSC10,mixed,0.5,20
124,MSC06,MSC10,motor,0.6450000000000001,20
125,MSC06,MSC10,mem,0.6649999999999999,20
126,MSC07,MSC01,mixed,0.5,20
127,MSC07,MSC01,motor,0.6649999999999999,20
128,MSC07,MSC01,mem,0.505,20
129,MSC07,MSC02,mixed,0.7549999999999999,20
130,MSC07,MSC02,motor,0.6199999999999999,20
131,MSC07,MSC02,mem,0.675,20
132,MSC07,MSC03,mixed,0.495,20
133,MSC07,MSC03,motor,0.565,20
134,MSC07,MSC03,mem,0.5499999999999999,20
135,MSC07,MSC04,mixed,0.5399999999999998,20
136,MSC07,MSC04,motor,0.8450000000000001,20
137,MSC07,MSC04,mem,0.625,20
138,MSC07,MSC05,mixed,0.3650000000000001,20
139,MSC07,MSC05,motor,0.7050000000000001,20
140,MSC07,MSC05,mem,0.355,20
141,MSC07,MSC06,mixed,0.6650000000000001,20
142,MSC07,MSC06,motor,0.675,20
143,MSC07,MSC06,mem,0.59,20
144,MSC07,MSC10,mixed,0.6049999999999999,20
145,MSC07,MSC10,motor,0.72,20
146,MSC07,MSC10,mem,0.8649999999999999,20
147,MSC10,MSC01,mixed,0.5349999999999999,20
148,MSC10,MSC01,motor,0.8399999999999999,20
149,MSC10,MSC01,mem,0.7350000000000001,20
150,MSC10,MSC02,mixed,0.53,20
151,MSC10,MSC02,motor,0.5399999999999999,20
152,MSC10,MSC02,mem,0.6399999999999999,20
153,MSC10,MSC03,mixed,0.48,20
154,MSC10,MSC03,motor,0.55,20
155,MSC10,MSC03,mem,0.78,20
156,MSC10,MSC04,mixed,0.585,20
157,MSC10,MSC04,motor,0.6900000000000002,20
158,MSC10,MSC04,mem,0.635,20
159,MSC10,MSC05,mixed,0.445,20
160,MSC10,MSC05,motor,0.38,20
161,MSC10,MSC05,mem,0.51,20
162,MSC10,MSC06,mixed,0.5549999999999999,20
163,MSC10,MSC06,motor,0.57,20
164,MSC10,MSC06,mem,0.6950000000000001,20
165,MSC10,MSC07,mixed,0.54,20
166,MSC10,MSC07,motor,0.7000000000000001,20
167,MSC10,MSC07,mem,0.515,20
0,MSC01,MSC02,mixed,0.6049999999999999,30
1,MSC01,MSC02,motor,0.64,30
2,MSC01,MSC02,mem,0.7899999999999998,30
3,MSC01,MSC03,mixed,0.7,30
4,MSC01,MSC03,motor,0.4,30
5,MSC01,MSC03,mem,0.6649999999999999,30
6,MSC01,MSC04,mixed,0.335,30
7,MSC01,MSC04,motor,0.4350000000000001,30
8,MSC01,MSC04,mem,0.6700000000000002,30
9,MSC01,MSC05,mixed,0.595,30
10,MSC01,MSC05,motor,0.505,30
11,MSC01,MSC05,mem,0.8149999999999998,30
12,MSC01,MSC06,mixed,0.41,30
13,MSC01,MSC06,motor,0.5,30
14,MSC01,MSC06,mem,0.515,30
15,MSC01,MSC07,mixed,0.515,30
16,MSC01,MSC07,motor,0.465,30
17,MSC01,MSC07,mem,0.7,30
18,MSC01,MSC10,mixed,0.4999999999999999,30
19,MSC01,MSC10,motor,0.5,30
20,MSC01,MSC10,mem,0.575,30
21,MSC02,MSC01,mixed,0.585,30
22,MSC02,MSC01,motor,0.615,30
23,MSC02,MSC01,mem,0.71,30
24,MSC02,MSC03,mixed,0.5199999999999999,30
25,MSC02,MSC03,motor,0.5950000000000001,30
26,MSC02,MSC03,mem,0.7250000000000001,30
27,MSC02,MSC04,mixed,0.605,30
28,MSC02,MSC04,motor,0.75,30
29,MSC02,MSC04,mem,0.525,30
30,MSC02,MSC05,mixed,0.4900000000000001,30
31,MSC02,MSC05,motor,0.8249999999999998,30
32,MSC02,MSC05,mem,0.8549999999999999,30
33,MSC02,MSC06,mixed,0.505,30
34,MSC02,MSC06,motor,0.375,30
35,MSC02,MSC06,mem,0.64,30
36,MSC02,MSC07,mixed,0.5499999999999999,30
37,MSC02,MSC07,motor,0.7050000000000001,30
38,MSC02,MSC07,mem,0.82,30
39,MSC02,MSC10,mixed,0.5449999999999999,30
40,MSC02,MSC10,motor,0.725,30
41,MSC02,MSC10,mem,0.73,30
42,MSC03,MSC01,mixed,0.61,30
43,MSC03,MSC01,motor,0.35000000000000003,30
44,MSC03,MSC01,mem,0.4300000000000001,30
45,MSC03,MSC02,mixed,0.6600000000000001,30
46,MSC03,MSC02,motor,0.30500000000000005,30
47,MSC03,MSC02,mem,0.845,30
48,MSC03,MSC04,mixed,0.525,30
49,MSC03,MSC04,motor,0.495,30
50,MSC03,MSC04,mem,0.595,30
51,MSC03,MSC05,mixed,0.5349999999999999,30
52,MSC03,MSC05,motor,0.585,30
53,MSC03,MSC05,mem,0.85,30
54,MSC03,MSC06,mixed,0.5599999999999999,30
55,MSC03,MSC06,motor,0.5849999999999999,30
56,MSC03,MSC06,mem,0.7699999999999999,30
57,MSC03,MSC07,mixed,0.4350000000000001,30
58,MSC03,MSC07,motor,0.465,30
59,MSC03,MSC07,mem,0.8099999999999999,30
60,MSC03,MSC10,mixed,0.7300000000000001,30
61,MSC03,MSC10,motor,0.4050000000000001,30
62,MSC03,MSC10,mem,0.7550000000000001,30
63,MSC04,MSC01,mixed,0.35000000000000003,30
64,MSC04,MSC01,motor,0.6450000000000001,30
65,MSC04,MSC01,mem,0.7200000000000001,30
66,MSC04,MSC02,mixed,0.5199999999999999,30
67,MSC04,MSC02,motor,0.76,30
68,MSC04,MSC02,mem,0.875,30
69,MSC04,MSC03,mixed,0.5549999999999999,30
70,MSC04,MSC03,motor,0.565,30
71,MSC04,MSC03,mem,0.7749999999999999,30
72,MSC04,MSC05,mixed,0.6,30
73,MSC04,MSC05,motor,0.755,30
74,MSC04,MSC05,mem,0.8550000000000001,30
75,MSC04,MSC06,mixed,0.645,30
76,MSC04,MSC06,motor,0.5,30
77,MSC04,MSC06,mem,0.63,30
78,MSC04,MSC07,mixed,0.685,30
79,MSC04,MSC07,motor,0.68,30
80,MSC04,MSC07,mem,0.57,30
81,MSC04,MSC10,mixed,0.605,30
82,MSC04,MSC10,motor,0.7000000000000001,30
83,MSC04,MSC10,mem,0.6900000000000001,30
84,MSC05,MSC01,mixed,0.5,30
85,MSC05,MSC01,motor,0.465,30
86,MSC05,MSC01,mem,0.505,30
87,MSC05,MSC02,mixed,0.39,30
88,MSC05,MSC02,motor,0.725,30
89,MSC05,MSC02,mem,0.5850000000000001,30
90,MSC05,MSC03,mixed,0.47,30
91,MSC05,MSC03,motor,0.5449999999999999,30
92,MSC05,MSC03,mem,0.85,30
93,MSC05,MSC04,mixed,0.5199999999999999,30
94,MSC05,MSC04,motor,0.4300000000000001,30
95,MSC05,MSC04,mem,0.5,30
96,MSC05,MSC06,mixed,0.5000000000000001,30
97,MSC05,MSC06,motor,0.5349999999999999,30
98,MSC05,MSC06,mem,0.71,30
99,MSC05,MSC07,mixed,0.5,30
100,MSC05,MSC07,motor,0.415,30
101,MSC05,MSC07,mem,0.5999999999999999,30
102,MSC05,MSC10,mixed,0.5850000000000001,30
103,MSC05,MSC10,motor,0.6500000000000001,30
104,MSC05,MSC10,mem,0.565,30
105,MSC06,MSC01,mixed,0.625,30
106,MSC06,MSC01,motor,0.59,30
107,MSC06,MSC01,mem,0.525,30
108,MSC06,MSC02,mixed,0.5549999999999999,30
109,MSC06,MSC02,motor,0.465,30
110,MSC06,MSC02,mem,0.795,30
111,MSC06,MSC03,mixed,0.51,30
112,MSC06,MSC03,motor,0.53,30
113,MSC06,MSC03,mem,0.7049999999999998,30
114,MSC06,MSC04,mixed,0.5349999999999999,30
115,MSC06,MSC04,motor,0.57,30
116,MSC06,MSC04,mem,0.525,30
117,MSC06,MSC05,mixed,0.5,30
118,MSC06,MSC05,motor,0.465,30
119,MSC06,MSC05,mem,0.8049999999999999,30
120,MSC06,MSC07,mixed,0.615,30
121,MSC06,MSC07,motor,0.39,30
122,MSC06,MSC07,mem,0.7250000000000001,30
123,MSC06,MSC10,mixed,0.5999999999999999,30
124,MSC06,MSC10,motor,0.48,30
125,MSC06,MSC10,mem,0.77,30
126,MSC07,MSC01,mixed,0.525,30
127,MSC07,MSC01,motor,0.465,30
128,MSC07,MSC01,mem,0.7300000000000001,30
129,MSC07,MSC02,mixed,0.53,30
130,MSC07,MSC02,motor,0.625,30
131,MSC07,MSC02,mem,0.89,30
132,MSC07,MSC03,mixed,0.45,30
133,MSC07,MSC03,motor,0.67,30
134,MSC07,MSC03,mem,0.5449999999999999,30
135,MSC07,MSC04,mixed,0.595,30
136,MSC07,MSC04,motor,0.5,30
137,MSC07,MSC04,mem,0.5,30
138,MSC07,MSC05,mixed,0.5,30
139,MSC07,MSC05,motor,0.24,30
140,MSC07,MSC05,mem,0.5199999999999999,30
141,MSC07,MSC06,mixed,0.62,30
142,MSC07,MSC06,motor,0.475,30
143,MSC07,MSC06,mem,0.6299999999999999,30
144,MSC07,MSC10,mixed,0.465,30
145,MSC07,MSC10,motor,0.6299999999999999,30
146,MSC07,MSC10,mem,0.8299999999999998,30
147,MSC10,MSC01,mixed,0.28,30
148,MSC10,MSC01,motor,0.52,30
149,MSC10,MSC01,mem,0.505,30
150,MSC10,MSC02,mixed,0.62,30
151,MSC10,MSC02,motor,0.5549999999999999,30
152,MSC10,MSC02,mem,0.79,30
153,MSC10,MSC03,mixed,0.4900000000000001,30
154,MSC10,MSC03,motor,0.5499999999999999,30
155,MSC10,MSC03,mem,0.6700000000000002,30
156,MSC10,MSC04,mixed,0.61,30
157,MSC10,MSC04,motor,0.705,30
158,MSC10,MSC04,mem,0.635,30
159,MSC10,MSC05,mixed,0.6900000000000001,30
160,MSC10,MSC05,motor,0.6900000000000002,30
161,MSC10,MSC05,mem,0.8299999999999998,30
162,MSC10,MSC06,mixed,0.4300000000000001,30
163,MSC10,MSC06,motor,0.5399999999999999,30
164,MSC10,MSC06,mem,0.585,30
165,MSC10,MSC07,mixed,0.365,30
166,MSC10,MSC07,motor,0.59,30
167,MSC10,MSC07,mem,0.7949999999999999,30
0,MSC01,MSC02,mixed,0.745,40
1,MSC01,MSC02,motor,0.58,40
2,MSC01,MSC02,mem,0.71,40
3,MSC01,MSC03,mixed,0.415,40
4,MSC01,MSC03,motor,0.635,40
5,MSC01,MSC03,mem,0.62,40
6,MSC01,MSC04,mixed,0.5249999999999999,40
7,MSC01,MSC04,motor,0.5549999999999999,40
8,MSC01,MSC04,mem,0.5199999999999999,40
9,MSC01,MSC05,mixed,0.52,40
10,MSC01,MSC05,motor,0.6449999999999999,40
11,MSC01,MSC05,mem,0.43,40
12,MSC01,MSC06,mixed,0.5399999999999999,40
