,train_task,test_task,train_sub,test_sub,acc
66,mixed,motor,MSC02,MSC06,0.55
67,mixed,mem,MSC02,MSC06,0.595
68,motor,mixed,MSC02,MSC06,0.49000000000000005
69,motor,mem,MSC02,MSC06,0.45000000000000007
70,mem,mixed,MSC02,MSC06,0.5549999999999999
71,mem,motor,MSC02,MSC06,0.465
72,mixed,motor,MSC02,MSC07,0.635
73,mixed,mem,MSC02,MSC07,0.495
74,motor,mixed,MSC02,MSC07,0.545
75,motor,mem,MSC02,MSC07,0.5549999999999999
76,mem,mixed,MSC02,MSC07,0.515
77,mem,motor,MSC02,MSC07,0.565
78,mixed,motor,MSC02,MSC10,0.5650000000000001
79,mixed,mem,MSC02,MSC10,0.58
80,motor,mixed,MSC02,MSC10,0.635
81,motor,mem,MSC02,MSC10,0.5999999999999999
82,mem,mixed,MSC02,MSC10,0.6
83,mem,motor,MSC02,MSC10,0.5250000000000001
84,mixed,motor,MSC03,MSC01,0.5549999999999999
85,mixed,mem,MSC03,MSC01,0.5549999999999999
86,motor,mixed,MSC03,MSC01,0.45
87,motor,mem,MSC03,MSC01,0.35
88,mem,mixed,MSC03,MSC01,0.38499999999999995
89,mem,motor,MSC03,MSC01,0.44000000000000006
90,mixed,motor,MSC03,MSC02,0.24499999999999997
91,mixed,mem,MSC03,MSC02,0.4050000000000001
92,motor,mixed,MSC03,MSC02,0.475
93,motor,mem,MSC03,MSC02,0.34500000000000003
94,mem,mixed,MSC03,MSC02,0.5
95,mem,motor,MSC03,MSC02,0.51
96,mixed,motor,MSC03,MSC04,0.6100000000000001
97,mixed,mem,MSC03,MSC04,0.7350000000000001
98,motor,mixed,MSC03,MSC04,0.7350000000000001
99,motor,mem,MSC03,MSC04,0.54
100,mem,mixed,MSC03,MSC04,0.5
101,mem,motor,MSC03,MSC04,0.5
102,mixed,motor,MSC03,MSC05,0.71
103,mixed,mem,MSC03,MSC05,0.595
104,motor,mixed,MSC03,MSC05,0.53
105,motor,mem,MSC03,MSC05,0.53
106,mem,mixed,MSC03,MSC05,0.5
107,mem,motor,MSC03,MSC05,0.5
108,mixed,motor,MSC03,MSC06,0.5999999999999999
109,mixed,mem,MSC03,MSC06,0.585
110,motor,mixed,MSC03,MSC06,0.48500000000000004
111,motor,mem,MSC03,MSC06,0.5
112,mem,mixed,MSC03,MSC06,0.52
113,mem,motor,MSC03,MSC06,0.53
114,mixed,motor,MSC03,MSC07,0.495
115,mixed,mem,MSC03,MSC07,0.5449999999999999
116,motor,mixed,MSC03,MSC07,0.48
117,motor,mem,MSC03,MSC07,0.52
118,mem,mixed,MSC03,MSC07,0.5149999999999999
119,mem,motor,MSC03,MSC07,0.5900000000000001
120,mixed,motor,MSC03,MSC10,0.665
121,mixed,mem,MSC03,MSC10,0.55
122,motor,mixed,MSC03,MSC10,0.565
123,motor,mem,MSC03,MSC10,0.54
124,mem,mixed,MSC03,MSC10,0.5
125,mem,motor,MSC03,MSC10,0.5
126,mixed,motor,MSC04,MSC01,0.5
127,mixed,mem,MSC04,MSC01,0.5
128,motor,mixed,MSC04,MSC01,0.5
129,motor,mem,MSC04,MSC01,0.5
130,mem,mixed,MSC04,MSC01,0.6399999999999999
131,mem,motor,MSC04,MSC01,0.5549999999999999
132,mixed,motor,MSC04,MSC02,0.495
133,mixed,mem,MSC04,MSC02,0.5
134,motor,mixed,MSC04,MSC02,0.575
135,motor,mem,MSC04,MSC02,0.41000000000000003
136,mem,mixed,MSC04,MSC02,0.47000000000000003
137,mem,motor,MSC04,MSC02,0.2899999999999999
138,mixed,motor,MSC04,MSC03,0.5149999999999999
139,mixed,mem,MSC04,MSC03,0.45500000000000007
140,motor,mixed,MSC04,MSC03,0.5
141,motor,mem,MSC04,MSC03,0.5
142,mem,mixed,MSC04,MSC03,0.6650000000000001
143,mem,motor,MSC04,MSC03,0.5999999999999999
144,mixed,motor,MSC04,MSC05,0.595
145,mixed,mem,MSC04,MSC05,0.6450000000000001
146,motor,mixed,MSC04,MSC05,0.595
147,motor,mem,MSC04,MSC05,0.63
148,mem,mixed,MSC04,MSC05,0.5
149,mem,motor,MSC04,MSC05,0.5499999999999999
150,mixed,motor,MSC04,MSC06,0.505
151,mixed,mem,MSC04,MSC06,0.505
152,motor,mixed,MSC04,MSC06,0.5
153,motor,mem,MSC04,MSC06,0.5
154,mem,mixed,MSC04,MSC06,0.5599999999999999
155,mem,motor,MSC04,MSC06,0.6049999999999999
156,mixed,motor,MSC04,MSC07,0.5349999999999999
157,mixed,mem,MSC04,MSC07,0.51
158,motor,mixed,MSC04,MSC07,0.5549999999999999
159,motor,mem,MSC04,MSC07,0.5499999999999999
160,mem,mixed,MSC04,MSC07,0.5499999999999999
161,mem,motor,MSC04,MSC07,0.5599999999999998
162,mixed,motor,MSC04,MSC10,0.5199999999999999
163,mixed,mem,MSC04,MSC10,0.4
164,motor,mixed,MSC04,MSC10,0.66
165,motor,mem,MSC04,MSC10,0.595
166,mem,mixed,MSC04,MSC10,0.7300000000000001
167,mem,motor,MSC04,MSC10,0.7100000000000001
168,mixed,motor,MSC05,MSC01,0.57
169,mixed,mem,MSC05,MSC01,0.62
170,motor,mixed,MSC05,MSC01,0.6049999999999999
171,motor,mem,MSC05,MSC01,0.64
172,mem,mixed,MSC05,MSC01,0.655
173,mem,motor,MSC05,MSC01,0.5900000000000001
174,mixed,motor,MSC05,MSC02,0.43
175,mixed,mem,MSC05,MSC02,0.5
176,motor,mixed,MSC05,MSC02,0.65
177,motor,mem,MSC05,MSC02,0.6399999999999999
178,mem,mixed,MSC05,MSC02,0.475
179,mem,motor,MSC05,MSC02,0.3950000000000001
180,mixed,motor,MSC05,MSC03,0.41500000000000004
181,mixed,mem,MSC05,MSC03,0.5
182,motor,mixed,MSC05,MSC03,0.55
183,motor,mem,MSC05,MSC03,0.45
184,mem,mixed,MSC05,MSC03,0.5
185,mem,motor,MSC05,MSC03,0.5
186,mixed,motor,MSC05,MSC04,0.67
187,mixed,mem,MSC05,MSC04,0.765
188,motor,mixed,MSC05,MSC04,0.595
189,motor,mem,MSC05,MSC04,0.5149999999999999
190,mem,mixed,MSC05,MSC04,0.6900000000000002
191,mem,motor,MSC05,MSC04,0.675
192,mixed,motor,MSC05,MSC06,0.51
193,mixed,mem,MSC05,MSC06,0.5599999999999999
