train_task,test_task,train_sub,test_sub,acc
mem,mixed,MSC04,MSC10,0.48
mem,motor,MSC04,MSC10,0.6900000000000002
mixed,motor,MSC05,MSC01,0.6850000000000002
mixed,mem,MSC05,MSC01,0.395
motor,mixed,MSC05,MSC01,0.5349999999999999
motor,mem,MSC05,MSC01,0.48500000000000004
mem,mixed,MSC05,MSC01,0.57
mem,motor,MSC05,MSC01,0.48500000000000004
mixed,motor,MSC05,MSC02,0.47000000000000003
mixed,mem,MSC05,MSC02,0.495
motor,mixed,MSC05,MSC02,0.575
motor,mem,MSC05,MSC02,0.5
mem,mixed,MSC05,MSC02,0.525
mem,motor,MSC05,MSC02,0.6599999999999999
mixed,motor,MSC05,MSC03,0.6
mixed,mem,MSC05,MSC03,0.4
motor,mixed,MSC05,MSC03,0.48500000000000004
motor,mem,MSC05,MSC03,0.51
mem,mixed,MSC05,MSC03,0.595
mem,motor,MSC05,MSC03,0.49000000000000005
mixed,motor,MSC05,MSC04,0.475
mixed,mem,MSC05,MSC04,0.5900000000000001
motor,mixed,MSC05,MSC04,0.5499999999999999
motor,mem,MSC05,MSC04,0.525
mem,mixed,MSC05,MSC04,0.585
mem,motor,MSC05,MSC04,0.46499999999999997
mixed,motor,MSC05,MSC06,0.5
mixed,mem,MSC05,MSC06,0.5599999999999999
motor,mixed,MSC05,MSC06,0.5249999999999999
motor,mem,MSC05,MSC06,0.505
mem,mixed,MSC05,MSC06,0.43499999999999994
mem,motor,MSC05,MSC06,0.5549999999999999
mixed,motor,MSC05,MSC07,0.4600000000000001
mixed,mem,MSC05,MSC07,0.465
motor,mixed,MSC05,MSC07,0.43500000000000005
motor,mem,MSC05,MSC07,0.51
mem,mixed,MSC05,MSC07,0.33999999999999997
mem,motor,MSC05,MSC07,0.5399999999999999
mixed,motor,MSC05,MSC10,0.5
mixed,mem,MSC05,MSC10,0.425
motor,mixed,MSC05,MSC10,0.5199999999999999
motor,mem,MSC05,MSC10,0.615
mem,mixed,MSC05,MSC10,0.5
mem,motor,MSC05,MSC10,0.55
mixed,motor,MSC06,MSC01,0.54
mixed,mem,MSC06,MSC01,0.58
motor,mixed,MSC06,MSC01,0.52
motor,mem,MSC06,MSC01,0.51
mem,mixed,MSC06,MSC01,0.63
mem,motor,MSC06,MSC01,0.82
mixed,motor,MSC06,MSC02,0.525
mixed,mem,MSC06,MSC02,0.4999999999999999
motor,mixed,MSC06,MSC02,0.485
motor,mem,MSC06,MSC02,0.5
mem,mixed,MSC06,MSC02,0.525
mem,motor,MSC06,MSC02,0.5900000000000001
mixed,motor,MSC06,MSC03,0.505
mixed,mem,MSC06,MSC03,0.495
motor,mixed,MSC06,MSC03,0.5
motor,mem,MSC06,MSC03,0.5
mem,mixed,MSC06,MSC03,0.445
mem,motor,MSC06,MSC03,0.635
mixed,motor,MSC06,MSC04,0.5900000000000001
mixed,mem,MSC06,MSC04,0.645
motor,mixed,MSC06,MSC04,0.495
motor,mem,MSC06,MSC04,0.485
mem,mixed,MSC06,MSC04,0.43499999999999994
mem,motor,MSC06,MSC04,0.38
mixed,motor,MSC06,MSC05,0.48500000000000004
mixed,mem,MSC06,MSC05,0.575
motor,mixed,MSC06,MSC05,0.51
motor,mem,MSC06,MSC05,0.505
mem,mixed,MSC06,MSC05,0.5449999999999999
mem,motor,MSC06,MSC05,0.7100000000000001
mixed,motor,MSC06,MSC07,0.505
mixed,mem,MSC06,MSC07,0.68
motor,mixed,MSC06,MSC07,0.5
motor,mem,MSC06,MSC07,0.515
mem,mixed,MSC06,MSC07,0.38500000000000006
mem,motor,MSC06,MSC07,0.5050000000000001
mixed,motor,MSC06,MSC10,0.38
mixed,mem,MSC06,MSC10,0.475
motor,mixed,MSC06,MSC10,0.49000000000000005
motor,mem,MSC06,MSC10,0.495
mem,mixed,MSC06,MSC10,0.45500000000000007
mem,motor,MSC06,MSC10,0.61
mixed,motor,MSC07,MSC01,0.575
mixed,mem,MSC07,MSC01,0.615
motor,mixed,MSC07,MSC01,0.505
motor,mem,MSC07,MSC01,0.505
mem,mixed,MSC07,MSC01,0.465
mem,motor,MSC07,MSC01,0.5399999999999999
mixed,motor,MSC07,MSC02,0.4250000000000001
mixed,mem,MSC07,MSC02,0.45499999999999996
motor,mixed,MSC07,MSC02,0.5
motor,mem,MSC07,MSC02,0.5
mem,mixed,MSC07,MSC02,0.49000000000000005
mem,motor,MSC07,MSC02,0.5549999999999999
mixed,motor,MSC07,MSC03,0.5700000000000001
mixed,mem,MSC07,MSC03,0.54
motor,mixed,MSC07,MSC03,0.505
motor,mem,MSC07,MSC03,0.505
mem,mixed,MSC07,MSC03,0.575
mem,motor,MSC07,MSC03,0.7000000000000001
mixed,motor,MSC07,MSC04,0.43000000000000005
mixed,mem,MSC07,MSC04,0.545
motor,mixed,MSC07,MSC04,0.495
motor,mem,MSC07,MSC04,0.495
mem,mixed,MSC07,MSC04,0.5549999999999999
mem,motor,MSC07,MSC04,0.38
mixed,motor,MSC07,MSC05,0.53
mixed,mem,MSC07,MSC05,0.6799999999999999
motor,mixed,MSC07,MSC05,0.51
motor,mem,MSC07,MSC05,0.495
mem,mixed,MSC07,MSC05,0.45000000000000007
mem,motor,MSC07,MSC05,0.615
mixed,motor,MSC07,MSC06,0.57
mixed,mem,MSC07,MSC06,0.5549999999999999
motor,mixed,MSC07,MSC06,0.515
motor,mem,MSC07,MSC06,0.495
mem,mixed,MSC07,MSC06,0.545
mem,motor,MSC07,MSC06,0.51
mixed,motor,MSC07,MSC10,0.5050000000000001
mixed,mem,MSC07,MSC10,0.425
motor,mixed,MSC07,MSC10,0.495
motor,mem,MSC07,MSC10,0.5
mem,mixed,MSC07,MSC10,0.395
mem,motor,MSC07,MSC10,0.4600000000000001
mixed,motor,MSC10,MSC01,0.515
mixed,mem,MSC10,MSC01,0.4250000000000001
motor,mixed,MSC10,MSC01,0.465
motor,mem,MSC10,MSC01,0.45000000000000007
mem,mixed,MSC10,MSC01,0.655
mem,motor,MSC10,MSC01,0.67
mixed,motor,MSC10,MSC02,0.44000000000000006
mixed,mem,MSC10,MSC02,0.475
motor,mixed,MSC10,MSC02,0.6250000000000001
motor,mem,MSC10,MSC02,0.5249999999999999
mem,mixed,MSC10,MSC02,0.6000000000000001
mem,motor,MSC10,MSC02,0.5899999999999999
mixed,motor,MSC10,MSC03,0.605
mixed,mem,MSC10,MSC03,0.5399999999999999
motor,mixed,MSC10,MSC03,0.41999999999999993
motor,mem,MSC10,MSC03,0.47000000000000003
mem,mixed,MSC10,MSC03,0.43499999999999994
mem,motor,MSC10,MSC03,0.49000000000000005
mixed,motor,MSC10,MSC04,0.495
mixed,mem,MSC10,MSC04,0.43999999999999995
motor,mixed,MSC10,MSC04,0.505
motor,mem,MSC10,MSC04,0.425
mem,mixed,MSC10,MSC04,0.53
mem,motor,MSC10,MSC04,0.5
mixed,motor,MSC10,MSC05,0.53
mixed,mem,MSC10,MSC05,0.5
motor,mixed,MSC10,MSC05,0.625
motor,mem,MSC10,MSC05,0.515
mem,mixed,MSC10,MSC05,0.51
mem,motor,MSC10,MSC05,0.485
mixed,motor,MSC10,MSC06,0.43000000000000005
mixed,mem,MSC10,MSC06,0.46500000000000014
motor,mixed,MSC10,MSC06,0.535
motor,mem,MSC10,MSC06,0.51
mem,mixed,MSC10,MSC06,0.525
mem,motor,MSC10,MSC06,0.5900000000000001
mixed,motor,MSC10,MSC07,0.5399999999999999
mixed,mem,MSC10,MSC07,0.4400000000000001
motor,mixed,MSC10,MSC07,0.51
motor,mem,MSC10,MSC07,0.575
mem,mixed,MSC10,MSC07,0.5599999999999999
mem,motor,MSC10,MSC07,0.5549999999999999
