train_task,test_task,sub,acc,features,Null_Network
glass,mem,MSC02,0.595,14808,unassign
motor,semantic,MSC02,0.51,14808,unassign
motor,glass,MSC02,0.505,14808,unassign
motor,mem,MSC02,0.5,14808,unassign
mem,semantic,MSC02,0.7999999999999999,14808,unassign
mem,glass,MSC02,0.86,14808,unassign
mem,motor,MSC02,0.7899999999999999,14808,unassign
semantic,glass,MSC03,0.7200000000000001,14808,unassign
semantic,motor,MSC03,0.755,14808,unassign
semantic,mem,MSC03,0.6599999999999999,14808,unassign
glass,semantic,MSC03,0.7799999999999999,14808,unassign
glass,motor,MSC03,0.9800000000000001,14808,unassign
glass,mem,MSC03,0.6700000000000002,14808,unassign
motor,semantic,MSC03,0.5549999999999999,14808,unassign
motor,glass,MSC03,0.8300000000000001,14808,unassign
motor,mem,MSC03,0.6799999999999999,14808,unassign
mem,semantic,MSC03,0.8399999999999999,14808,unassign
mem,glass,MSC03,0.67,14808,unassign
mem,motor,MSC03,0.915,14808,unassign
semantic,glass,MSC04,0.7899999999999999,14808,unassign
semantic,motor,MSC04,0.5349999999999999,14808,unassign
semantic,mem,MSC04,0.8249999999999998,14808,unassign
glass,semantic,MSC04,0.96,14808,unassign
glass,motor,MSC04,0.925,14808,unassign
glass,mem,MSC04,0.93,14808,unassign
motor,semantic,MSC04,0.7649999999999999,14808,unassign
motor,glass,MSC04,0.875,14808,unassign
motor,mem,MSC04,0.7150000000000001,14808,unassign
mem,semantic,MSC04,0.9400000000000001,14808,unassign
mem,glass,MSC04,0.9949999999999999,14808,unassign
mem,motor,MSC04,0.9399999999999998,14808,unassign
semantic,glass,MSC05,0.9,14808,unassign
semantic,motor,MSC05,0.78,14808,unassign
semantic,mem,MSC05,0.9099999999999999,14808,unassign
glass,semantic,MSC05,0.975,14808,unassign
glass,motor,MSC05,0.9000000000000001,14808,unassign
glass,mem,MSC05,0.9800000000000001,14808,unassign
motor,semantic,MSC05,0.7350000000000001,14808,unassign
motor,glass,MSC05,0.805,14808,unassign
motor,mem,MSC05,0.8699999999999999,14808,unassign
mem,semantic,MSC05,0.9949999999999999,14808,unassign
mem,glass,MSC05,0.9550000000000001,14808,unassign
mem,motor,MSC05,0.975,14808,unassign
semantic,glass,MSC06,0.7777777777777778,14808,unassign
semantic,motor,MSC06,0.7500000000000001,14808,unassign
semantic,mem,MSC06,0.8450000000000001,14808,unassign
glass,semantic,MSC06,0.911111111111111,14808,unassign
glass,motor,MSC06,0.8222222222222221,14808,unassign
glass,mem,MSC06,0.9055555555555556,14808,unassign
motor,semantic,MSC06,0.8049999999999999,14808,unassign
motor,glass,MSC06,0.7,14808,unassign
motor,mem,MSC06,0.8149999999999998,14808,unassign
mem,semantic,MSC06,0.8850000000000001,14808,unassign
mem,glass,MSC06,0.861111111111111,14808,unassign
mem,motor,MSC06,0.975,14808,unassign
semantic,glass,MSC07,0.945,14808,unassign
semantic,motor,MSC07,0.5499999999999999,14808,unassign
semantic,mem,MSC07,0.72,14808,unassign
glass,semantic,MSC07,0.9949999999999999,14808,unassign
glass,motor,MSC07,0.635,14808,unassign
glass,mem,MSC07,0.8299999999999998,14808,unassign
motor,semantic,MSC07,0.5499999999999999,14808,unassign
motor,glass,MSC07,0.55,14808,unassign
motor,mem,MSC07,0.505,14808,unassign
mem,semantic,MSC07,0.9400000000000001,14808,unassign
mem,glass,MSC07,0.99,14808,unassign
mem,motor,MSC07,0.8549999999999999,14808,unassign
semantic,glass,MSC10,0.9200000000000002,14808,unassign
semantic,motor,MSC10,0.7300000000000001,14808,unassign
semantic,mem,MSC10,0.865,14808,unassign
glass,semantic,MSC10,0.9000000000000001,14808,unassign
glass,motor,MSC10,0.8699999999999999,14808,unassign
glass,mem,MSC10,0.8950000000000001,14808,unassign
motor,semantic,MSC10,0.62,14808,unassign
motor,glass,MSC10,0.63,14808,unassign
motor,mem,MSC10,0.755,14808,unassign
mem,semantic,MSC10,0.93,14808,unassign
mem,glass,MSC10,0.8900000000000002,14808,unassign
mem,motor,MSC10,0.945,14808,unassign
semantic,glass,MSC01,0.9000000000000001,14808,unassign
semantic,motor,MSC01,0.8099999999999999,14808,unassign
semantic,mem,MSC01,0.6950000000000001,14808,unassign
glass,semantic,MSC01,0.9549999999999998,14808,unassign
glass,motor,MSC01,0.905,14808,unassign
glass,mem,MSC01,0.8499999999999999,14808,unassign
motor,semantic,MSC01,0.8649999999999999,14808,unassign
motor,glass,MSC01,0.9349999999999999,14808,unassign
motor,mem,MSC01,0.6500000000000001,14808,unassign
mem,semantic,MSC01,1.0,14808,unassign
mem,glass,MSC01,0.9399999999999998,14808,unassign
mem,motor,MSC01,0.9800000000000001,14808,unassign
semantic,glass,MSC02,0.6950000000000001,14808,unassign
semantic,motor,MSC02,0.5,14808,unassign
semantic,mem,MSC02,0.5399999999999999,14808,unassign
glass,semantic,MSC02,0.8950000000000001,14808,unassign
glass,motor,MSC02,0.615,14808,unassign
glass,mem,MSC02,0.5899999999999999,14808,unassign
motor,semantic,MSC02,0.5249999999999999,14808,unassign
motor,glass,MSC02,0.52,14808,unassign
motor,mem,MSC02,0.5,14808,unassign
mem,semantic,MSC02,0.8950000000000001,14808,unassign
mem,glass,MSC02,0.8049999999999999,14808,unassign
mem,motor,MSC02,0.635,14808,unassign
semantic,glass,MSC03,0.7300000000000001,14808,unassign
semantic,motor,MSC03,0.7899999999999999,14808,unassign
semantic,mem,MSC03,0.755,14808,unassign
glass,semantic,MSC03,0.915,14808,unassign
glass,motor,MSC03,0.9850000000000001,14808,unassign
glass,mem,MSC03,0.7050000000000001,14808,unassign
motor,semantic,MSC03,0.5799999999999998,14808,unassign
motor,glass,MSC03,0.64,14808,unassign
motor,mem,MSC03,0.57,14808,unassign
mem,semantic,MSC03,0.8099999999999999,14808,unassign
mem,glass,MSC03,0.6449999999999999,14808,unassign
mem,motor,MSC03,0.8950000000000001,14808,unassign
semantic,glass,MSC04,0.945,14808,unassign
semantic,motor,MSC04,0.51,14808,unassign
semantic,mem,MSC04,0.7999999999999999,14808,unassign
glass,semantic,MSC04,0.99,14808,unassign
glass,motor,MSC04,0.93,14808,unassign
glass,mem,MSC04,0.915,14808,unassign
motor,semantic,MSC04,0.76,14808,unassign
motor,glass,MSC04,0.985,14808,unassign
