train_task,test_task,sub,acc,features
semantic,motor,MSC02,0.5,33245
semantic,mem,MSC02,0.53,33245
glass,semantic,MSC02,0.8400000000000001,33245
glass,motor,MSC02,0.6249999999999999,33245
glass,mem,MSC02,0.7150000000000001,33245
motor,semantic,MSC02,0.51,33245
motor,glass,MSC02,0.505,33245
motor,mem,MSC02,0.5,33245
mem,semantic,MSC02,0.865,33245
mem,glass,MSC02,0.8950000000000001,33245
mem,motor,MSC02,0.64,33245
semantic,glass,MSC03,0.74,33245
semantic,motor,MSC03,0.8049999999999999,33245
semantic,mem,MSC03,0.745,33245
glass,semantic,MSC03,0.9199999999999999,33245
glass,motor,MSC03,0.985,33245
glass,mem,MSC03,0.6800000000000002,33245
motor,semantic,MSC03,0.53,33245
motor,glass,MSC03,0.74,33245
motor,mem,MSC03,0.59,33245
mem,semantic,MSC03,0.7649999999999999,33245
mem,glass,MSC03,0.6500000000000001,33245
mem,motor,MSC03,0.9800000000000001,33245
semantic,glass,MSC04,0.8900000000000002,33245
semantic,motor,MSC04,0.515,33245
semantic,mem,MSC04,0.8800000000000001,33245
glass,semantic,MSC04,0.9800000000000001,33245
glass,motor,MSC04,0.945,33245
glass,mem,MSC04,0.8950000000000001,33245
motor,semantic,MSC04,0.6500000000000001,33245
motor,glass,MSC04,0.89,33245
motor,mem,MSC04,0.8,33245
mem,semantic,MSC04,0.95,33245
mem,glass,MSC04,0.975,33245
mem,motor,MSC04,0.8550000000000001,33245
semantic,glass,MSC05,0.8950000000000001,33245
semantic,motor,MSC05,0.82,33245
semantic,mem,MSC05,0.9650000000000001,33245
glass,semantic,MSC05,0.9549999999999998,33245
glass,motor,MSC05,0.9000000000000001,33245
glass,mem,MSC05,0.99,33245
motor,semantic,MSC05,0.6849999999999999,33245
motor,glass,MSC05,0.7899999999999999,33245
motor,mem,MSC05,0.915,33245
mem,semantic,MSC05,0.885,33245
mem,glass,MSC05,0.8399999999999999,33245
mem,motor,MSC05,1.0,33245
semantic,glass,MSC06,0.7777777777777778,33245
semantic,motor,MSC06,0.725,33245
semantic,mem,MSC06,0.9450000000000001,33245
glass,semantic,MSC06,0.938888888888889,33245
glass,motor,MSC06,0.7555555555555555,33245
glass,mem,MSC06,0.9000000000000001,33245
motor,semantic,MSC06,0.7999999999999999,33245
motor,glass,MSC06,0.6166666666666666,33245
motor,mem,MSC06,0.77,33245
mem,semantic,MSC06,0.9199999999999999,33245
mem,glass,MSC06,0.8277777777777777,33245
mem,motor,MSC06,0.95,33245
semantic,glass,MSC07,0.945,33245
semantic,motor,MSC07,0.5499999999999999,33245
semantic,mem,MSC07,0.7000000000000001,33245
glass,semantic,MSC07,1.0,33245
glass,motor,MSC07,0.6000000000000001,33245
glass,mem,MSC07,0.7949999999999999,33245
motor,semantic,MSC07,0.5499999999999999,33245
