train_task,test_task,sub,acc,features
glass,motor,MSC06,0.5055555555555555,18
glass,mem,MSC06,0.75,18
motor,semantic,MSC06,0.55,18
motor,glass,MSC06,0.5111111111111111,18
motor,mem,MSC06,0.565,18
mem,semantic,MSC06,0.545,18
mem,glass,MSC06,0.7444444444444445,18
mem,motor,MSC06,0.6049999999999999,18
semantic,glass,MSC07,0.775,18
semantic,motor,MSC07,0.615,18
semantic,mem,MSC07,0.725,18
glass,semantic,MSC07,0.7899999999999999,18
glass,motor,MSC07,0.8,18
glass,mem,MSC07,0.7899999999999999,18
motor,semantic,MSC07,0.5649999999999998,18
motor,glass,MSC07,0.67,18
motor,mem,MSC07,0.72,18
mem,semantic,MSC07,0.59,18
mem,glass,MSC07,0.8149999999999998,18
mem,motor,MSC07,0.77,18
semantic,glass,MSC10,0.6399999999999999,18
semantic,motor,MSC10,0.6149999999999999,18
semantic,mem,MSC10,0.7699999999999999,18
glass,semantic,MSC10,0.7150000000000001,18
glass,motor,MSC10,0.58,18
glass,mem,MSC10,0.68,18
motor,semantic,MSC10,0.7050000000000001,18
motor,glass,MSC10,0.75,18
motor,mem,MSC10,0.6499999999999999,18
mem,semantic,MSC10,0.775,18
mem,glass,MSC10,0.755,18
mem,motor,MSC10,0.735,18
semantic,glass,MSC01,0.7699999999999999,92
semantic,motor,MSC01,0.6950000000000001,92
semantic,mem,MSC01,0.57,92
glass,semantic,MSC01,0.7300000000000001,92
glass,motor,MSC01,0.5999999999999999,92
glass,mem,MSC01,0.685,92
motor,semantic,MSC01,0.68,92
motor,glass,MSC01,0.57,92
motor,mem,MSC01,0.6599999999999999,92
mem,semantic,MSC01,0.7050000000000001,92
mem,glass,MSC01,0.78,92
mem,motor,MSC01,0.7200000000000001,92
semantic,glass,MSC02,0.825,92
semantic,motor,MSC02,0.505,92
semantic,mem,MSC02,0.5149999999999999,92
glass,semantic,MSC02,0.85,92
glass,motor,MSC02,0.5999999999999999,92
glass,mem,MSC02,0.565,92
motor,semantic,MSC02,0.6200000000000001,92
motor,glass,MSC02,0.59,92
motor,mem,MSC02,0.5,92
mem,semantic,MSC02,0.72,92
mem,glass,MSC02,0.8099999999999998,92
mem,motor,MSC02,0.645,92
semantic,glass,MSC03,0.745,92
semantic,motor,MSC03,0.665,92
semantic,mem,MSC03,0.72,92
glass,semantic,MSC03,0.76,92
glass,motor,MSC03,0.8450000000000001,92
glass,mem,MSC03,0.6450000000000001,92
motor,semantic,MSC03,0.5700000000000001,92
motor,glass,MSC03,0.835,92
motor,mem,MSC03,0.8200000000000001,92
mem,semantic,MSC03,0.8349999999999997,92
mem,glass,MSC03,0.6299999999999999,92
mem,motor,MSC03,0.76,92
semantic,glass,MSC04,0.7549999999999999,92
semantic,motor,MSC04,0.665,92
semantic,mem,MSC04,0.74,92
glass,semantic,MSC04,0.945,92
glass,motor,MSC04,0.9299999999999999,92
glass,mem,MSC04,0.7699999999999999,92
motor,semantic,MSC04,0.78,92
motor,glass,MSC04,0.805,92
motor,mem,MSC04,0.86,92
mem,semantic,MSC04,0.9400000000000001,92
mem,glass,MSC04,0.825,92
mem,motor,MSC04,0.765,92
semantic,glass,MSC05,0.5999999999999999,92
semantic,motor,MSC05,0.745,92
semantic,mem,MSC05,0.7100000000000001,92
glass,semantic,MSC05,0.785,92
glass,motor,MSC05,0.8799999999999999,92
glass,mem,MSC05,0.95,92
motor,semantic,MSC05,0.6700000000000002,92
motor,glass,MSC05,0.635,92
motor,mem,MSC05,0.8549999999999999,92
mem,semantic,MSC05,0.7799999999999999,92
mem,glass,MSC05,0.7300000000000001,92
mem,motor,MSC05,0.885,92
semantic,glass,MSC06,0.7722222222222223,92
semantic,motor,MSC06,0.63,92
