train_sub,test_sub,cv_acc,acc,var
MSC05,MSC07,0.9875,0.6153571428571427,0.4
MSC05,MSC10,0.9875,0.575,0.4
MSC06,MSC01,0.8875,0.7925000000000001,0.4
MSC06,MSC02,0.95,0.7825,0.4
MSC06,MSC03,0.8875,0.6903571428571429,0.4
MSC06,MSC04,0.9375,0.8775000000000001,0.4
MSC06,MSC05,0.875,0.9025000000000001,0.4
MSC06,MSC07,0.95,0.5789285714285715,0.4
MSC06,MSC10,0.95,0.6050000000000001,0.4
MSC07,MSC01,0.9625,0.76,0.4
MSC07,MSC02,0.95,0.7225,0.4
MSC07,MSC03,0.975,0.6121428571428572,0.4
MSC07,MSC04,0.975,0.7649999999999999,0.4
MSC07,MSC05,0.95,0.805,0.4
MSC07,MSC06,0.925,0.76,0.4
MSC07,MSC10,0.95,0.7,0.4
MSC10,MSC01,0.875,0.53,0.4
MSC10,MSC02,0.8875,0.545,0.4
MSC10,MSC03,0.9,0.6025,0.4
MSC10,MSC04,0.8625,0.6975,0.4
MSC10,MSC05,0.8875,0.6525000000000001,0.4
MSC10,MSC06,0.8875,0.7639285714285714,0.4
MSC10,MSC07,0.9,0.6692857142857143,0.4
MSC01,MSC02,0.9875,0.5974999999999999,0.45
MSC01,MSC03,0.975,0.6207142857142858,0.45
MSC01,MSC04,0.9875,0.7324999999999999,0.45
MSC01,MSC05,0.9875,0.7925000000000001,0.45
MSC01,MSC06,0.95,0.7957142857142857,0.45
MSC01,MSC07,0.975,0.6185714285714285,0.45
MSC01,MSC10,0.9875,0.625,0.45
MSC02,MSC01,0.9875,0.8525,0.45
MSC02,MSC03,0.95,0.7478571428571429,0.45
MSC02,MSC04,0.9,0.8275,0.45
MSC02,MSC05,0.95,0.875,0.45
MSC02,MSC06,0.9375,0.8542857142857144,0.45
MSC02,MSC07,0.975,0.72,0.45
MSC02,MSC10,0.9625,0.7175,0.45
MSC03,MSC01,0.975,0.6825,0.45
MSC03,MSC02,0.95,0.7075,0.45
MSC03,MSC04,0.9625,0.73,0.45
MSC03,MSC05,0.9625,0.8674999999999999,0.45
MSC03,MSC06,0.95,0.6746428571428572,0.45
MSC03,MSC07,0.9375,0.6921428571428572,0.45
MSC03,MSC10,0.9375,0.76,0.45
MSC04,MSC01,0.9625,0.6025,0.45
MSC04,MSC02,0.9875,0.585,0.45
MSC04,MSC03,0.975,0.6353571428571427,0.45
MSC04,MSC05,0.975,0.8649999999999999,0.45
MSC04,MSC06,0.975,0.79,0.45
MSC04,MSC07,0.975,0.5796428571428571,0.45
MSC04,MSC10,0.975,0.6449999999999999,0.45
MSC05,MSC01,0.9875,0.6175,0.45
MSC05,MSC02,0.9875,0.51,0.45
MSC05,MSC03,0.9875,0.6082142857142856,0.45
MSC05,MSC04,0.9875,0.7100000000000001,0.45
MSC05,MSC06,0.9875,0.6635714285714286,0.45
MSC05,MSC07,0.9875,0.609642857142857,0.45
MSC05,MSC10,0.9875,0.5775,0.45
MSC06,MSC01,0.975,0.7975000000000001,0.45
MSC06,MSC02,0.975,0.825,0.45
MSC06,MSC03,0.9875,0.7078571428571427,0.45
MSC06,MSC04,0.9625,0.8924999999999998,0.45
MSC06,MSC05,0.975,0.9225,0.45
MSC06,MSC07,0.975,0.5978571428571429,0.45
MSC06,MSC10,0.9625,0.6475,0.45
MSC07,MSC01,0.9625,0.75,0.45
MSC07,MSC02,0.9625,0.6475000000000001,0.45
MSC07,MSC03,0.975,0.6171428571428571,0.45
MSC07,MSC04,0.95,0.78,0.45
MSC07,MSC05,0.95,0.8324999999999999,0.45
MSC07,MSC06,0.95,0.7825,0.45
MSC07,MSC10,0.9625,0.6925,0.45
MSC10,MSC01,0.8875,0.5499999999999999,0.45
MSC10,MSC02,0.9375,0.5599999999999999,0.45
MSC10,MSC03,0.8625,0.5885714285714285,0.45
MSC10,MSC04,0.8625,0.6900000000000001,0.45
MSC10,MSC05,0.875,0.6775,0.45
MSC10,MSC06,0.875,0.7482142857142857,0.45
MSC10,MSC07,0.875,0.6467857142857143,0.45
MSC01,MSC02,0.9875,0.5575,0.5
MSC01,MSC03,0.9875,0.5967857142857143,0.5
MSC01,MSC04,0.975,0.7175,0.5
MSC01,MSC05,0.9875,0.7275,0.5
MSC01,MSC06,0.975,0.8007142857142856,0.5
MSC01,MSC07,0.975,0.5839285714285714,0.5
MSC01,MSC10,0.9875,0.575,0.5
MSC02,MSC01,0.9875,0.8875,0.5
MSC02,MSC03,0.925,0.7292857142857143,0.5
MSC02,MSC04,0.925,0.85,0.5
MSC02,MSC05,0.975,0.8675,0.5
MSC02,MSC06,0.925,0.8457142857142858,0.5
MSC02,MSC07,0.9875,0.6796428571428571,0.5
MSC02,MSC10,0.95,0.7350000000000001,0.5
MSC03,MSC01,0.975,0.6799999999999999,0.5
MSC03,MSC02,0.975,0.7075,0.5
MSC03,MSC04,0.9375,0.75,0.5
MSC03,MSC05,0.95,0.8625,0.5
MSC03,MSC06,0.95,0.687142857142857,0.5
MSC03,MSC07,0.9375,0.6932142857142857,0.5
MSC03,MSC10,0.95,0.78,0.5
MSC04,MSC01,0.95,0.6075,0.5
MSC04,MSC02,0.9625,0.54,0.5
MSC04,MSC03,0.975,0.6132142857142856,0.5
MSC04,MSC05,0.9875,0.8675,0.5
MSC04,MSC06,0.975,0.7271428571428571,0.5
MSC04,MSC07,0.9625,0.595,0.5
MSC04,MSC10,0.975,0.6425,0.5
MSC05,MSC01,0.9875,0.6125,0.5
MSC05,MSC02,0.9875,0.5125,0.5
MSC05,MSC03,0.9875,0.6360714285714285,0.5
MSC05,MSC04,0.9875,0.7150000000000001,0.5
MSC05,MSC06,0.9875,0.6739285714285714,0.5
MSC05,MSC07,0.9875,0.6307142857142857,0.5
MSC05,MSC10,0.9875,0.6050000000000001,0.5
MSC06,MSC01,0.95,0.795,0.5
MSC06,MSC02,0.975,0.8375,0.5
MSC06,MSC03,0.95,0.7028571428571428,0.5
MSC06,MSC04,0.975,0.8850000000000001,0.5
MSC06,MSC05,0.9875,0.9075000000000001,0.5
MSC06,MSC07,0.95,0.5957142857142858,0.5
MSC06,MSC10,0.9625,0.61,0.5
