train_sub,test_sub,cv_acc,acc,numComponent
MSC03,MSC04,0.95,0.7474999999999999,214
MSC03,MSC05,0.975,0.8625,214
MSC03,MSC06,0.95,0.6660714285714285,214
MSC03,MSC07,0.9625,0.69,214
MSC03,MSC10,0.975,0.765,214
MSC04,MSC01,0.9625,0.6,214
MSC04,MSC02,0.9875,0.5700000000000001,214
MSC04,MSC03,0.9875,0.6303571428571428,214
MSC04,MSC05,0.95,0.8649999999999999,214
MSC04,MSC06,0.9625,0.7564285714285715,214
MSC04,MSC07,0.975,0.5953571428571428,214
MSC04,MSC10,0.9875,0.6325,214
MSC05,MSC01,0.9875,0.6275000000000001,214
MSC05,MSC02,0.9875,0.5075,214
MSC05,MSC03,0.9875,0.6289285714285714,214
MSC05,MSC04,0.9875,0.7275,214
MSC05,MSC06,0.9875,0.6664285714285715,214
MSC05,MSC07,0.9875,0.6178571428571429,214
MSC05,MSC10,0.9875,0.595,214
MSC06,MSC01,0.9375,0.7899999999999998,214
MSC06,MSC02,0.9625,0.825,214
MSC06,MSC03,0.9625,0.7021428571428572,214
MSC06,MSC04,0.9875,0.8975,214
MSC06,MSC05,0.95,0.9025000000000001,214
MSC06,MSC07,0.975,0.6003571428571428,214
MSC06,MSC10,0.9625,0.6300000000000001,214
MSC07,MSC01,0.975,0.75,214
MSC07,MSC02,0.9625,0.6875,214
MSC07,MSC03,0.975,0.6157142857142859,214
MSC07,MSC04,0.95,0.7675,214
MSC07,MSC05,0.9625,0.8300000000000001,214
MSC07,MSC06,0.925,0.7682142857142857,214
MSC07,MSC10,0.95,0.7100000000000001,214
MSC10,MSC01,0.8875,0.5475,214
MSC10,MSC02,0.9125,0.5425000000000001,214
MSC10,MSC03,0.9,0.6024999999999999,214
MSC10,MSC04,0.9375,0.72,214
MSC10,MSC05,0.9,0.675,214
MSC10,MSC06,0.875,0.7714285714285715,214
MSC10,MSC07,0.8875,0.6703571428571429,214
MSC01,MSC02,0.9625,0.585,243
MSC01,MSC03,0.95,0.6139285714285714,243
MSC01,MSC04,0.9875,0.73,243
MSC01,MSC05,0.9875,0.7424999999999999,243
MSC01,MSC06,0.975,0.8067857142857143,243
MSC01,MSC07,0.975,0.5914285714285714,243
MSC01,MSC10,0.9625,0.5900000000000001,243
MSC02,MSC01,0.975,0.885,243
MSC02,MSC03,0.925,0.7314285714285713,243
MSC02,MSC04,0.95,0.8575000000000002,243
MSC02,MSC05,0.9875,0.8800000000000001,243
MSC02,MSC06,0.975,0.8496428571428571,243
MSC02,MSC07,0.95,0.6682142857142856,243
MSC02,MSC10,0.975,0.74,243
MSC03,MSC01,0.9625,0.685,243
MSC03,MSC02,0.9375,0.7175,243
MSC03,MSC04,0.95,0.7375,243
MSC03,MSC05,0.95,0.8450000000000001,243
MSC03,MSC06,0.95,0.687857142857143,243
MSC03,MSC07,0.975,0.7042857142857143,243
MSC03,MSC10,0.925,0.7725000000000001,243
MSC04,MSC01,0.9875,0.575,243
MSC04,MSC02,0.975,0.5675000000000001,243
MSC04,MSC03,0.95,0.59,243
MSC04,MSC05,0.95,0.8675,243
MSC04,MSC06,0.975,0.7553571428571428,243
MSC04,MSC07,0.9875,0.5964285714285713,243
MSC04,MSC10,0.975,0.64,243
MSC05,MSC01,0.9875,0.6275000000000001,243
MSC05,MSC02,0.9875,0.51,243
MSC05,MSC03,0.9875,0.6296428571428571,243
MSC05,MSC04,0.9875,0.735,243
MSC05,MSC06,0.9875,0.6735714285714286,243
MSC05,MSC07,0.9875,0.6175,243
MSC05,MSC10,0.9875,0.5974999999999999,243
MSC06,MSC01,0.9625,0.78,243
MSC06,MSC02,0.9875,0.8425,243
MSC06,MSC03,0.95,0.7139285714285714,243
MSC06,MSC04,0.9875,0.8924999999999998,243
MSC06,MSC05,0.9625,0.8800000000000001,243
MSC06,MSC07,0.975,0.5957142857142858,243
MSC06,MSC10,0.9625,0.6125,243
MSC07,MSC01,0.9625,0.7475,243
MSC07,MSC02,0.95,0.6875,243
MSC07,MSC03,0.9625,0.6174999999999999,243
MSC07,MSC04,0.975,0.78,243
MSC07,MSC05,0.9625,0.8325000000000001,243
MSC07,MSC06,0.9375,0.7689285714285713,243
MSC07,MSC10,0.95,0.7024999999999999,243
MSC10,MSC01,0.9125,0.555,243
MSC10,MSC02,0.8875,0.5599999999999999,243
MSC10,MSC03,0.9125,0.5992857142857143,243
MSC10,MSC04,0.925,0.7224999999999999,243
MSC10,MSC05,0.9125,0.68,243
MSC10,MSC06,0.9,0.7707142857142857,243
MSC10,MSC07,0.9,0.6735714285714286,243
MSC01,MSC02,0.975,0.55,275
MSC01,MSC03,0.9875,0.5846428571428571,275
MSC01,MSC04,0.975,0.72,275
MSC01,MSC05,0.9875,0.7375,275
MSC01,MSC06,0.9625,0.7910714285714286,275
MSC01,MSC07,0.9875,0.6024999999999999,275
MSC01,MSC10,0.95,0.5900000000000001,275
MSC02,MSC01,0.9875,0.8825,275
MSC02,MSC03,0.925,0.7203571428571429,275
MSC02,MSC04,0.975,0.8699999999999999,275
MSC02,MSC05,0.95,0.8675,275
MSC02,MSC06,0.975,0.8635714285714287,275
MSC02,MSC07,0.975,0.67,275
MSC02,MSC10,0.975,0.725,275
MSC03,MSC01,0.9625,0.7175,275
MSC03,MSC02,0.95,0.72,275
MSC03,MSC04,0.95,0.7175,275
MSC03,MSC05,0.95,0.8474999999999999,275
MSC03,MSC06,0.95,0.6985714285714286,275
MSC03,MSC07,0.975,0.7039285714285713,275
MSC03,MSC10,0.975,0.795,275
MSC04,MSC01,0.975,0.5825,275
MSC04,MSC02,0.975,0.5700000000000001,275
MSC04,MSC03,0.95,0.6224999999999999,275
MSC04,MSC05,0.975,0.8699999999999999,275
MSC04,MSC06,0.975,0.7353571428571428,275
MSC04,MSC07,0.95,0.5792857142857143,275
MSC04,MSC10,0.975,0.63,275
MSC05,MSC01,0.9875,0.61,275
MSC05,MSC02,0.9875,0.5125,275
MSC05,MSC03,0.9875,0.6375,275
MSC05,MSC04,0.9875,0.7224999999999999,275
MSC05,MSC06,0.9875,0.6746428571428572,275
MSC05,MSC07,0.9875,0.6199999999999999,275
MSC05,MSC10,0.9875,0.6,275
MSC06,MSC01,0.9625,0.8,275
MSC06,MSC02,0.975,0.8274999999999999,275
MSC06,MSC03,0.95,0.7132142857142858,275
MSC06,MSC04,0.95,0.885,275
MSC06,MSC05,0.975,0.9099999999999999,275
MSC06,MSC07,0.9875,0.5764285714285714,275
MSC06,MSC10,0.975,0.6224999999999999,275
MSC07,MSC01,0.9625,0.7474999999999999,275
MSC07,MSC02,0.95,0.6925,275
MSC07,MSC03,0.975,0.6092857142857143,275
MSC07,MSC04,0.95,0.7725,275
MSC07,MSC05,0.95,0.8150000000000001,275
MSC07,MSC06,0.9625,0.8032142857142857,275
MSC07,MSC10,0.95,0.7125,275
MSC10,MSC01,0.9125,0.55,275
MSC10,MSC02,0.875,0.54,275
MSC10,MSC03,0.9,0.6135714285714284,275
MSC10,MSC04,0.9,0.7175,275
MSC10,MSC05,0.875,0.6725,275
MSC10,MSC06,0.9,0.7778571428571428,275
MSC10,MSC07,0.9125,0.665,275
MSC01,MSC02,0.95,0.5775,313
MSC01,MSC03,0.975,0.6039285714285715,313
MSC01,MSC04,0.9875,0.725,313
MSC01,MSC05,0.95,0.7424999999999999,313
MSC01,MSC06,0.9625,0.8121428571428572,313
MSC01,MSC07,0.95,0.5928571428571429,313
MSC01,MSC10,0.975,0.5599999999999999,313
MSC02,MSC01,0.9875,0.8775000000000001,313
MSC02,MSC03,0.975,0.7078571428571429,313
MSC02,MSC04,0.9875,0.8574999999999999,313
MSC02,MSC05,0.975,0.8625,313
MSC02,MSC06,0.975,0.8724999999999999,313
MSC02,MSC07,0.925,0.6832142857142858,313
MSC02,MSC10,0.975,0.7525,313
MSC03,MSC01,0.9125,0.6924999999999999,313
MSC03,MSC02,0.95,0.72,313
MSC03,MSC04,0.9,0.7475,313
MSC03,MSC05,0.95,0.8825000000000001,313
MSC03,MSC06,0.975,0.6814285714285715,313
MSC03,MSC07,0.95,0.6942857142857142,313
MSC03,MSC10,0.9375,0.785,313
MSC04,MSC01,0.975,0.62,313
MSC04,MSC02,0.9875,0.56,313
MSC04,MSC03,0.975,0.5889285714285715,313
MSC04,MSC05,0.975,0.86,313
MSC04,MSC06,0.9875,0.7503571428571428,313
MSC04,MSC07,0.9625,0.5742857142857142,313
MSC04,MSC10,0.9625,0.6424999999999998,313
