,train_sub,Analysis,acc,Network_A,Network_B
2,MSC03,Same Subject,0.875,fp,fp
3,MSC04,Same Subject,0.9375,fp,fp
4,MSC05,Same Subject,0.9500000000000001,fp,fp
5,MSC06,Same Subject,0.9305555555555555,fp,fp
6,MSC07,Same Subject,0.8611111111111109,fp,fp
7,MSC10,Same Subject,0.8624999999999999,fp,fp
8,MSC01,Different Subject,0.49741514814299626,fp,fp
9,MSC02,Different Subject,0.5327121296425094,fp,fp
10,MSC03,Different Subject,0.6237477251124403,fp,fp
11,MSC04,Different Subject,0.5941559442667037,fp,fp
12,MSC05,Different Subject,0.5214195298372514,fp,fp
13,MSC06,Different Subject,0.6345831852160967,fp,fp
14,MSC07,Different Subject,0.5665954415954416,fp,fp
15,MSC10,Different Subject,0.524096826169611,fp,fp
0,MSC01,Same Subject,0.9375,dan,dan
1,MSC02,Same Subject,0.9000000000000001,dan,dan
2,MSC03,Same Subject,0.875,dan,dan
3,MSC04,Same Subject,0.9500000000000001,dan,dan
4,MSC05,Same Subject,0.9375,dan,dan
5,MSC06,Same Subject,0.9583333333333333,dan,dan
6,MSC07,Same Subject,0.9305555555555555,dan,dan
7,MSC10,Same Subject,0.9124999999999999,dan,dan
8,MSC01,Different Subject,0.49597313024528217,dan,dan
9,MSC02,Different Subject,0.6192465340566606,dan,dan
10,MSC03,Different Subject,0.5725095777113183,dan,dan
11,MSC04,Different Subject,0.518489010989011,dan,dan
12,MSC05,Different Subject,0.48756195808411007,dan,dan
13,MSC06,Different Subject,0.6545464907806681,dan,dan
14,MSC07,Different Subject,0.5310185185185184,dan,dan
15,MSC10,Different Subject,0.5360691102146798,dan,dan
0,MSC01,Same Subject,0.9375,van,van
1,MSC02,Same Subject,0.8250000000000001,van,van
2,MSC03,Same Subject,0.859375,van,van
3,MSC04,Same Subject,0.9000000000000001,van,van
4,MSC05,Same Subject,0.9124999999999999,van,van
5,MSC06,Same Subject,0.8611111111111109,van,van
6,MSC07,Same Subject,0.9027777777777778,van,van
7,MSC10,Same Subject,0.9000000000000001,van,van
8,MSC01,Different Subject,0.5827699726433904,van,van
9,MSC02,Different Subject,0.5930308457365419,van,van
10,MSC03,Different Subject,0.5549516477720592,van,van
11,MSC04,Different Subject,0.5168769416237771,van,van
12,MSC05,Different Subject,0.5911566861408633,van,van
13,MSC06,Different Subject,0.6246597167483243,van,van
14,MSC07,Different Subject,0.5907814407814408,van,van
15,MSC10,Different Subject,0.5639478717485046,van,van
0,MSC01,Same Subject,0.6124999999999999,salience,salience
1,MSC02,Same Subject,0.6,salience,salience
2,MSC03,Same Subject,0.71875,salience,salience
3,MSC04,Same Subject,0.5875,salience,salience
4,MSC05,Same Subject,0.6625,salience,salience
5,MSC06,Same Subject,0.6111111111111113,salience,salience
6,MSC07,Same Subject,0.6944444444444445,salience,salience
7,MSC10,Same Subject,0.65,salience,salience
8,MSC01,Different Subject,0.5341096350906478,salience,salience
9,MSC02,Different Subject,0.5480894422033663,salience,salience
10,MSC03,Different Subject,0.5322810891640005,salience,salience
11,MSC04,Different Subject,0.5571432048963695,salience,salience
12,MSC05,Different Subject,0.5347049311448047,salience,salience
13,MSC06,Different Subject,0.5334449364512655,salience,salience
14,MSC07,Different Subject,0.5565221815221816,salience,salience
15,MSC10,Different Subject,0.537358580238327,salience,salience
0,MSC01,Same Subject,0.9500000000000001,co,co
1,MSC02,Same Subject,0.9500000000000001,co,co
2,MSC03,Same Subject,0.890625,co,co
3,MSC04,Same Subject,0.9000000000000001,co,co
4,MSC05,Same Subject,0.9500000000000001,co,co
5,MSC06,Same Subject,0.875,co,co
6,MSC07,Same Subject,0.9305555555555555,co,co
7,MSC10,Same Subject,0.7999999999999999,co,co
8,MSC01,Different Subject,0.5706682663328232,co,co
9,MSC02,Different Subject,0.5948569573886029,co,co
10,MSC03,Different Subject,0.5579324025130987,co,co
11,MSC04,Different Subject,0.6562509853016182,co,co
12,MSC05,Different Subject,0.5425678119349006,co,co
13,MSC06,Different Subject,0.5908632272556323,co,co
14,MSC07,Different Subject,0.5785002035002035,co,co
15,MSC10,Different Subject,0.508136446886447,co,co
0,MSC01,Same Subject,0.9249999999999999,sm,sm
1,MSC02,Same Subject,0.8875000000000001,sm,sm
2,MSC03,Same Subject,0.921875,sm,sm
3,MSC04,Same Subject,0.9124999999999999,sm,sm
4,MSC05,Same Subject,0.9625000000000001,sm,sm
5,MSC06,Same Subject,0.9027777777777778,sm,sm
6,MSC07,Same Subject,0.875,sm,sm
7,MSC10,Same Subject,0.9000000000000001,sm,sm
8,MSC01,Different Subject,0.5467179603097325,sm,sm
9,MSC02,Different Subject,0.6494722840450688,sm,sm
10,MSC03,Different Subject,0.5624779031622387,sm,sm
11,MSC04,Different Subject,0.5556049751935828,sm,sm
12,MSC05,Different Subject,0.5990682524226829,sm,sm
13,MSC06,Different Subject,0.5864488828096422,sm,sm
14,MSC07,Different Subject,0.6371387871387871,sm,sm
15,MSC10,Different Subject,0.6478843835489405,sm,sm
0,MSC01,Same Subject,0.8125,sm-lat,sm-lat
1,MSC02,Same Subject,0.8875000000000001,sm-lat,sm-lat
2,MSC03,Same Subject,0.71875,sm-lat,sm-lat
3,MSC04,Same Subject,0.6625,sm-lat,sm-lat
4,MSC05,Same Subject,0.7874999999999999,sm-lat,sm-lat
5,MSC06,Same Subject,0.7361111111111113,sm-lat,sm-lat
6,MSC07,Same Subject,0.6805555555555555,sm-lat,sm-lat
7,MSC10,Same Subject,0.8125,sm-lat,sm-lat
8,MSC01,Different Subject,0.5825879816386145,sm-lat,sm-lat
9,MSC02,Different Subject,0.6502128831084527,sm-lat,sm-lat
10,MSC03,Different Subject,0.5945504851161496,sm-lat,sm-lat
11,MSC04,Different Subject,0.5743450062595633,sm-lat,sm-lat
12,MSC05,Different Subject,0.5980987156303612,sm-lat,sm-lat
13,MSC06,Different Subject,0.5810487859538492,sm-lat,sm-lat
14,MSC07,Different Subject,0.5981990231990232,sm-lat,sm-lat
15,MSC10,Different Subject,0.5475562201511569,sm-lat,sm-lat
0,MSC01,Same Subject,0.9500000000000001,auditory,auditory
1,MSC02,Same Subject,0.8375000000000001,auditory,auditory
2,MSC03,Same Subject,0.765625,auditory,auditory
3,MSC04,Same Subject,0.7125000000000001,auditory,auditory
4,MSC05,Same Subject,0.7625000000000001,auditory,auditory
5,MSC06,Same Subject,0.8194444444444445,auditory,auditory
6,MSC07,Same Subject,0.625,auditory,auditory
7,MSC10,Same Subject,0.8250000000000001,auditory,auditory
8,MSC01,Different Subject,0.5458955232531181,auditory,auditory
9,MSC02,Different Subject,0.517278133259146,auditory,auditory
10,MSC03,Different Subject,0.5467085854546297,auditory,auditory
11,MSC04,Different Subject,0.5516450479899848,auditory,auditory
12,MSC05,Different Subject,0.4880699100477582,auditory,auditory
13,MSC06,Different Subject,0.5393938398685234,auditory,auditory
14,MSC07,Different Subject,0.5538461538461539,auditory,auditory
15,MSC10,Different Subject,0.5477641187925998,auditory,auditory
0,MSC01,Same Subject,0.7125000000000001,pmn,pmn
1,MSC02,Same Subject,0.625,pmn,pmn
2,MSC03,Same Subject,0.59375,pmn,pmn
3,MSC04,Same Subject,0.75,pmn,pmn
4,MSC05,Same Subject,0.7750000000000001,pmn,pmn
5,MSC06,Same Subject,0.7361111111111113,pmn,pmn
6,MSC07,Same Subject,0.7638888888888887,pmn,pmn
7,MSC10,Same Subject,0.8250000000000001,pmn,pmn
8,MSC01,Different Subject,0.49210408262623456,pmn,pmn
9,MSC02,Different Subject,0.5308849167709927,pmn,pmn
10,MSC03,Different Subject,0.5540272030185005,pmn,pmn
11,MSC04,Different Subject,0.5320537163258682,pmn,pmn
12,MSC05,Different Subject,0.5388256943478463,pmn,pmn
13,MSC06,Different Subject,0.5571008691261855,pmn,pmn
14,MSC07,Different Subject,0.5303113553113553,pmn,pmn
15,MSC10,Different Subject,0.5608490981592248,pmn,pmn
0,MSC01,Same Subject,0.8125,pon,pon
1,MSC02,Same Subject,0.8125,pon,pon
2,MSC03,Same Subject,0.75,pon,pon
3,MSC04,Same Subject,0.8125,pon,pon
4,MSC05,Same Subject,0.6,pon,pon
5,MSC06,Same Subject,0.75,pon,pon
6,MSC07,Same Subject,0.5694444444444445,pon,pon
7,MSC10,Same Subject,0.6375000000000001,pon,pon
8,MSC01,Different Subject,0.5636081745258962,pon,pon
9,MSC02,Different Subject,0.5030850373255437,pon,pon
10,MSC03,Different Subject,0.43359204745676266,pon,pon
11,MSC04,Different Subject,0.5386730885148606,pon,pon
12,MSC05,Different Subject,0.5537937010247137,pon,pon
13,MSC06,Different Subject,0.5552088324240222,pon,pon
14,MSC07,Different Subject,0.5268569393569394,pon,pon
15,MSC10,Different Subject,0.5093217647331572,pon,pon
