,train_sub,Analysis,acc,Network_A,Network_B
6,MSC07,Same Subject,0.9,default,fp
7,MSC10,Same Subject,0.9267857142857144,default,fp
8,MSC01,Different Subject,0.5043367346938775,default,fp
9,MSC02,Different Subject,0.5769387755102041,default,fp
10,MSC03,Different Subject,0.6346428571428572,default,fp
11,MSC04,Different Subject,0.6819387755102041,default,fp
12,MSC05,Different Subject,0.6344897959183673,default,fp
13,MSC06,Different Subject,0.6840816326530612,default,fp
14,MSC07,Different Subject,0.5978061224489796,default,fp
15,MSC10,Different Subject,0.6900000000000001,default,fp
0,MSC01,Same Subject,0.9767857142857144,default,dan
1,MSC02,Same Subject,0.9571428571428572,default,dan
2,MSC03,Same Subject,0.8946428571428572,default,dan
3,MSC04,Same Subject,0.9607142857142857,default,dan
4,MSC05,Same Subject,0.9553571428571429,default,dan
5,MSC06,Same Subject,0.9785714285714285,default,dan
6,MSC07,Same Subject,0.9607142857142857,default,dan
7,MSC10,Same Subject,0.9160714285714285,default,dan
8,MSC01,Different Subject,0.5070408163265306,default,dan
9,MSC02,Different Subject,0.592908163265306,default,dan
10,MSC03,Different Subject,0.6185714285714285,default,dan
11,MSC04,Different Subject,0.6604081632653062,default,dan
12,MSC05,Different Subject,0.6523469387755101,default,dan
13,MSC06,Different Subject,0.7056632653061224,default,dan
14,MSC07,Different Subject,0.6862755102040817,default,dan
15,MSC10,Different Subject,0.6021938775510204,default,dan
0,MSC01,Same Subject,0.9214285714285715,default,van
1,MSC02,Same Subject,0.8839285714285715,default,van
2,MSC03,Same Subject,0.9035714285714286,default,van
3,MSC04,Same Subject,0.9053571428571429,default,van
4,MSC05,Same Subject,0.9214285714285715,default,van
5,MSC06,Same Subject,0.9500000000000001,default,van
6,MSC07,Same Subject,0.925,default,van
7,MSC10,Same Subject,0.9553571428571429,default,van
8,MSC01,Different Subject,0.5997448979591836,default,van
9,MSC02,Different Subject,0.6732653061224491,default,van
10,MSC03,Different Subject,0.6754591836734694,default,van
11,MSC04,Different Subject,0.5688775510204082,default,van
12,MSC05,Different Subject,0.5906632653061223,default,van
13,MSC06,Different Subject,0.6921428571428571,default,van
14,MSC07,Different Subject,0.6484183673469388,default,van
15,MSC10,Different Subject,0.6505102040816327,default,van
0,MSC01,Same Subject,0.8571428571428571,default,salience
1,MSC02,Same Subject,0.8517857142857144,default,salience
2,MSC03,Same Subject,0.7625000000000001,default,salience
3,MSC04,Same Subject,0.8678571428571428,default,salience
4,MSC05,Same Subject,0.8857142857142858,default,salience
5,MSC06,Same Subject,0.9232142857142857,default,salience
6,MSC07,Same Subject,0.85,default,salience
7,MSC10,Same Subject,0.8232142857142858,default,salience
8,MSC01,Different Subject,0.5711224489795917,default,salience
9,MSC02,Different Subject,0.6710204081632652,default,salience
10,MSC03,Different Subject,0.676734693877551,default,salience
11,MSC04,Different Subject,0.6108673469387754,default,salience
