,train_task,test_task,train_sub,test_sub,acc
111,glass,semantic,MSC02,MSC04,0.575
112,glass,motor,MSC02,MSC04,0.73
113,glass,mem,MSC02,MSC04,0.5349999999999999
114,motor,semantic,MSC02,MSC04,0.5
115,motor,glass,MSC02,MSC04,0.5399999999999999
116,motor,mem,MSC02,MSC04,0.5
117,mem,semantic,MSC02,MSC04,0.8499999999999999
118,mem,glass,MSC02,MSC04,0.9549999999999998
119,mem,motor,MSC02,MSC04,0.945
120,semantic,glass,MSC02,MSC05,0.6400000000000001
121,semantic,motor,MSC02,MSC05,0.7
122,semantic,mem,MSC02,MSC05,0.635
123,glass,semantic,MSC02,MSC05,0.7000000000000001
124,glass,motor,MSC02,MSC05,0.7999999999999999
125,glass,mem,MSC02,MSC05,0.76
126,motor,semantic,MSC02,MSC05,0.5499999999999999
127,motor,glass,MSC02,MSC05,0.5549999999999999
128,motor,mem,MSC02,MSC05,0.5
129,mem,semantic,MSC02,MSC05,0.7250000000000001
130,mem,glass,MSC02,MSC05,0.7899999999999999
131,mem,motor,MSC02,MSC05,0.7949999999999999
132,semantic,glass,MSC02,MSC06,0.6
133,semantic,motor,MSC02,MSC06,0.735
134,semantic,mem,MSC02,MSC06,0.6199999999999999
135,glass,semantic,MSC02,MSC06,0.7550000000000001
136,glass,motor,MSC02,MSC06,0.65
137,glass,mem,MSC02,MSC06,0.7100000000000001
138,motor,semantic,MSC02,MSC06,0.63
139,motor,glass,MSC02,MSC06,0.5777777777777777
140,motor,mem,MSC02,MSC06,0.62
141,mem,semantic,MSC02,MSC06,0.8950000000000001
142,mem,glass,MSC02,MSC06,0.8388888888888889
143,mem,motor,MSC02,MSC06,0.89
144,semantic,glass,MSC02,MSC07,0.62
145,semantic,motor,MSC02,MSC07,0.5599999999999999
146,semantic,mem,MSC02,MSC07,0.61
147,glass,semantic,MSC02,MSC07,0.595
148,glass,motor,MSC02,MSC07,0.6
149,glass,mem,MSC02,MSC07,0.5599999999999999
150,motor,semantic,MSC02,MSC07,0.505
151,motor,glass,MSC02,MSC07,0.5499999999999999
152,motor,mem,MSC02,MSC07,0.5
153,mem,semantic,MSC02,MSC07,0.7949999999999999
154,mem,glass,MSC02,MSC07,0.7949999999999999
155,mem,motor,MSC02,MSC07,0.7949999999999999
156,semantic,glass,MSC02,MSC10,0.5199999999999999
157,semantic,motor,MSC02,MSC10,0.5
158,semantic,mem,MSC02,MSC10,0.505
159,glass,semantic,MSC02,MSC10,0.5799999999999998
160,glass,motor,MSC02,MSC10,0.54
161,glass,mem,MSC02,MSC10,0.5499999999999999
162,motor,semantic,MSC02,MSC10,0.5
163,motor,glass,MSC02,MSC10,0.51
164,motor,mem,MSC02,MSC10,0.52
165,mem,semantic,MSC02,MSC10,0.8700000000000001
166,mem,glass,MSC02,MSC10,0.8400000000000001
167,mem,motor,MSC02,MSC10,0.7100000000000002
168,semantic,glass,MSC03,MSC01,0.5
169,semantic,motor,MSC03,MSC01,0.5
170,semantic,mem,MSC03,MSC01,0.5
171,glass,semantic,MSC03,MSC01,0.5
172,glass,motor,MSC03,MSC01,0.5
173,glass,mem,MSC03,MSC01,0.5
174,motor,semantic,MSC03,MSC01,0.5149999999999999
175,motor,glass,MSC03,MSC01,0.5349999999999999
176,motor,mem,MSC03,MSC01,0.6500000000000001
177,mem,semantic,MSC03,MSC01,0.625
178,mem,glass,MSC03,MSC01,0.625
179,mem,motor,MSC03,MSC01,0.625
180,semantic,glass,MSC03,MSC02,0.5
181,semantic,motor,MSC03,MSC02,0.5199999999999999
182,semantic,mem,MSC03,MSC02,0.5
183,glass,semantic,MSC03,MSC02,0.5
184,glass,motor,MSC03,MSC02,0.7799999999999999
185,glass,mem,MSC03,MSC02,0.5
186,motor,semantic,MSC03,MSC02,0.8
187,motor,glass,MSC03,MSC02,0.775
