train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC06,MSC04,0.5399999999999999
mixed,mem,MSC06,MSC04,0.38499999999999995
motor,mixed,MSC06,MSC04,0.5
motor,mem,MSC06,MSC04,0.48888888888888893
mem,mixed,MSC06,MSC04,0.6050000000000001
mem,motor,MSC06,MSC04,0.53
mixed,motor,MSC06,MSC05,0.5650000000000001
mixed,mem,MSC06,MSC05,0.575
motor,mixed,MSC06,MSC05,0.4888888888888888
motor,mem,MSC06,MSC05,0.5222222222222223
mem,mixed,MSC06,MSC05,0.48999999999999994
mem,motor,MSC06,MSC05,0.43499999999999994
mixed,motor,MSC06,MSC07,0.5055555555555555
mixed,mem,MSC06,MSC07,0.6100000000000001
motor,mixed,MSC06,MSC07,0.43333333333333335
motor,mem,MSC06,MSC07,0.5
mem,mixed,MSC06,MSC07,0.52
mem,motor,MSC06,MSC07,0.5111111111111111
mixed,motor,MSC06,MSC10,0.675
mixed,mem,MSC06,MSC10,0.4999999999999999
motor,mixed,MSC06,MSC10,0.5444444444444445
motor,mem,MSC06,MSC10,0.6500000000000001
mem,mixed,MSC06,MSC10,0.4600000000000001
mem,motor,MSC06,MSC10,0.5000000000000001
mixed,motor,MSC07,MSC01,0.495
mixed,mem,MSC07,MSC01,0.5
motor,mixed,MSC07,MSC01,0.35000000000000003
motor,mem,MSC07,MSC01,0.35555555555555557
mem,mixed,MSC07,MSC01,0.5799999999999998
mem,motor,MSC07,MSC01,0.4700000000000001
mixed,motor,MSC07,MSC02,0.5449999999999999
mixed,mem,MSC07,MSC02,0.4700000000000001
motor,mixed,MSC07,MSC02,0.4222222222222223
motor,mem,MSC07,MSC02,0.39444444444444443
mem,mixed,MSC07,MSC02,0.655
mem,motor,MSC07,MSC02,0.5499999999999999
mixed,motor,MSC07,MSC03,0.5349999999999999
mixed,mem,MSC07,MSC03,0.64375
motor,mixed,MSC07,MSC03,0.5055555555555555
motor,mem,MSC07,MSC03,0.3958333333333333
mem,mixed,MSC07,MSC03,0.41500000000000004
mem,motor,MSC07,MSC03,0.345
mixed,motor,MSC07,MSC04,0.54
mixed,mem,MSC07,MSC04,0.5799999999999998
motor,mixed,MSC07,MSC04,0.3333333333333333
motor,mem,MSC07,MSC04,0.3222222222222222
mem,mixed,MSC07,MSC04,0.4
mem,motor,MSC07,MSC04,0.49499999999999994
mixed,motor,MSC07,MSC05,0.495
mixed,mem,MSC07,MSC05,0.48500000000000004
motor,mixed,MSC07,MSC05,0.4666666666666667
motor,mem,MSC07,MSC05,0.4555555555555556
mem,mixed,MSC07,MSC05,0.5199999999999999
mem,motor,MSC07,MSC05,0.49499999999999994
mixed,motor,MSC07,MSC06,0.43888888888888894
mixed,mem,MSC07,MSC06,0.4800000000000001
motor,mixed,MSC07,MSC06,0.55
motor,mem,MSC07,MSC06,0.4833333333333334
mem,mixed,MSC07,MSC06,0.465
mem,motor,MSC07,MSC06,0.45555555555555555
mixed,motor,MSC07,MSC10,0.5299999999999999
mixed,mem,MSC07,MSC10,0.57
motor,mixed,MSC07,MSC10,0.3722222222222222
motor,mem,MSC07,MSC10,0.48888888888888893
mem,mixed,MSC07,MSC10,0.515
mem,motor,MSC07,MSC10,0.48500000000000004
mixed,motor,MSC10,MSC01,0.5
mixed,mem,MSC10,MSC01,0.49000000000000005
motor,mixed,MSC10,MSC01,0.5399999999999999
motor,mem,MSC10,MSC01,0.605
mem,mixed,MSC10,MSC01,0.595
mem,motor,MSC10,MSC01,0.51
mixed,motor,MSC10,MSC02,0.5850000000000001
mixed,mem,MSC10,MSC02,0.5599999999999998
motor,mixed,MSC10,MSC02,0.445
motor,mem,MSC10,MSC02,0.5849999999999999
mem,mixed,MSC10,MSC02,0.6199999999999999
mem,motor,MSC10,MSC02,0.66
mixed,motor,MSC10,MSC03,0.5599999999999998
mixed,mem,MSC10,MSC03,0.525
motor,mixed,MSC10,MSC03,0.6299999999999999
motor,mem,MSC10,MSC03,0.55
mem,mixed,MSC10,MSC03,0.55
mem,motor,MSC10,MSC03,0.58
mixed,motor,MSC10,MSC04,0.6499999999999999
