sub,task,acc,features
MSC10,semantic,0.8,88
MSC10,glass,0.9,88
MSC10,motor,0.9,88
MSC10,mem,0.95,88
MSC01,semantic,0.9,112
MSC01,glass,0.8,112
MSC01,motor,0.95,112
MSC01,mem,0.95,112
MSC02,semantic,0.9,112
MSC02,glass,0.85,112
MSC02,motor,0.9,112
MSC02,mem,0.95,112
MSC03,semantic,0.85,112
MSC03,glass,0.8,112
MSC03,motor,0.95,112
MSC03,mem,1.0,112
MSC04,semantic,0.9,112
MSC04,glass,0.95,112
MSC04,motor,0.85,112
MSC04,mem,0.85,112
MSC05,semantic,1.0,112
MSC05,glass,0.95,112
MSC05,motor,0.95,112
MSC05,mem,1.0,112
MSC06,semantic,0.9,112
MSC06,glass,0.8888888888888888,112
MSC06,motor,0.95,112
MSC06,mem,0.95,112
MSC07,semantic,0.95,112
MSC07,glass,0.9,112
MSC07,motor,0.95,112
MSC07,mem,0.9,112
MSC10,semantic,0.7,112
MSC10,glass,0.8,112
MSC10,motor,0.85,112
MSC10,mem,0.9,112
MSC01,semantic,1.0,103
MSC01,glass,0.9,103
MSC01,motor,0.9,103
MSC01,mem,1.0,103
MSC02,semantic,0.95,103
MSC02,glass,0.75,103
MSC02,motor,0.95,103
MSC02,mem,0.9,103
MSC03,semantic,0.85,103
MSC03,glass,0.8,103
MSC03,motor,1.0,103
MSC03,mem,0.85,103
MSC04,semantic,0.95,103
MSC04,glass,0.95,103
MSC04,motor,0.85,103
MSC04,mem,0.95,103
MSC05,semantic,0.9,103
MSC05,glass,0.9,103
MSC05,motor,1.0,103
MSC05,mem,1.0,103
MSC06,semantic,0.9,103
MSC06,glass,0.7777777777777778,103
MSC06,motor,0.95,103
MSC06,mem,1.0,103
MSC07,semantic,0.95,103
MSC07,glass,0.85,103
MSC07,motor,0.95,103
MSC07,mem,1.0,103
MSC10,semantic,0.8,103
MSC10,glass,0.7,103
MSC10,motor,0.9,103
MSC10,mem,0.9,103
MSC01,semantic,0.95,79
MSC01,glass,0.8,79
MSC01,motor,1.0,79
MSC01,mem,0.9,79
MSC02,semantic,0.9,79
MSC02,glass,0.7,79
MSC02,motor,0.9,79
MSC02,mem,0.9,79
MSC03,semantic,0.9,79
MSC03,glass,0.9,79
MSC03,motor,0.95,79
MSC03,mem,0.8,79
MSC04,semantic,0.95,79
MSC04,glass,0.85,79
MSC04,motor,0.95,79
MSC04,mem,1.0,79
MSC05,semantic,0.95,79
MSC05,glass,0.95,79
MSC05,motor,0.95,79
MSC05,mem,1.0,79
MSC06,semantic,0.85,79
MSC06,glass,0.7777777777777778,79
MSC06,motor,1.0,79
MSC06,mem,0.9,79
MSC07,semantic,0.85,79
MSC07,glass,0.75,79
MSC07,motor,0.85,79
MSC07,mem,0.85,79
MSC10,semantic,0.8,79
MSC10,glass,0.75,79
MSC10,motor,0.9,79
MSC10,mem,0.7,79
MSC01,semantic,0.9,108
MSC01,glass,0.8,108
MSC01,motor,0.9,108
MSC01,mem,0.95,108
MSC02,semantic,0.95,108
MSC02,glass,0.8,108
MSC02,motor,0.85,108
MSC02,mem,0.95,108
MSC03,semantic,0.85,108
MSC03,glass,0.8,108
MSC03,motor,0.85,108
MSC03,mem,0.95,108
MSC04,semantic,0.85,108
MSC04,glass,0.75,108
MSC04,motor,1.0,108
MSC04,mem,0.9,108
MSC05,semantic,0.95,108
MSC05,glass,0.9,108
MSC05,motor,1.0,108
MSC05,mem,1.0,108
MSC06,semantic,0.85,108
MSC06,glass,0.7222222222222222,108
MSC06,motor,0.95,108
MSC06,mem,1.0,108
