sub,task,acc,features
MSC02,glass,0.55,10
MSC02,motor,0.8,10
MSC02,mem,0.75,10
MSC03,semantic,0.8,10
MSC03,glass,0.55,10
MSC03,motor,0.65,10
MSC03,mem,0.5,10
MSC04,semantic,0.5,10
MSC04,glass,0.6,10
MSC04,motor,0.55,10
MSC04,mem,0.65,10
MSC05,semantic,0.6,10
MSC05,glass,0.65,10
MSC05,motor,0.65,10
MSC05,mem,0.7,10
MSC06,semantic,0.65,10
MSC06,glass,0.7962962962962963,10
MSC06,motor,0.4629629629629629,10
MSC06,mem,0.7,10
MSC07,semantic,0.7,10
MSC07,glass,0.5,10
