,train_task,test_task,sub,acc,Features
68,motor,mem,MSC06,0.5700000000000001,40
69,mem,glass,MSC06,0.7111111111111109,40
70,mem,semantic,MSC06,0.62,40
71,mem,motor,MSC06,0.705,40
72,glass,semantic,MSC07,0.865,40
73,glass,motor,MSC07,0.47,40
74,glass,mem,MSC07,0.7749999999999999,40
75,semantic,glass,MSC07,0.74,40
76,semantic,motor,MSC07,0.505,40
77,semantic,mem,MSC07,0.72,40
78,motor,glass,MSC07,0.455,40
79,motor,semantic,MSC07,0.46,40
80,motor,mem,MSC07,0.45,40
81,mem,glass,MSC07,0.6000000000000001,40
82,mem,semantic,MSC07,0.7449999999999999,40
83,mem,motor,MSC07,0.55,40
84,glass,semantic,MSC10,0.6500000000000001,40
85,glass,motor,MSC10,0.5099999999999999,40
86,glass,mem,MSC10,0.5549999999999999,40
87,semantic,glass,MSC10,0.67,40
88,semantic,motor,MSC10,0.485,40
89,semantic,mem,MSC10,0.6200000000000001,40
90,motor,glass,MSC10,0.5499999999999999,40
91,motor,semantic,MSC10,0.5,40
92,motor,mem,MSC10,0.675,40
93,mem,glass,MSC10,0.655,40
94,mem,semantic,MSC10,0.63,40
95,mem,motor,MSC10,0.6750000000000002,40
0,glass,semantic,MSC01,0.93,50
1,glass,motor,MSC01,0.7899999999999999,50
2,glass,mem,MSC01,0.8099999999999999,50
3,semantic,glass,MSC01,0.8049999999999999,50
4,semantic,motor,MSC01,0.8149999999999998,50
5,semantic,mem,MSC01,0.7150000000000001,50
6,motor,glass,MSC01,0.605,50
7,motor,semantic,MSC01,0.845,50
8,motor,mem,MSC01,0.6500000000000001,50
9,mem,glass,MSC01,0.8299999999999998,50
10,mem,semantic,MSC01,0.86,50
11,mem,motor,MSC01,0.7799999999999999,50
12,glass,semantic,MSC02,0.775,50
13,glass,motor,MSC02,0.67,50
14,glass,mem,MSC02,0.68,50
15,semantic,glass,MSC02,0.6450000000000001,50
16,semantic,motor,MSC02,0.53,50
17,semantic,mem,MSC02,0.495,50
18,motor,glass,MSC02,0.6399999999999999,50
19,motor,semantic,MSC02,0.64,50
20,motor,mem,MSC02,0.63,50
21,mem,glass,MSC02,0.7699999999999999,50
22,mem,semantic,MSC02,0.8149999999999998,50
23,mem,motor,MSC02,0.8349999999999997,50
24,glass,semantic,MSC03,0.6699999999999999,50
25,glass,motor,MSC03,0.7349999999999999,50
26,glass,mem,MSC03,0.6100000000000001,50
27,semantic,glass,MSC03,0.6650000000000001,50
28,semantic,motor,MSC03,0.68,50
29,semantic,mem,MSC03,0.6299999999999999,50
30,motor,glass,MSC03,0.6400000000000001,50
31,motor,semantic,MSC03,0.5549999999999999,50
32,motor,mem,MSC03,0.79,50
33,mem,glass,MSC03,0.5399999999999999,50
34,mem,semantic,MSC03,0.64,50
35,mem,motor,MSC03,0.8000000000000002,50
36,glass,semantic,MSC04,0.775,50
37,glass,motor,MSC04,0.845,50
38,glass,mem,MSC04,0.8400000000000001,50
39,semantic,glass,MSC04,0.91,50
40,semantic,motor,MSC04,0.82,50
41,semantic,mem,MSC04,0.9,50
42,motor,glass,MSC04,0.9150000000000004,50
43,motor,semantic,MSC04,0.74,50
44,motor,mem,MSC04,0.7949999999999998,50
45,mem,glass,MSC04,0.89,50
46,mem,semantic,MSC04,0.8800000000000001,50
47,mem,motor,MSC04,0.7949999999999998,50
48,glass,semantic,MSC05,0.8299999999999998,50
49,glass,motor,MSC05,0.7999999999999999,50
50,glass,mem,MSC05,0.6700000000000002,50
51,semantic,glass,MSC05,0.89,50
52,semantic,motor,MSC05,0.7000000000000001,50
53,semantic,mem,MSC05,0.7999999999999999,50
54,motor,glass,MSC05,0.65,50
55,motor,semantic,MSC05,0.5549999999999999,50
56,motor,mem,MSC05,0.63,50
57,mem,glass,MSC05,0.8699999999999999,50
58,mem,semantic,MSC05,0.93,50
59,mem,motor,MSC05,0.86,50
60,glass,semantic,MSC06,0.6666666666666667,50
61,glass,motor,MSC06,0.6777777777777778,50
62,glass,mem,MSC06,0.7222222222222221,50
63,semantic,glass,MSC06,0.6722222222222223,50
64,semantic,motor,MSC06,0.725,50
65,semantic,mem,MSC06,0.8549999999999999,50
66,motor,glass,MSC06,0.7277777777777779,50
67,motor,semantic,MSC06,0.545,50
68,motor,mem,MSC06,0.7949999999999999,50
69,mem,glass,MSC06,0.8055555555555556,50
70,mem,semantic,MSC06,0.8049999999999999,50
71,mem,motor,MSC06,0.8450000000000001,50
72,glass,semantic,MSC07,0.76,50
73,glass,motor,MSC07,0.565,50
74,glass,mem,MSC07,0.8499999999999999,50
75,semantic,glass,MSC07,0.745,50
76,semantic,motor,MSC07,0.5499999999999999,50
77,semantic,mem,MSC07,0.6850000000000002,50
78,motor,glass,MSC07,0.595,50
79,motor,semantic,MSC07,0.5499999999999999,50
80,motor,mem,MSC07,0.6450000000000001,50
81,mem,glass,MSC07,0.845,50
82,mem,semantic,MSC07,0.7849999999999999,50
83,mem,motor,MSC07,0.91,50
84,glass,semantic,MSC10,0.95,50
85,glass,motor,MSC10,0.92,50
86,glass,mem,MSC10,0.7899999999999998,50
87,semantic,glass,MSC10,0.92,50
88,semantic,motor,MSC10,0.725,50
89,semantic,mem,MSC10,0.7100000000000001,50
90,motor,glass,MSC10,0.86,50
91,motor,semantic,MSC10,0.82,50
92,motor,mem,MSC10,0.8800000000000001,50
93,mem,glass,MSC10,0.8399999999999999,50
94,mem,semantic,MSC10,0.8649999999999999,50
95,mem,motor,MSC10,0.99,50
0,glass,semantic,MSC01,0.93,60
1,glass,motor,MSC01,0.85,60
2,glass,mem,MSC01,0.9,60
3,semantic,glass,MSC01,0.86,60
4,semantic,motor,MSC01,0.8800000000000002,60
5,semantic,mem,MSC01,0.845,60
6,motor,glass,MSC01,0.8549999999999999,60
7,motor,semantic,MSC01,0.995,60
8,motor,mem,MSC01,0.9399999999999998,60
9,mem,glass,MSC01,0.8049999999999999,60
10,mem,semantic,MSC01,0.92,60
